sp,Arctictis_binturong,Arctonyx_collaris,Atherurus_africanus,Atherurus_macrourus,Atilax_paludinosus,Bdeogale_crassicauda,Callosciurus_erythraeus,Canis_adustus,Capricornis_milneedwardsii,Capricornis_sumatraensis,Caracal_aurata,Cephalophus_harveyi,Cephalophus_nigrifrons,Cephalophus_silvicultor,Cephalophus_spadix,Cephalophus_weynsi,Cercocebus_sanjei,Cercopithecus_lhoesti,Cercopithecus_mitis,Civettictis_civetta,Conepatus_semistriatus,Cricetomys_emini,Cricetomys_gambianus,Crocuta_crocuta,Cryptoprocta_ferox,Cuniculus_paca,Cuon_alpinus,Dasyprocta_fuliginosa,Dasyprocta_punctata,Dasypus_kappleri,Dasypus_novemcinctus,Didelphis_marsupialis,Echinosorex_gymnura,Eira_barbara,Eulemur_rufifrons,Eupleres_goudotii,Fossa_fossana,Galidia_elegans,Galidictis_fasciata,Genetta_servalina,Gorilla_beringei,Helarctos_malayanus,Hemicentetes_nigriceps,Hemicentetes_semispinosus,Hemigalus_derbyanus,Herpestes_brachyurus,Herpestes_urva,Hystrix_africaeaustralis,Hystrix_brachyura,Lariscus_insignis,Leopardus_pardalis,Leopardus_wiedii,Leopoldamys_sabanus,Leptailurus_serval,Loxodonta_africana,Macaca_arctoides,Macaca_assamensis,Macaca_fascicularis,Macaca_leonina,Macaca_nemestrina,Manis_javanica,Martes_flavigula,Mazama_americana,Mazama_temama,Mellivora_capensis,Melogale_personata,Metachirus_nudicaudatus,Mungos_mungo,Muntiacus_muntjak,Myrmecophaga_tridactyla,Nandinia_binotata,Nasua_narica,Nasua_nasua,Neofelis_nebulosa,Nesomys_rufus,Odocoileus_virginianus,Paguma_larvata,Pan_troglodytes,Panthera_onca,Panthera_pardus,Papio_anubis,Papio_cynocephalus,Paradoxurus_hermaphroditus,Paraxerus_vexillarius,Pardofelis_marmorata,Pardofelis_temminckii,Pecari_tajacu,Petrodromus_tetradactylus,Phataginus_tricuspis,Philander_opossum,Potamochoerus_larvatus,Presbytis_siamensis,Prionailurus_bengalensis,Prionailurus_planiceps,Prionodon_linsang,Procyon_cancrivorus,Procyon_lotor,Proechimys_semispinosus,Puma_concolor,Puma_yagouaroundi,Rattus_rattus,Rhinosciurus_laticaudatus,Rhizomys_sumatrensis,Rhynchocyon_cirnei,Rhynchocyon_udzungwensis,Rusa_unicolor,Sciurus_granatensis,Sciurus_spadiceus,Setifer_setosus,Sundasciurus_hippurus,Sus_scrofa,Syncerus_caffer,Tamandua_mexicana,Tamandua_tetradactyla,Tapirus_bairdii,Tapirus_indicus,Tapirus_terrestris,Tenrec_ecaudatus,Thryonomys_gregorianus,Thryonomys_swinderianus,Tragelaphus_scriptus,Tragelaphus_spekii,Tragulus_kanchil,Tremarctos_ornatus,Tupaia_glis,Viverra_zibetha
Arctictis_binturong,0.00E+00,5.62E-04,3.34E-01,3.34E-01,3.34E-01,9.69E-04,5.02E-01,2.33E-04,5.19E-01,5.16E-01,3.34E-01,6.67E-01,6.67E-01,6.72E-01,3.37E-01,5.01E-01,5.01E-01,6.67E-01,6.67E-01,3.33E-01,9.98E-04,3.34E-01,5.01E-01,4.23E-03,3.34E-01,3.34E-01,3.33E-01,6.67E-01,6.68E-01,6.67E-01,6.67E-01,3.34E-01,6.68E-01,6.67E-01,6.68E-01,3.34E-01,1.08E-03,3.34E-01,3.34E-01,1.01E-03,5.14E-01,3.36E-01,3.41E-01,3.34E-01,9.31E-04,9.31E-04,9.42E-04,3.34E-01,3.34E-01,5.02E-01,3.33E-01,3.34E-01,5.02E-01,3.33E-01,9.99E-01,6.67E-01,6.67E-01,6.67E-01,5.01E-01,6.67E-01,5.01E-01,6.68E-01,6.67E-01,5.01E-01,3.34E-01,6.68E-01,3.34E-01,6.68E-01,5.00E-01,6.67E-01,3.34E-01,6.67E-01,6.67E-01,3.34E-01,6.68E-01,6.70E-01,3.34E-01,6.69E-01,3.41E-01,3.37E-01,6.67E-01,6.67E-01,3.34E-01,5.02E-01,8.92E-04,6.35E-05,6.67E-01,6.68E-01,5.01E-01,3.34E-01,3.36E-01,6.67E-01,8.21E-04,3.34E-01,1.04E-03,5.12E-04,6.67E-01,3.34E-01,3.37E-01,3.34E-01,5.02E-01,5.02E-01,5.02E-01,6.68E-01,5.02E-01,6.83E-01,6.68E-01,6.68E-01,3.34E-01,5.02E-01,6.75E-01,7.15E-01,6.67E-01,6.67E-01,6.85E-01,3.57E-01,6.83E-01,6.68E-01,3.34E-01,3.34E-01,6.69E-01,6.72E-01,5.01E-01,6.77E-01,6.68E-01,3.34E-01
Arctonyx_collaris,5.62E-04,0.00E+00,3.34E-01,3.34E-01,3.34E-01,4.07E-04,5.01E-01,3.29E-04,5.19E-01,5.17E-01,3.34E-01,6.67E-01,6.67E-01,6.72E-01,3.38E-01,5.01E-01,5.00E-01,6.67E-01,6.67E-01,3.34E-01,4.36E-04,3.34E-01,5.01E-01,4.79E-03,3.34E-01,3.33E-01,3.34E-01,6.67E-01,6.67E-01,6.67E-01,6.67E-01,3.34E-01,6.67E-01,6.67E-01,6.67E-01,3.34E-01,5.19E-04,3.34E-01,3.34E-01,4.48E-04,5.15E-01,3.37E-01,3.41E-01,3.34E-01,3.69E-04,3.69E-04,3.80E-04,3.33E-01,3.33E-01,5.01E-01,3.34E-01,3.34E-01,5.01E-01,3.34E-01,9.99E-01,6.67E-01,6.67E-01,6.67E-01,5.00E-01,6.67E-01,5.00E-01,6.67E-01,6.68E-01,5.01E-01,3.34E-01,6.67E-01,3.34E-01,6.67E-01,5.01E-01,6.68E-01,3.34E-01,6.67E-01,6.67E-01,3.34E-01,6.67E-01,6.71E-01,3.34E-01,6.70E-01,3.41E-01,3.38E-01,6.68E-01,6.68E-01,3.34E-01,5.01E-01,3.30E-04,7.80E-04,6.68E-01,6.67E-01,5.01E-01,3.34E-01,3.37E-01,6.67E-01,2.59E-04,3.34E-01,4.79E-04,5.03E-05,6.67E-01,3.34E-01,3.37E-01,3.34E-01,5.01E-01,5.01E-01,5.01E-01,6.67E-01,5.01E-01,6.84E-01,6.67E-01,6.67E-01,3.34E-01,5.01E-01,6.76E-01,7.15E-01,6.67E-01,6.67E-01,6.85E-01,3.58E-01,6.84E-01,6.67E-01,3.34E-01,3.34E-01,6.70E-01,6.73E-01,5.01E-01,6.78E-01,6.67E-01,3.34E-01
Atherurus_africanus,3.34E-01,3.34E-01,0.00E+00,5.58E-06,6.67E-01,3.33E-01,5.00E-01,3.34E-01,5.20E-01,5.18E-01,6.68E-01,6.68E-01,6.68E-01,6.73E-01,4.57E-03,5.00E-01,7.70E-04,3.34E-01,3.34E-01,8.52E-04,3.33E-01,5.36E-05,8.24E-05,3.38E-01,6.67E-01,3.34E-01,6.68E-01,6.67E-01,6.67E-01,6.67E-01,6.67E-01,7.13E-05,6.67E-01,3.34E-01,6.67E-01,6.67E-01,3.33E-01,6.67E-01,6.67E-01,3.33E-01,5.16E-01,3.81E-03,6.75E-01,6.67E-01,3.33E-01,3.33E-01,3.33E-01,5.13E-04,5.13E-04,2.20E-04,6.68E-01,6.67E-01,5.00E-01,6.68E-01,1.00E+00,3.34E-01,3.34E-01,3.34E-01,5.28E-04,3.34E-01,5.00E-01,3.33E-01,6.68E-01,5.00E-01,6.67E-01,6.67E-01,1.32E-04,6.67E-01,5.02E-01,6.68E-01,5.58E-06,3.34E-01,3.33E-01,6.68E-01,6.67E-01,6.71E-01,3.34E-01,3.37E-01,6.75E-01,6.71E-01,3.35E-01,3.35E-01,1.07E-04,5.00E-01,3.33E-01,5.01E-01,3.35E-01,6.67E-01,5.00E-01,1.28E-04,3.96E-03,6.67E-01,3.33E-01,1.35E-04,3.33E-01,3.34E-01,3.34E-01,1.33E-04,6.71E-01,6.67E-01,2.10E-04,5.00E-01,5.00E-01,6.67E-01,5.00E-01,6.84E-01,6.67E-01,6.67E-01,3.33E-01,5.00E-01,3.43E-01,7.16E-01,6.67E-01,6.67E-01,6.86E-01,3.58E-01,6.84E-01,3.33E-01,3.33E-01,3.34E-01,6.70E-01,6.73E-01,5.00E-01,3.45E-01,3.33E-01,5.98E-04
Atherurus_macrourus,3.34E-01,3.34E-01,5.58E-06,0.00E+00,6.67E-01,3.33E-01,5.00E-01,3.34E-01,5.20E-01,5.18E-01,6.68E-01,6.68E-01,6.68E-01,6.73E-01,4.57E-03,5.00E-01,7.61E-04,3.34E-01,3.34E-01,8.46E-04,3.33E-01,5.92E-05,9.07E-05,3.38E-01,6.67E-01,3.34E-01,6.68E-01,6.67E-01,6.67E-01,6.67E-01,6.67E-01,7.69E-05,6.67E-01,3.33E-01,6.67E-01,6.67E-01,3.33E-01,6.67E-01,6.67E-01,3.33E-01,5.16E-01,3.81E-03,6.75E-01,6.67E-01,3.33E-01,3.33E-01,3.33E-01,5.08E-04,5.08E-04,2.28E-04,6.68E-01,6.67E-01,5.00E-01,6.68E-01,1.00E+00,3.34E-01,3.34E-01,3.34E-01,5.19E-04,3.34E-01,5.00E-01,3.33E-01,6.68E-01,5.00E-01,6.67E-01,6.67E-01,1.37E-04,6.67E-01,5.02E-01,6.68E-01,0.00E+00,3.34E-01,3.33E-01,6.68E-01,6.67E-01,6.71E-01,3.34E-01,3.37E-01,6.75E-01,6.71E-01,3.35E-01,3.35E-01,1.02E-04,5.00E-01,3.33E-01,5.01E-01,3.35E-01,6.67E-01,5.00E-01,1.34E-04,3.96E-03,6.67E-01,3.33E-01,1.30E-04,3.33E-01,3.34E-01,3.34E-01,1.39E-04,6.71E-01,6.67E-01,2.18E-04,5.00E-01,5.00E-01,6.67E-01,5.00E-01,6.84E-01,6.67E-01,6.67E-01,3.33E-01,5.00E-01,3.43E-01,7.16E-01,6.67E-01,6.67E-01,6.86E-01,3.58E-01,6.84E-01,3.33E-01,3.33E-01,3.34E-01,6.70E-01,6.73E-01,5.00E-01,3.45E-01,3.33E-01,5.92E-04
Atilax_paludinosus,3.34E-01,3.34E-01,6.67E-01,6.67E-01,0.00E+00,3.33E-01,5.00E-01,3.34E-01,5.20E-01,5.17E-01,1.07E-03,6.68E-01,3.34E-01,3.39E-01,6.71E-01,5.00E-01,5.01E-01,6.67E-01,6.67E-01,6.67E-01,3.34E-01,6.67E-01,5.00E-01,3.38E-01,5.25E-04,6.67E-01,8.00E-04,6.67E-01,6.67E-01,3.34E-01,3.33E-01,6.67E-01,3.34E-01,3.33E-01,3.34E-01,1.52E-04,3.34E-01,2.12E-04,2.33E-04,3.34E-01,5.15E-01,6.70E-01,8.18E-03,2.68E-04,3.33E-01,3.33E-01,3.33E-01,6.67E-01,6.67E-01,5.00E-01,7.28E-04,4.23E-06,5.00E-01,7.36E-04,1.00E+00,6.67E-01,6.67E-01,6.67E-01,5.00E-01,6.67E-01,5.00E-01,6.67E-01,3.35E-01,5.00E-01,4.82E-04,3.33E-01,6.67E-01,6.67E-01,5.01E-01,3.35E-01,6.67E-01,3.33E-01,6.67E-01,1.40E-03,3.34E-01,3.38E-01,6.67E-01,6.70E-01,8.18E-03,4.43E-03,6.68E-01,6.68E-01,6.67E-01,5.00E-01,3.33E-01,1.17E-03,3.35E-01,3.34E-01,5.00E-01,6.67E-01,6.71E-01,6.67E-01,3.33E-01,6.67E-01,3.34E-01,3.34E-01,3.34E-01,6.67E-01,4.09E-03,4.31E-04,5.00E-01,5.00E-01,5.00E-01,6.67E-01,5.00E-01,3.51E-01,6.67E-01,6.67E-01,6.67E-01,5.00E-01,3.43E-01,3.82E-01,3.33E-01,3.34E-01,3.52E-01,6.91E-01,3.51E-01,3.34E-01,6.67E-01,6.67E-01,3.37E-01,3.40E-01,5.00E-01,3.45E-01,6.67E-01,6.67E-01
Bdeogale_crassicauda,9.69E-04,4.07E-04,3.33E-01,3.33E-01,3.33E-01,0.00E+00,5.00E-01,7.36E-04,5.20E-01,5.18E-01,3.35E-01,6.68E-01,6.68E-01,6.73E-01,3.38E-01,5.00E-01,5.01E-01,6.67E-01,6.67E-01,3.34E-01,2.96E-05,3.33E-01,5.00E-01,5.20E-03,3.34E-01,3.34E-01,3.34E-01,6.67E-01,6.67E-01,6.67E-01,6.67E-01,3.33E-01,6.67E-01,6.67E-01,6.67E-01,3.33E-01,1.13E-04,3.33E-01,3.33E-01,4.19E-05,5.16E-01,3.37E-01,3.42E-01,3.33E-01,3.81E-05,3.81E-05,2.65E-05,3.34E-01,3.34E-01,5.00E-01,3.34E-01,3.33E-01,5.00E-01,3.34E-01,1.00E+00,6.67E-01,6.68E-01,6.67E-01,5.01E-01,6.67E-01,5.00E-01,6.67E-01,6.68E-01,5.00E-01,3.34E-01,6.67E-01,3.33E-01,6.67E-01,5.02E-01,6.68E-01,3.33E-01,6.67E-01,6.67E-01,3.35E-01,6.67E-01,6.71E-01,3.34E-01,6.70E-01,3.42E-01,3.38E-01,6.68E-01,6.68E-01,3.33E-01,5.00E-01,7.69E-05,1.39E-03,6.68E-01,6.67E-01,5.00E-01,3.33E-01,3.37E-01,6.67E-01,1.48E-04,3.34E-01,7.19E-05,4.57E-04,6.67E-01,3.33E-01,3.38E-01,3.34E-01,5.00E-01,5.00E-01,5.00E-01,6.67E-01,5.00E-01,6.84E-01,6.67E-01,6.67E-01,3.33E-01,5.00E-01,6.76E-01,7.16E-01,6.67E-01,6.67E-01,6.86E-01,3.58E-01,6.84E-01,6.67E-01,3.33E-01,3.34E-01,6.70E-01,6.73E-01,5.00E-01,6.78E-01,6.67E-01,3.34E-01
Callosciurus_erythraeus,5.02E-01,5.01E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,0.00E+00,5.01E-01,2.03E-02,1.77E-02,5.02E-01,1.80E-03,1.73E-03,9.17E-03,5.07E-01,2.18E-04,5.01E-01,5.01E-01,5.01E-01,5.01E-01,5.00E-01,5.00E-01,5.00E-01,5.08E-01,5.01E-01,9.80E-04,5.02E-01,4.09E-04,3.04E-04,1.17E-03,4.98E-04,5.00E-01,5.00E-01,5.00E-01,2.54E-06,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,1.57E-02,5.06E-01,5.13E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.01E-01,5.01E-01,5.00E-01,5.01E-01,5.00E-01,5.00E-01,5.01E-01,5.00E-01,5.01E-01,5.01E-01,5.01E-01,5.01E-01,5.01E-01,5.01E-01,5.00E-01,2.86E-03,2.31E-04,5.01E-01,5.00E-01,5.00E-01,5.00E-01,1.74E-03,5.03E-01,5.00E-01,5.00E-01,5.00E-01,5.02E-01,1.48E-05,7.01E-03,5.01E-01,5.06E-01,5.13E-01,5.07E-01,5.03E-01,5.02E-01,5.00E-01,5.01E-05,5.00E-01,5.02E-01,5.03E-01,5.00E-01,5.00E-01,5.00E-01,5.06E-01,8.02E-04,5.00E-01,5.00E-01,5.00E-01,5.01E-01,5.01E-01,5.00E-01,5.07E-01,5.01E-01,5.00E-01,7.49E-06,3.81E-06,5.00E-01,5.00E-01,2.68E-02,3.81E-06,1.56E-05,5.00E-01,2.79E-05,5.15E-01,7.36E-02,5.00E-01,5.01E-01,2.85E-02,3.76E-02,2.63E-02,5.00E-01,3.08E-04,4.80E-04,5.45E-03,9.86E-03,2.18E-04,5.18E-01,5.00E-01,5.01E-01
Canis_adustus,2.33E-04,3.29E-04,3.34E-01,3.34E-01,3.34E-01,7.36E-04,5.01E-01,0.00E+00,5.19E-01,5.16E-01,3.34E-01,6.67E-01,6.67E-01,6.72E-01,3.37E-01,5.01E-01,5.00E-01,6.67E-01,6.67E-01,3.33E-01,7.66E-04,3.34E-01,5.01E-01,4.46E-03,3.33E-01,3.34E-01,3.34E-01,6.67E-01,6.67E-01,6.67E-01,6.67E-01,3.34E-01,6.67E-01,6.67E-01,6.68E-01,3.34E-01,8.49E-04,3.34E-01,3.34E-01,7.78E-04,5.14E-01,3.36E-01,3.41E-01,3.34E-01,6.98E-04,6.98E-04,7.10E-04,3.34E-01,3.34E-01,5.01E-01,3.33E-01,3.34E-01,5.01E-01,3.33E-01,9.99E-01,6.67E-01,6.67E-01,6.67E-01,5.01E-01,6.67E-01,5.01E-01,6.67E-01,6.68E-01,5.01E-01,3.33E-01,6.67E-01,3.34E-01,6.67E-01,5.00E-01,6.68E-01,3.34E-01,6.67E-01,6.67E-01,3.34E-01,6.68E-01,6.70E-01,3.34E-01,6.70E-01,3.41E-01,3.37E-01,6.68E-01,6.67E-01,3.34E-01,5.01E-01,6.59E-04,2.86E-04,6.68E-01,6.68E-01,5.01E-01,3.34E-01,3.37E-01,6.67E-01,5.88E-04,3.34E-01,8.08E-04,2.79E-04,6.67E-01,3.34E-01,3.37E-01,3.33E-01,5.01E-01,5.01E-01,5.01E-01,6.67E-01,5.01E-01,6.84E-01,6.68E-01,6.67E-01,3.34E-01,5.01E-01,6.76E-01,7.15E-01,6.67E-01,6.67E-01,6.85E-01,3.58E-01,6.83E-01,6.67E-01,3.34E-01,3.34E-01,6.69E-01,6.72E-01,5.01E-01,6.78E-01,6.68E-01,3.33E-01
Capricornis_milneedwardsii,5.19E-01,5.19E-01,5.20E-01,5.20E-01,5.20E-01,5.20E-01,2.03E-02,5.19E-01,0.00E+00,2.54E-03,5.18E-01,1.85E-02,1.85E-02,1.11E-02,5.13E-01,2.01E-02,5.19E-01,5.20E-01,5.20E-01,5.19E-01,5.20E-01,5.20E-01,5.20E-01,5.12E-01,5.19E-01,1.93E-02,5.19E-01,1.99E-02,2.00E-02,1.91E-02,1.98E-02,5.20E-01,5.20E-01,5.20E-01,2.03E-02,5.20E-01,5.20E-01,5.20E-01,5.20E-01,5.20E-01,4.54E-03,5.14E-01,5.08E-01,5.20E-01,5.20E-01,5.20E-01,5.20E-01,5.19E-01,5.19E-01,5.20E-01,5.19E-01,5.20E-01,5.20E-01,5.19E-01,4.80E-01,5.20E-01,5.19E-01,5.20E-01,5.20E-01,5.19E-01,5.20E-01,5.20E-01,1.74E-02,2.00E-02,5.19E-01,5.20E-01,5.20E-01,5.20E-01,1.85E-02,5.17E-01,5.20E-01,5.20E-01,5.20E-01,5.18E-01,2.03E-02,1.33E-02,5.20E-01,5.15E-01,5.08E-01,5.13E-01,5.18E-01,5.18E-01,5.20E-01,2.02E-02,5.20E-01,5.19E-01,5.18E-01,5.20E-01,5.20E-01,5.20E-01,5.14E-01,1.95E-02,5.20E-01,5.20E-01,5.20E-01,5.19E-01,5.20E-01,5.20E-01,5.14E-01,5.19E-01,5.20E-01,2.03E-02,2.03E-02,5.20E-01,5.20E-01,6.55E-03,2.03E-02,2.03E-02,5.20E-01,2.02E-02,5.05E-01,5.33E-02,5.20E-01,5.20E-01,8.25E-03,1.73E-02,6.03E-03,5.20E-01,2.00E-02,1.98E-02,1.48E-02,1.04E-02,2.01E-02,5.03E-01,5.20E-01,5.19E-01
Capricornis_sumatraensis,5.16E-01,5.17E-01,5.18E-01,5.18E-01,5.17E-01,5.18E-01,1.77E-02,5.16E-01,2.54E-03,0.00E+00,5.16E-01,1.59E-02,1.60E-02,8.57E-03,5.11E-01,1.75E-02,5.17E-01,5.17E-01,5.17E-01,5.16E-01,5.18E-01,5.18E-01,5.18E-01,5.10E-01,5.17E-01,1.68E-02,5.16E-01,1.73E-02,1.74E-02,1.66E-02,1.72E-02,5.18E-01,5.18E-01,5.17E-01,1.77E-02,5.18E-01,5.18E-01,5.18E-01,5.18E-01,5.18E-01,2.00E-03,5.12E-01,5.05E-01,5.18E-01,5.18E-01,5.18E-01,5.18E-01,5.17E-01,5.17E-01,5.18E-01,5.16E-01,5.17E-01,5.18E-01,5.16E-01,4.82E-01,5.17E-01,5.16E-01,5.17E-01,5.17E-01,5.17E-01,5.17E-01,5.18E-01,1.49E-02,1.75E-02,5.17E-01,5.18E-01,5.18E-01,5.18E-01,1.60E-02,5.15E-01,5.18E-01,5.17E-01,5.17E-01,5.15E-01,1.77E-02,1.07E-02,5.17E-01,5.12E-01,5.05E-01,5.11E-01,5.15E-01,5.15E-01,5.17E-01,1.77E-02,5.17E-01,5.16E-01,5.15E-01,5.18E-01,5.18E-01,5.18E-01,5.12E-01,1.69E-02,5.17E-01,5.17E-01,5.18E-01,5.17E-01,5.17E-01,5.18E-01,5.11E-01,5.17E-01,5.18E-01,1.77E-02,1.77E-02,5.18E-01,5.18E-01,9.09E-03,1.77E-02,1.77E-02,5.18E-01,1.77E-02,5.03E-01,5.58E-02,5.17E-01,5.17E-01,1.08E-02,1.98E-02,8.57E-03,5.18E-01,1.74E-02,1.73E-02,1.23E-02,7.87E-03,1.75E-02,5.00E-01,5.18E-01,5.17E-01
