sp,guild,Mass,ActivityCycle,AdultHeadBodyLen_mm,LitterSize
Arctictis_binturong,Carnivore,13000,nocturnal,785.15,2.5
Arctonyx_collaris,Carnivore,6356,nocturnal,690.22,3
Atherurus_africanus,Omnivore,1934,nocturnal,430.99,1.5
Atherurus_macrourus,Omnivore,2000,nocturnal,NA,1.5
Atilax_paludinosus,Carnivore,3300,transition,499.01,2
Bdeogale_crassicauda,Carnivore,1550,nocturnal,444.53,0.96
Callosciurus_erythraeus,Herbivore,280,NA,211.93,1.94
Canis_adustus,Carnivore,10250,nocturnal,745.32,4.5
Capricornis_milneedwardsii,Herbivore,160000,NA,NA,NA
Capricornis_sumatraensis,Herbivore,140000,NA,1449.99,1.22
Caracal_aurata,Carnivore,16000,transition,797.61,2.25
Cephalophus_harveyi,Herbivore,14500,diurnal,786.14,1
Cephalophus_nigrifrons,Herbivore,13900,transition,944.21,NA
Cephalophus_silvicultor,Herbivore,72500,transition,1324.76,1
Cephalophus_spadix,Omnivore,56000,nocturnal,1174.48,NA
Cephalophus_weynsi,Herbivore,2001,NA,NA,NA
Cercocebus_sanjei,Omnivore,8000,NA,NA,NA
Cercopithecus_lhoesti,Omnivore,5375,diurnal,510,1
Cercopithecus_mitis,Omnivore,5000,diurnal,575,1
Civettictis_civetta,Omnivore,12000,nocturnal,790.14,2.31
Conepatus_semistriatus,Carnivore,1200,nocturnal,NA,3.49
Cricetomys_emini,Omnivore,1300,nocturnal,NA,0.97
Cricetomys_gambianus,Omnivore,1285,NA,362.64,3.11
Crocuta_crocuta,Carnivore,63000,nocturnal,1300.11,1.91
Cryptoprocta_ferox,Carnivore,9500,transition,726.04,2.98
Cuniculus_paca,Herbivore,8000,nocturnal,647.06,1.01
Cuon_alpinus,Carnivore,12760,transition,987.74,4.3
Dasyprocta_fuliginosa,Herbivore,3500,diurnal,NA,NA
Dasyprocta_punctata,Herbivore,2675,diurnal,NA,1.25
Dasypus_kappleri,Herbivore,9500,transition,555.34,4.47
Dasypus_novemcinctus,Herbivore,4204,transition,442.79,3.96
Didelphis_marsupialis,Omnivore,1091,nocturnal,402.7,7.09
Echinosorex_gymnura,Insectivore,957,transition,327.7,1.9
Eira_barbara,Omnivore,3910,transition,612.64,2.14
Eulemur_rufifrons,Herbivore,300,transition,457.01,NA
Eupleres_goudotii,Carnivore,1500,transition,549.99,1
Fossa_fossana,Carnivore,218,nocturnal,456.88,1
Galidia_elegans,Carnivore,800,transition,351.07,1
Galidictis_fasciata,Carnivore,550,transition,318.31,1
Genetta_servalina,Carnivore,1055,nocturnal,486.39,1.5
Gorilla_beringei,Herbivore,124251,NA,NA,NA
Helarctos_malayanus,Omnivore,47000,nocturnal,1220.79,1.1
Hemicentetes_nigriceps,Carnivore,1.00E+05,transition,NA,2.84
Hemicentetes_semispinosus,Carnivore,138,transition,175,5.32
Hemigalus_derbyanus,Carnivore,2000,nocturnal,458.63,1.73
Herpestes_brachyurus,Carnivore,2000,nocturnal,414.47,3.49
Herpestes_urva,Carnivore,1863,nocturnal,506.24,3
Hystrix_africaeaustralis,Omnivore,8000,nocturnal,NA,1.51
Hystrix_brachyura,Omnivore,8000,nocturnal,528.81,1.41
Lariscus_insignis,Omnivore,200,NA,177.16,NA
Leopardus_pardalis,Carnivore,11900,transition,744.33,1.66
