sp,Arctictis_binturong,Arctonyx_collaris,Atherurus_africanus,Atherurus_macrourus,Atilax_paludinosus,Bdeogale_crassicauda,Callosciurus_erythraeus,Canis_adustus,Capricornis_milneedwardsii,Capricornis_sumatraensis,Caracal_aurata,Cephalophus_harveyi,Cephalophus_nigrifrons,Cephalophus_silvicultor,Cephalophus_spadix,Cephalophus_weynsi,Cercocebus_sanjei,Cercopithecus_lhoesti,Cercopithecus_mitis,Civettictis_civetta,Conepatus_semistriatus,Cricetomys_emini,Cricetomys_gambianus,Crocuta_crocuta,Cryptoprocta_ferox,Cuniculus_paca,Cuon_alpinus,Dasyprocta_fuliginosa,Dasyprocta_punctata,Dasypus_kappleri,Dasypus_novemcinctus,Didelphis_marsupialis,Echinosorex_gymnura,Eira_barbara,Eulemur_rufifrons,Eupleres_goudotii,Fossa_fossana,Galidia_elegans,Galidictis_fasciata,Genetta_servalina,Gorilla_beringei,Helarctos_malayanus,Hemicentetes_nigriceps,Hemicentetes_semispinosus,Hemigalus_derbyanus,Herpestes_brachyurus,Herpestes_urva,Hystrix_africaeaustralis,Hystrix_brachyura,Lariscus_insignis,Leopardus_pardalis,Leopardus_wiedii,Leopoldamys_sabanus,Leptailurus_serval,Loxodonta_africana,Macaca_arctoides,Macaca_assamensis,Macaca_fascicularis,Macaca_leonina,Macaca_nemestrina,Manis_javanica,Martes_flavigula,Mazama_americana,Mazama_temama,Mellivora_capensis,Melogale_personata,Metachirus_nudicaudatus,Mungos_mungo,Muntiacus_muntjak,Myrmecophaga_tridactyla,Nandinia_binotata,Nasua_narica,Nasua_nasua,Neofelis_nebulosa,Nesomys_rufus,Odocoileus_virginianus,Paguma_larvata,Pan_troglodytes,Panthera_onca,Panthera_pardus,Papio_anubis,Papio_cynocephalus,Paradoxurus_hermaphroditus,Paraxerus_vexillarius,Pardofelis_marmorata,Pardofelis_temminckii,Pecari_tajacu,Petrodromus_tetradactylus,Phataginus_tricuspis,Philander_opossum,Potamochoerus_larvatus,Presbytis_siamensis,Prionailurus_bengalensis,Prionailurus_planiceps,Prionodon_linsang,Procyon_cancrivorus,Procyon_lotor,Proechimys_semispinosus,Puma_concolor,Puma_yagouaroundi,Rattus_rattus,Rhinosciurus_laticaudatus,Rhizomys_sumatrensis,Rhynchocyon_cirnei,Rhynchocyon_udzungwensis,Rusa_unicolor,Sciurus_granatensis,Sciurus_spadiceus,Setifer_setosus,Sundasciurus_hippurus,Sus_scrofa,Syncerus_caffer,Tamandua_mexicana,Tamandua_tetradactyla,Tapirus_bairdii,Tapirus_indicus,Tapirus_terrestris,Tenrec_ecaudatus,Thryonomys_gregorianus,Thryonomys_swinderianus,Tragelaphus_scriptus,Tragelaphus_spekii,Tragulus_kanchil,Tremarctos_ornatus,Tupaia_glis,Viverra_zibetha
Arctictis_binturong,0,128.1991612,192.4036312,192.4036312,80.79828291,80.79828291,192.4036312,128.1991612,170.8010849,170.8010849,84.20120209,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,52.00163716,128.1991612,192.4036312,192.4036312,84.20120209,80.39934429,192.4036312,128.1991612,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,128.1991612,192.4036312,80.39934429,80.39934429,80.79828291,80.79828291,52.00163716,192.4036312,128.1991612,197.7993085,197.7993085,50.00287305,80.79828291,80.79828291,192.4036312,192.4036312,192.4036312,84.20120209,84.20120209,192.4036312,84.20120209,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,161.999191,128.1991612,170.8010849,170.8010849,128.1991612,128.1991612,294.2008618,80.79828291,170.8010849,197.4002524,49.60038263,128.1991612,128.1991612,84.20120209,192.4036312,170.8010849,13.00237395,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,25.60153516,192.4036312,84.20120209,84.20120209,170.8010849,197.7993085,161.999191,294.2008618,170.8010849,192.4036312,84.20120209,84.20120209,52.00163716,128.1991612,128.1991612,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,170.8010849,192.4036312,192.4036312,197.7993085,192.4036312,170.8010849,170.8010849,197.4002524,197.4002524,170.8010849,170.8010849,170.8010849,197.7993085,192.4036312,192.4036312,170.8010849,170.8010849,170.8010849,128.1991612,192.4036312,52.00163716
Arctonyx_collaris,128.1991612,0,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,111.8021445,170.8010849,170.8010849,128.1991612,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,128.1991612,50.36857189,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,111.8021445,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,51.77718759,192.4036312,128.1991612,128.1991612,128.1991612,128.1991612,128.1991612,192.4036312,98.99873019,197.7993085,197.7993085,128.1991612,128.1991612,128.1991612,192.4036312,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,128.1991612,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,161.999191,51.77718759,170.8010849,170.8010849,51.77718759,50.4665565,294.2008618,128.1991612,170.8010849,197.4002524,128.1991612,64.20195935,64.20195935,128.1991612,192.4036312,170.8010849,128.1991612,192.4036312,128.1991612,128.1991612,192.4036312,192.4036312,128.1991612,192.4036312,128.1991612,128.1991612,170.8010849,197.7993085,161.999191,294.2008618,170.8010849,192.4036312,128.1991612,128.1991612,128.1991612,64.20195935,64.20195935,192.4036312,128.1991612,128.1991612,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,170.8010849,192.4036312,192.4036312,197.7993085,192.4036312,170.8010849,170.8010849,197.4002524,197.4002524,170.8010849,170.8010849,170.8010849,197.7993085,192.4036312,192.4036312,170.8010849,170.8010849,170.8010849,98.99873019,192.4036312,128.1991612
Atherurus_africanus,192.4036312,192.4036312,0,32.2,192.4036312,192.4036312,165.2021756,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,164.8011683,164.8011683,192.4036312,192.4036312,68.09382986,192.4036312,70.67799149,70.67799149,197.4002524,197.4002524,294.2008618,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312,197.7993085,197.7993085,192.4036312,192.4036312,192.4036312,35.86754295,35.86754295,165.2021756,192.4036312,192.4036312,164.8011683,192.4036312,197.7993085,183.7969854,183.7969854,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,294.2008618,192.4036312,192.4036312,197.4002524,192.4036312,192.4036312,192.4036312,192.4036312,164.8011683,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,183.7969854,183.7969854,192.4036312,165.2021756,192.4036312,192.4036312,192.4036312,197.7993085,192.4036312,294.2008618,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,77.56166445,192.4036312,192.4036312,164.8011683,165.2021756,164.8011683,197.7993085,197.7993085,192.4036312,165.2021756,165.2021756,197.7993085,165.2021756,192.4036312,192.4036312,197.4002524,197.4002524,192.4036312,192.4036312,192.4036312,197.7993085,72.00825282,72.00825282,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312
Atherurus_macrourus,192.4036312,192.4036312,32.2,0,192.4036312,192.4036312,165.2021756,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,164.8011683,164.8011683,192.4036312,192.4036312,68.09382986,192.4036312,70.67799149,70.67799149,197.4002524,197.4002524,294.2008618,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312,197.7993085,197.7993085,192.4036312,192.4036312,192.4036312,35.86754295,35.86754295,165.2021756,192.4036312,192.4036312,164.8011683,192.4036312,197.7993085,183.7969854,183.7969854,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,294.2008618,192.4036312,192.4036312,197.4002524,192.4036312,192.4036312,192.4036312,192.4036312,164.8011683,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,183.7969854,183.7969854,192.4036312,165.2021756,192.4036312,192.4036312,192.4036312,197.7993085,192.4036312,294.2008618,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,77.56166445,192.4036312,192.4036312,164.8011683,165.2021756,164.8011683,197.7993085,197.7993085,192.4036312,165.2021756,165.2021756,197.7993085,165.2021756,192.4036312,192.4036312,197.4002524,197.4002524,192.4036312,192.4036312,192.4036312,197.7993085,72.00825282,72.00825282,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312
Atilax_paludinosus,80.79828291,128.1991612,192.4036312,192.4036312,0,50.96531501,192.4036312,128.1991612,170.8010849,170.8010849,84.20120209,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,80.79828291,128.1991612,192.4036312,192.4036312,84.20120209,80.79828291,192.4036312,128.1991612,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,128.1991612,192.4036312,80.79828291,80.79828291,78.20174095,78.20174095,80.79828291,192.4036312,128.1991612,197.7993085,197.7993085,80.79828291,50.96531501,50.96531501,192.4036312,192.4036312,192.4036312,84.20120209,84.20120209,192.4036312,84.20120209,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,161.999191,128.1991612,170.8010849,170.8010849,128.1991612,128.1991612,294.2008618,50.96531501,170.8010849,197.4002524,80.79828291,128.1991612,128.1991612,84.20120209,192.4036312,170.8010849,80.79828291,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,80.79828291,192.4036312,84.20120209,84.20120209,170.8010849,197.7993085,161.999191,294.2008618,170.8010849,192.4036312,84.20120209,84.20120209,80.79828291,128.1991612,128.1991612,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,170.8010849,192.4036312,192.4036312,197.7993085,192.4036312,170.8010849,170.8010849,197.4002524,197.4002524,170.8010849,170.8010849,170.8010849,197.7993085,192.4036312,192.4036312,170.8010849,170.8010849,170.8010849,128.1991612,192.4036312,80.79828291
Bdeogale_crassicauda,80.79828291,128.1991612,192.4036312,192.4036312,50.96531501,0,192.4036312,128.1991612,170.8010849,170.8010849,84.20120209,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,80.79828291,128.1991612,192.4036312,192.4036312,84.20120209,80.79828291,192.4036312,128.1991612,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,128.1991612,192.4036312,80.79828291,80.79828291,78.20174095,78.20174095,80.79828291,192.4036312,128.1991612,197.7993085,197.7993085,80.79828291,39.36748701,39.36748701,192.4036312,192.4036312,192.4036312,84.20120209,84.20120209,192.4036312,84.20120209,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,161.999191,128.1991612,170.8010849,170.8010849,128.1991612,128.1991612,294.2008618,32.26238011,170.8010849,197.4002524,80.79828291,128.1991612,128.1991612,84.20120209,192.4036312,170.8010849,80.79828291,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,80.79828291,192.4036312,84.20120209,84.20120209,170.8010849,197.7993085,161.999191,294.2008618,170.8010849,192.4036312,84.20120209,84.20120209,80.79828291,128.1991612,128.1991612,192.4036312,84.20120209,84.20120209,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,170.8010849,192.4036312,192.4036312,197.7993085,192.4036312,170.8010849,170.8010849,197.4002524,197.4002524,170.8010849,170.8010849,170.8010849,197.7993085,192.4036312,192.4036312,170.8010849,170.8010849,170.8010849,128.1991612,192.4036312,80.79828291
Callosciurus_erythraeus,192.4036312,192.4036312,165.2021756,165.2021756,192.4036312,192.4036312,0,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,165.2021756,165.2021756,192.4036312,192.4036312,165.2021756,192.4036312,165.2021756,165.2021756,197.4002524,197.4002524,294.2008618,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312,197.7993085,197.7993085,192.4036312,192.4036312,192.4036312,165.2021756,165.2021756,38.39964087,192.4036312,192.4036312,165.2021756,192.4036312,197.7993085,183.7969854,183.7969854,183.7969854,183.7969854,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,294.2008618,192.4036312,192.4036312,197.4002524,192.4036312,192.4036312,192.4036312,192.4036312,165.2021756,192.4036312,192.4036312,183.7969854,192.4036312,192.4036312,183.7969854,183.7969854,192.4036312,80.39957519,192.4036312,192.4036312,192.4036312,197.7993085,192.4036312,294.2008618,192.4036312,183.7969854,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,165.2021756,192.4036312,192.4036312,165.2021756,49.31916663,165.2021756,197.7993085,197.7993085,192.4036312,49.92085914,49.92085914,197.7993085,49.10412666,192.4036312,192.4036312,197.4002524,197.4002524,192.4036312,192.4036312,192.4036312,197.7993085,165.2021756,165.2021756,192.4036312,192.4036312,192.4036312,192.4036312,183.7969854,192.4036312
Canis_adustus,128.1991612,111.8021445,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,0,170.8010849,170.8010849,128.1991612,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,128.1991612,111.8021445,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,5.870795273,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,111.8021445,192.4036312,128.1991612,128.1991612,128.1991612,128.1991612,128.1991612,192.4036312,111.8021445,197.7993085,197.7993085,128.1991612,128.1991612,128.1991612,192.4036312,192.4036312,192.4036312,128.1991612,128.1991612,192.4036312,128.1991612,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,161.999191,111.8021445,170.8010849,170.8010849,111.8021445,111.8021445,294.2008618,128.1991612,170.8010849,197.4002524,128.1991612,111.8021445,111.8021445,128.1991612,192.4036312,170.8010849,128.1991612,192.4036312,128.1991612,128.1991612,192.4036312,192.4036312,128.1991612,192.4036312,128.1991612,128.1991612,170.8010849,197.7993085,161.999191,294.2008618,170.8010849,192.4036312,128.1991612,128.1991612,128.1991612,111.8021445,111.8021445,192.4036312,128.1991612,128.1991612,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,170.8010849,192.4036312,192.4036312,197.7993085,192.4036312,170.8010849,170.8010849,197.4002524,197.4002524,170.8010849,170.8010849,170.8010849,197.7993085,192.4036312,192.4036312,170.8010849,170.8010849,170.8010849,111.8021445,192.4036312,128.1991612
Capricornis_milneedwardsii,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,0,5.677165716,170.8010849,42.90910301,42.90910301,42.90910301,42.90910301,42.90910301,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,170.8010849,192.4036312,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,170.8010849,197.7993085,197.7993085,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,53.40087667,53.40087667,170.8010849,170.8010849,294.2008618,170.8010849,53.40087667,197.4002524,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,53.40087667,170.8010849,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,192.4036312,170.8010849,170.8010849,131.1998789,197.7993085,170.8010849,294.2008618,131.1998789,192.4036312,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,53.40087667,192.4036312,192.4036312,197.7993085,192.4036312,131.1998789,52.99723177,197.4002524,197.4002524,170.6007053,170.6007053,170.6007053,197.7993085,192.4036312,192.4036312,52.99723177,52.99723177,96.6,170.8010849,192.4036312,170.8010849
Capricornis_sumatraensis,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,5.677165716,0,170.8010849,42.90910301,42.90910301,42.90910301,42.90910301,42.90910301,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,192.4036312,192.4036312,197.4002524,197.4002524,294.2008618,177.0003746,170.8010849,192.4036312,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,170.8010849,197.7993085,197.7993085,170.8010849,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,192.4036312,170.8010849,197.7993085,192.4036312,192.4036312,192.4036312,192.4036312,192.4036312,170.8010849,170.8010849,53.40087667,53.40087667,170.8010849,170.8010849,294.2008618,170.8010849,53.40087667,197.4002524,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,53.40087667,170.8010849,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,170.8010849,192.4036312,170.8010849,170.8010849,131.1998789,197.7993085,170.8010849,294.2008618,131.1998789,192.4036312,170.8010849,170.8010849,170.8010849,170.8010849,170.8010849,192.4036312,170.8010849,170.8010849,192.4036312,192.4036312,192.4036312,197.7993085,197.7993085,53.40087667,192.4036312,192.4036312,197.7993085,192.4036312,131.1998789,52.99723177,197.4002524,197.4002524,170.6007053,170.6007053,170.6007053,197.7993085,192.4036312,192.4036312,52.99723177,52.99723177,96.6,170.8010849,192.4036312,170.8010849
