"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestGainCT)","SEcol(ForestGainCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestGainCT)","SEext(ForestGainCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestGainCT)","SEp(ForestGainCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"15","15","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,NA,NA,0.310458423347451,0.922890496594602,NA,NA,NA,NA,NA,NA,NA,NA,2.81349120155253,1.58663471228929,NA,NA,NA,NA,NA,NA,0.548607048867527,0.516342058273021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89793684612442,0.238342857096988,NA,NA,NA,NA,NA,NA,NA,NA,0.117806764058835,0.174224945460217,NA,NA,2.18341019642593,2.68707295697633,0,304.410060938648,180.615990346411,6,60,373.231980692821,0,0.0474579984781448,NA,0.0474579984781448
"69","69","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,NA,NA,0.310458423347451,0.922890496594602,NA,NA,NA,NA,NA,NA,NA,NA,2.81349120155253,1.58663471228929,NA,NA,NA,NA,NA,NA,0.548607048867527,0.516342058273021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89793684612442,0.238342857096988,NA,NA,NA,NA,NA,NA,NA,NA,0.117806764058835,0.174224945460217,NA,NA,2.18341019642593,2.68707295697633,0,304.410060938648,180.615990346411,6,60,373.231980692821,0,0.0474579984781448,NA,0.0949159969562896
"30","30","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,NA,NA,-0.59155510312234,0.518222890947302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93244383172069,2.13298478965042,2.59992465675637,2.00570031938483,NA,NA,1.6649880189764,1.16086844637383,NA,NA,NA,NA,1.52660579290168,1.26726135691109,NA,NA,NA,NA,-0.528035863296585,0.311990785294924,-0.396591709310499,0.423747951529865,NA,NA,-1.7685690778532,0.351120952009451,NA,NA,NA,NA,-0.0204342464208192,0.319039948758137,NA,NA,NA,NA,NA,NA,1.30937155266162,1.32395374503823,0,443.317829753628,176.676109118964,10,60,373.352218237928,0.120237545106363,0.0446889516654995,NA,0.139604948621789
"81","81","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,NA,NA,-0.59155510312234,0.518222890947302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93244383172069,2.13298478965042,2.59992465675637,2.00570031938483,NA,NA,1.6649880189764,1.16086844637383,NA,NA,NA,NA,1.52660579290168,1.26726135691109,NA,NA,NA,NA,-0.528035863296585,0.311990785294924,-0.396591709310499,0.423747951529865,NA,NA,-1.7685690778532,0.351120952009451,NA,NA,NA,NA,-0.0204342464208192,0.319039948758137,NA,NA,NA,NA,NA,NA,1.30937155266162,1.32395374503823,0,443.317829753628,176.676109118964,10,60,373.352218237928,0.120237545106363,0.0446889516654995,NA,0.184293900287289
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,-0.519532339207301,0.516046461964803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33321317212909,0.818525428823905,NA,NA,NA,NA,1.69824636804422,1.07428014003912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88869114551298,0.291751935587272,NA,NA,NA,NA,-0.202880446548814,0.30874754290032,NA,NA,NA,NA,NA,NA,1.09394706585358,1.11408164521029,0,69.7997322118056,180.974120826966,6,60,373.948241653932,0.716260961110265,0.0331722803098277,NA,0.217466180597116
"58","58","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,NA,NA,-0.519532339207301,0.516046461964803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33321317212909,0.818525428823905,NA,NA,NA,NA,1.69824636804422,1.07428014003912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88869114551298,0.291751935587272,NA,NA,NA,NA,-0.202880446548814,0.30874754290032,NA,NA,NA,NA,NA,NA,1.09394706585358,1.11408164521029,0,69.7997322118056,180.974120826966,6,60,373.948241653932,0.716260961110265,0.0331722803098277,NA,0.250638460906944
"14","14","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,NA,NA,0.175061723040593,0.958160605937445,NA,NA,NA,NA,NA,NA,NA,NA,2.43187691839302,1.58910440192132,NA,NA,NA,NA,NA,NA,0.5274915700785,0.531190520967608,NA,NA,NA,NA,NA,NA,NA,NA,-0.547916330288902,0.541167760500167,NA,NA,NA,NA,NA,NA,-1.88548048390174,0.252962788143637,NA,NA,NA,NA,NA,NA,NA,NA,0.0837135876434947,0.17161668652012,NA,NA,1.96420079213527,2.33979260342243,0,251.436622500748,180.008770481232,7,60,374.017540962464,0.785560269642929,0.0320425575438588,NA,0.282681018450803
"68","68","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,NA,NA,0.175061723040593,0.958160605937445,NA,NA,NA,NA,NA,NA,NA,NA,2.43187691839302,1.58910440192132,NA,NA,NA,NA,NA,NA,0.5274915700785,0.531190520967608,NA,NA,NA,NA,NA,NA,NA,NA,-0.547916330288902,0.541167760500167,NA,NA,NA,NA,NA,NA,-1.88548048390174,0.252962788143637,NA,NA,NA,NA,NA,NA,NA,NA,0.0837135876434947,0.17161668652012,NA,NA,1.96420079213527,2.33979260342243,0,251.436622500748,180.008770481232,7,60,374.017540962464,0.785560269642929,0.0320425575438588,NA,0.314723575994662
"46","46","~1 ~ Tvar * Biotic ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-0.415173471469,0.664866456434872,NA,NA,0.593233449946885,0.921784245376642,NA,NA,NA,NA,NA,NA,-2.96588711468951,1.67760671062464,5.2815453259215,2.81059900924205,NA,NA,1.52448029722321,1.04408014437532,NA,NA,0.967429671003996,0.600568074908693,NA,NA,NA,NA,NA,NA,-3.94466164863769,2.20700801574174,0.256923650406677,1.07174046048157,NA,NA,-0.0688734087056437,0.227862720394992,NA,NA,-2.03805830228087,0.212602552076929,NA,NA,NA,NA,NA,NA,0.418994638052332,0.217379703739529,-0.219816482126535,0.316633813774476,NA,NA,2.85439820379873,3.89468908955202,0,1206.31198230214,174.014352291505,13,60,374.02870458301,0.796723890188446,0.0318642003082038,NA,0.346587776302865
"93","93","~1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-0.415173471469,0.664866456434872,NA,NA,0.593233449946885,0.921784245376642,NA,NA,NA,NA,NA,NA,-2.96588711468951,1.67760671062464,5.2815453259215,2.81059900924205,NA,NA,1.52448029722321,1.04408014437532,NA,NA,0.967429671003996,0.600568074908693,NA,NA,NA,NA,NA,NA,-3.94466164863769,2.20700801574174,0.256923650406677,1.07174046048157,NA,NA,-0.0688734087056437,0.227862720394992,NA,NA,-2.03805830228087,0.212602552076929,NA,NA,NA,NA,NA,NA,0.418994638052332,0.217379703739529,-0.219816482126535,0.316633813774476,NA,NA,2.85439820379873,3.89468908955202,0,1206.31198230214,174.014352291505,13,60,374.02870458301,0.796723890188446,0.0318642003082038,NA,0.378451976611069
