"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"28","28","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.07145089669333,0.416492957481288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25097587727339,0.764560945138288,-1.81226259788785,0.605176524442662,NA,NA,NA,NA,-1.30913109227096,0.805686102602442,NA,NA,NA,NA,NA,NA,-0.418180842318206,0.13236824038565,-0.259838449720588,0.131840285436097,NA,NA,NA,NA,-0.666017067438714,0.159135507414784,NA,NA,NA,NA,NA,NA,1.44137740137155,0.492962844045805,0,349.730533689954,456.621989311704,8,60,929.243978623409,0,0.143335834796493,NA,0.143335834796493
"78","78","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.07145089669333,0.416492957481288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25097587727339,0.764560945138288,-1.81226259788785,0.605176524442662,NA,NA,NA,NA,-1.30913109227096,0.805686102602442,NA,NA,NA,NA,NA,NA,-0.418180842318206,0.13236824038565,-0.259838449720588,0.131840285436097,NA,NA,NA,NA,-0.666017067438714,0.159135507414784,NA,NA,NA,NA,NA,NA,1.44137740137155,0.492962844045805,0,349.730533689954,456.621989311704,8,60,929.243978623409,0,0.143335834796493,NA,0.286671669592986
"27","27","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,1.52577265902182,1.13010942419854,-1.69978653691667,0.70208064538156,NA,NA,NA,NA,-0.842574455059287,0.749250750043715,NA,NA,NA,NA,NA,NA,-1.5685139223938,0.322428264652019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39106548748708,0.130543427763161,-0.273524653890836,0.130568360410771,NA,NA,NA,NA,-0.68641501234457,0.157646455157903,NA,NA,NA,NA,NA,NA,1.60860076321384,0.542476655092582,0,520.650877455547,457.321109849372,8,60,930.642219698745,1.39824107533605,0.0712410953837105,NA,0.357912764976696
"77","77","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,1.52577265902182,1.13010942419854,-1.69978653691667,0.70208064538156,NA,NA,NA,NA,-0.842574455059287,0.749250750043715,NA,NA,NA,NA,NA,NA,-1.5685139223938,0.322428264652019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39106548748708,0.130543427763161,-0.273524653890836,0.130568360410771,NA,NA,NA,NA,-0.68641501234457,0.157646455157903,NA,NA,NA,NA,NA,NA,1.60860076321384,0.542476655092582,0,520.650877455547,457.321109849372,8,60,930.642219698745,1.39824107533605,0.0712410953837105,NA,0.429153860360407
"26","26","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.43509811745063,1.1073549364328,-1.79102725025494,0.69123546931054,NA,NA,NA,NA,-0.958399961259176,0.745161392098232,NA,NA,NA,NA,-1.03159810509133,0.620157467827803,-1.80314460909978,0.543813046398178,NA,NA,NA,NA,-1.27794581137966,0.717344820703458,NA,NA,NA,NA,NA,NA,-0.402421083926104,0.130378365708453,-0.260830268046655,0.131168284935414,NA,NA,NA,NA,-0.671481087762646,0.157590149063995,NA,NA,NA,NA,NA,NA,1.46054090916218,0.491076047335821,0,525.259155483695,455.484345339848,10,60,930.968690679695,1.72471205628653,0.0605115553180951,NA,0.489665415678502
"76","76","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.43509811745063,1.1073549364328,-1.79102725025494,0.69123546931054,NA,NA,NA,NA,-0.958399961259176,0.745161392098232,NA,NA,NA,NA,-1.03159810509133,0.620157467827803,-1.80314460909978,0.543813046398178,NA,NA,NA,NA,-1.27794581137966,0.717344820703458,NA,NA,NA,NA,NA,NA,-0.402421083926104,0.130378365708453,-0.260830268046655,0.131168284935414,NA,NA,NA,NA,-0.671481087762646,0.157590149063995,NA,NA,NA,NA,NA,NA,1.46054090916218,0.491076047335821,0,525.259155483695,455.484345339848,10,60,930.968690679695,1.72471205628653,0.0605115553180951,NA,0.550176970996597
"31","31","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.0794267510724,0.416302416209545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26429181370528,0.758039093519058,-1.84250682090857,0.60412167250964,NA,NA,NA,NA,-1.34442869790596,0.793070379852153,NA,NA,NA,NA,NA,NA,-0.416735821720598,0.13211682544747,-0.258842485925495,0.131909452729608,NA,NA,NA,NA,-0.662654524074538,0.158817444515323,NA,NA,NA,NA,0.787797523631936,1.78174518247886,0.688551278161933,1.72014551939779,0,1913.41266201685,456.529938676582,9,60,931.059877353163,1.81589872975474,0.0578145808125599,NA,0.607991551809157
"81","81","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.0794267510724,0.416302416209545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26429181370528,0.758039093519058,-1.84250682090857,0.60412167250964,NA,NA,NA,NA,-1.34442869790596,0.793070379852153,NA,NA,NA,NA,NA,NA,-0.416735821720598,0.13211682544747,-0.258842485925495,0.131909452729608,NA,NA,NA,NA,-0.662654524074538,0.158817444515323,NA,NA,NA,NA,0.787797523631936,1.78174518247886,0.688551278161933,1.72014551939779,0,1913.41266201685,456.529938676582,9,60,931.059877353163,1.81589872975474,0.0578145808125599,NA,0.665806132621717
"33","33","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",-2.51770595861286,2.13610890469345,0.994741089543031,1.91144947779504,-1.28140224613127,0.853923656353994,NA,NA,NA,NA,0.289684560462995,1.15655691507601,NA,NA,NA,NA,NA,NA,-1.52894446371381,0.315925133802641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134484454260501,0.124143687855581,-0.246359574210615,0.183780314311427,-0.36885448779136,0.162548068040141,NA,NA,NA,NA,-0.843842814158157,0.22749558945329,NA,NA,NA,NA,NA,NA,1.59997747242584,0.545042253250888,0,4040.38916728482,455.820564576291,10,60,931.641129152582,2.39715052917313,0.0432334762065461,NA,0.709039608828263
"83","83","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",-2.51770595861286,2.13610890469345,0.994741089543031,1.91144947779504,-1.28140224613127,0.853923656353994,NA,NA,NA,NA,0.289684560462995,1.15655691507601,NA,NA,NA,NA,NA,NA,-1.52894446371381,0.315925133802641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134484454260501,0.124143687855581,-0.246359574210615,0.183780314311427,-0.36885448779136,0.162548068040141,NA,NA,NA,NA,-0.843842814158157,0.22749558945329,NA,NA,NA,NA,NA,NA,1.59997747242584,0.545042253250888,0,4040.38916728482,455.820564576291,10,60,931.641129152582,2.39715052917313,0.0432334762065461,NA,0.752273085034809
