"","model","formula","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestGainCT)","SEext(ForestGainCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestGainCT)","SEp(ForestGainCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"24","24","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",1.79746657092225,0.893647554683098,NA,NA,NA,NA,NA,NA,-0.674536693095338,0.414159331496192,-1.02571866807815,0.778633715777597,NA,NA,-1.03368230141442,0.466869938224081,NA,NA,NA,NA,0.954805549034647,0.68579545798136,NA,NA,NA,NA,0.243276246152277,0.115114920849662,0.0400966743103133,0.175480129169849,NA,NA,-0.334255877036181,0.145230405767941,NA,NA,NA,NA,-0.930948415307279,0.196698684336136,NA,NA,NA,NA,NA,NA,1.36407822942725,0.562624704759001,0,667.966956183142,504.403513974941,10,60,1028.80702794988,0,0.191338831965687,NA,0.191338831965687
"54","54","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",1.79746657092225,0.893647554683098,NA,NA,NA,NA,NA,NA,-0.674536693095338,0.414159331496192,-1.02571866807815,0.778633715777597,NA,NA,-1.03368230141442,0.466869938224081,NA,NA,NA,NA,0.954805549034647,0.68579545798136,NA,NA,NA,NA,0.243276246152277,0.115114920849662,0.0400966743103133,0.175480129169849,NA,NA,-0.334255877036181,0.145230405767941,NA,NA,NA,NA,-0.930948415307279,0.196698684336136,NA,NA,NA,NA,NA,NA,1.36407822942725,0.562624704759001,0,667.966956183142,504.403513974941,10,60,1028.80702794988,0,0.191338831965687,NA,0.382677663931375
"22","22","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",1.60265520574555,0.851472106185292,NA,NA,NA,NA,NA,NA,NA,NA,-1.1500907947067,0.990452526799277,NA,NA,-1.0433713958148,0.456824088771091,NA,NA,NA,NA,0.538311931897748,0.596311989737091,NA,NA,NA,NA,NA,NA,-0.2688675328014,0.116955074478624,NA,NA,-0.147991105694119,0.12015353689529,NA,NA,NA,NA,-0.66973716623557,0.139953150830939,NA,NA,NA,NA,NA,NA,1.31331214814023,0.547290378174509,0,369.794066542688,507.381081530159,8,60,1030.76216306032,1.95513511043646,0.0719864776180456,NA,0.45466414154942
"52","52","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",1.60265520574555,0.851472106185292,NA,NA,NA,NA,NA,NA,NA,NA,-1.1500907947067,0.990452526799277,NA,NA,-1.0433713958148,0.456824088771091,NA,NA,NA,NA,0.538311931897748,0.596311989737091,NA,NA,NA,NA,NA,NA,-0.2688675328014,0.116955074478624,NA,NA,-0.147991105694119,0.12015353689529,NA,NA,NA,NA,-0.66973716623557,0.139953150830939,NA,NA,NA,NA,NA,NA,1.31331214814023,0.547290378174509,0,369.794066542688,507.381081530159,8,60,1030.76216306032,1.95513511043646,0.0719864776180456,NA,0.526650619167466
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",1.73030779949239,0.879860298835438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49114578916566,0.345999331183442,NA,NA,NA,NA,0.249147634175811,0.417241140315536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230476635206569,0.112301181664297,NA,NA,NA,NA,-0.522857444670114,0.128962132357824,NA,NA,NA,NA,NA,NA,1.28217435336374,0.53080383923509,0,158.537306928448,509.581031907189,6,60,1031.16206381438,2.3550358644959,0.0589404677601661,NA,0.585591086927632
"35","35","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",1.73030779949239,0.879860298835438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49114578916566,0.345999331183442,NA,NA,NA,NA,0.249147634175811,0.417241140315536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230476635206569,0.112301181664297,NA,NA,NA,NA,-0.522857444670114,0.128962132357824,NA,NA,NA,NA,NA,NA,1.28217435336374,0.53080383923509,0,158.537306928448,509.581031907189,6,60,1031.16206381438,2.3550358644959,0.0589404677601661,NA,0.644531554687798
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",1.744612185348,0.920076867730107,NA,NA,0.645813703739324,1.53554581076408,NA,NA,NA,NA,NA,NA,NA,NA,-1.59296806949255,0.305062141933584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223622398040466,0.1125087813837,NA,NA,NA,NA,-0.515593095910489,0.129264311192613,NA,NA,NA,NA,NA,NA,1.27832784631609,0.529261512674564,0,495.430582687859,509.665982735316,6,60,1031.33196547063,2.52493752074952,0.0541402057959636,NA,0.698671760483762
"34","34","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",1.744612185348,0.920076867730107,NA,NA,0.645813703739324,1.53554581076408,NA,NA,NA,NA,NA,NA,NA,NA,-1.59296806949255,0.305062141933584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223622398040466,0.1125087813837,NA,NA,NA,NA,-0.515593095910489,0.129264311192613,NA,NA,NA,NA,NA,NA,1.27832784631609,0.529261512674564,0,495.430582687859,509.665982735316,6,60,1031.33196547063,2.52493752074952,0.0541402057959636,NA,0.752811966279725
"23","23","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",1.57507991568423,0.828241632680136,NA,NA,NA,NA,NA,NA,NA,NA,-1.11954655767492,0.977468805777034,NA,NA,-1.05193291541319,0.459672202571266,NA,NA,NA,NA,0.545069432320532,0.605158762463271,NA,NA,NA,NA,NA,NA,-0.267247555113569,0.117002636769969,NA,NA,-0.144537651392565,0.120446540883304,NA,NA,NA,NA,-0.665627367274911,0.140441432818429,NA,NA,NA,NA,0.886879257855658,1.99825154220765,0.430643522680326,1.99125211102759,0,2562.66730101138,507.281915806447,9,60,1032.56383161289,3.75680366301231,0.0292431106975722,NA,0.782055076977298
"53","53","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",1.57507991568423,0.828241632680136,NA,NA,NA,NA,NA,NA,NA,NA,-1.11954655767492,0.977468805777034,NA,NA,-1.05193291541319,0.459672202571266,NA,NA,NA,NA,0.545069432320532,0.605158762463271,NA,NA,NA,NA,NA,NA,-0.267247555113569,0.117002636769969,NA,NA,-0.144537651392565,0.120446540883304,NA,NA,NA,NA,-0.665627367274911,0.140441432818429,NA,NA,NA,NA,0.886879257855658,1.99825154220765,0.430643522680326,1.99125211102759,0,2562.66730101138,507.281915806447,9,60,1032.56383161289,3.75680366301231,0.0292431106975722,NA,0.81129818767487
