"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"37","37","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-1.92402966736333,1.05897860777271,-2.38560216086395,1.03826340089789,NA,NA,0.263190192653024,0.466818745598646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17305306657894,0.678380322256612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421722159110086,0.129615351080312,-0.611059588029279,0.139761835554995,NA,NA,0.503388059111756,0.142244959157106,NA,NA,NA,NA,NA,NA,NA,NA,0.71487431785951,0.48606167137839,0,331.254773201559,366.505234049453,8,60,749.010468098906,0,0.132509441637889,NA,0.132509441637889
"92","92","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-1.92402966736333,1.05897860777271,-2.38560216086395,1.03826340089789,NA,NA,0.263190192653024,0.466818745598646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17305306657894,0.678380322256612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421722159110086,0.129615351080312,-0.611059588029279,0.139761835554995,NA,NA,0.503388059111756,0.142244959157106,NA,NA,NA,NA,NA,NA,NA,NA,0.71487431785951,0.48606167137839,0,331.254773201559,366.505234049453,8,60,749.010468098906,0,0.132509441637889,NA,0.265018883275778
"36","36","~1 ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-2.03878041587916,0.974541207651412,-2.39949768494381,0.949945004845526,NA,NA,0.154480047322442,0.470334512075715,NA,NA,NA,NA,NA,NA,NA,NA,-1.07924142680058,0.749285320446131,-3.02984157919249,1.15519198165529,NA,NA,-0.737170127274983,0.833588791079105,NA,NA,NA,NA,NA,NA,NA,NA,0.357657439636062,0.139699346010146,-0.606361044007135,0.139028897687596,NA,NA,0.468189309875961,0.143543753900849,NA,NA,NA,NA,NA,NA,NA,NA,0.641845805583832,0.470773211168336,0,309.932629131687,364.716017856515,10,60,749.432035713031,0.421567614125024,0.10732591005105,NA,0.372344793326828
"91","91","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-2.03878041587916,0.974541207651412,-2.39949768494381,0.949945004845526,NA,NA,0.154480047322442,0.470334512075715,NA,NA,NA,NA,NA,NA,NA,NA,-1.07924142680058,0.749285320446131,-3.02984157919249,1.15519198165529,NA,NA,-0.737170127274983,0.833588791079105,NA,NA,NA,NA,NA,NA,NA,NA,0.357657439636062,0.139699346010146,-0.606361044007135,0.139028897687596,NA,NA,0.468189309875961,0.143543753900849,NA,NA,NA,NA,NA,NA,NA,NA,0.641845805583832,0.470773211168336,0,309.932629131687,364.716017856515,10,60,749.432035713031,0.421567614125024,0.10732591005105,NA,0.479670703377879
"94","94","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-2.03878041587916,0.974541207651412,-2.39949768494381,0.949945004845526,NA,NA,0.154480047322442,0.470334512075715,NA,NA,NA,NA,NA,NA,NA,NA,-1.07924142680058,0.749285320446131,-3.02984157919249,1.15519198165529,NA,NA,-0.737170127274983,0.833588791079105,NA,NA,NA,NA,NA,NA,NA,NA,0.357657439636062,0.139699346010146,-0.606361044007135,0.139028897687596,NA,NA,0.468189309875961,0.143543753900849,NA,NA,NA,NA,NA,NA,NA,NA,0.641845805583832,0.470773211168336,0,309.932629131687,364.716017856515,10,60,749.432035713031,0.421567614125024,0.10732591005105,NA,0.586996613428929
"40","40","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-1.91706013921787,1.06102682811231,-2.38010988981601,1.04137187797948,NA,NA,0.269182308121753,0.469732325936015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15910835383518,0.678697170987699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419117912189712,0.131463427135195,-0.612195813059204,0.140341574719001,NA,NA,0.500200314669381,0.144324156254196,NA,NA,NA,NA,NA,NA,-0.29760506711904,2.85033366156596,1.00055496118704,2.81218252595851,0,2537.82433734061,366.498664148419,9,60,750.997328296838,1.9868601979324,0.049068819952528,NA,0.636065433381457
"95","95","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-1.91706013921787,1.06102682811231,-2.38010988981601,1.04137187797948,NA,NA,0.269182308121753,0.469732325936015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15910835383518,0.678697170987699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419117912189712,0.131463427135195,-0.612195813059204,0.140341574719001,NA,NA,0.500200314669381,0.144324156254196,NA,NA,NA,NA,NA,NA,-0.29760506711904,2.85033366156596,1.00055496118704,2.81218252595851,0,2537.82433734061,366.498664148419,9,60,750.997328296838,1.9868601979324,0.049068819952528,NA,0.685134253333985
"39","39","~Elevation ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-2.03893741455084,0.966810656412747,-2.3916258689665,0.936982151064305,NA,NA,0.138827147181876,0.472976374092624,NA,NA,NA,NA,NA,NA,NA,NA,-1.09803861791822,0.752708745924072,-3.06815631449569,1.18369051593526,NA,NA,-0.776058400732888,0.850651610031994,NA,NA,NA,NA,NA,NA,NA,NA,0.362552816452318,0.140584375350726,-0.603235603967787,0.139000158540926,NA,NA,0.473939342384054,0.14426510786899,NA,NA,NA,NA,NA,NA,0.465104893455744,1.28082116075612,0.224965685842485,1.20629381951561,0,475.763826202666,364.661083385925,11,60,751.32216677185,2.31169867294443,0.0417126551700507,NA,0.726846908504035
"38","38","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,NA,NA,-1.08506584487217,0.483704562221224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208969008641388,1.06934844089673,-3.75141490108599,2.44976942900779,NA,NA,-2.07948616386993,1.5487198157873,NA,NA,NA,NA,NA,NA,NA,NA,0.420955405114623,0.13111002944515,-0.629979168218112,0.140002926273599,NA,NA,0.501615577249001,0.134650554603386,NA,NA,NA,NA,NA,NA,NA,NA,0.903157773652939,0.519575573695279,0,1435.30758246157,367.877264519254,8,60,751.754529038509,2.74406093960306,0.0336032715816448,NA,0.76045018008568
"93","93","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,NA,NA,-1.08506584487217,0.483704562221224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208969008641388,1.06934844089673,-3.75141490108599,2.44976942900779,NA,NA,-2.07948616386993,1.5487198157873,NA,NA,NA,NA,NA,NA,NA,NA,0.420955405114623,0.13111002944515,-0.629979168218112,0.140002926273599,NA,NA,0.501615577249001,0.134650554603386,NA,NA,NA,NA,NA,NA,NA,NA,0.903157773652939,0.519575573695279,0,1435.30758246157,367.877264519254,8,60,751.754529038509,2.74406093960306,0.0336032715816448,NA,0.794053451667325
