"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestGainCT)","SEcol(ForestGainCT)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestGainCT)","SEext(ForestGainCT)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestGainCT)","SEp(ForestGainCT)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,-5.15420143777118,71.5730157748913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46754470080194,73.098372597659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.20078858154737,67.0691939552929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.88510313276031,73.7960024216421,0,14.8185850056968,0.0121464041325739,4,60,8.02429280826515,0,0.184349782243441,NA,0.184349782243441
"116","116","~1 ~ ForestLossCT ~ 1 ~ ForestLossCT",NA,NA,NA,NA,NA,NA,1.11015162144346,103.92398217422,-4.85612124269371,72.7642406832751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44093792130826,72.836304839032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01748823638275,103.772461715801,-8.82507092715145,68.4692500794378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.80206148557815,74.0793673421516,0,14.8860820577198,0.0118990055090458,6,60,12.0237980110181,3.99950520275294,0.0249552031137821,NA,0.209304985357223
"117","117","~1 ~ 1 ~ ForestLossCT ~ ForestLossCT",NA,NA,NA,NA,NA,NA,NA,NA,-4.99320906511861,71.8891983401159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321405427358197,104.201935620848,1.40591927296778,74.3075071688541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03592081734909,103.984695644896,-8.90570025996772,68.2425922013512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.72923658289282,74.2290875502671,0,14.9454662315523,0.0119511716446656,6,60,12.0239023432893,3.99960953502418,0.0249539013312268,NA,0.23425888668845
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,NA,NA,NA,NA,-5.03626216908308,71.4088554560324,NA,NA,NA,NA,0.480983878138834,56.6218994393342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45741807867634,73.0721648971374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.04701930685181,66.7343115799303,NA,NA,NA,NA,0.668828404159716,42.5825110583676,NA,NA,NA,NA,NA,NA,-3.84483003380595,73.5103026890644,0,14.7334857186942,0.0119817392331927,6,60,12.0239634784664,3.99967067020124,0.0249531385622968,NA,0.259212025250747
"63","63","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,NA,NA,NA,NA,-5.03626216908308,71.4088554560324,NA,NA,NA,NA,0.480983878138834,56.6218994393342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45741807867634,73.0721648971374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.04701930685181,66.7343115799303,NA,NA,NA,NA,0.668828404159716,42.5825110583676,NA,NA,NA,NA,NA,NA,-3.84483003380595,73.5103026890644,0,14.7334857186942,0.0119817392331927,6,60,12.0239634784664,3.99967067020124,0.0249531385622968,NA,0.284165163813044
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,NA,NA,-5.09056663266684,71.3704815054238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43021879823916,74.5816312063333,NA,NA,NA,NA,-0.258760158384985,84.8946358434112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.07738555870618,66.7958077585936,NA,NA,NA,NA,0.68189963430872,41.7744483658105,NA,NA,NA,NA,NA,NA,-3.82065180984241,73.6610861851137,0,14.7598529398514,0.012012951320979,6,60,12.024025902642,3.99973309437681,0.0249523597349,NA,0.309117523547944
"64","64","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,NA,NA,NA,NA,-5.09056663266684,71.3704815054238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43021879823916,74.5816312063333,NA,NA,NA,NA,-0.258760158384985,84.8946358434112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.07738555870618,66.7958077585936,NA,NA,NA,NA,0.68189963430872,41.7744483658105,NA,NA,NA,NA,NA,NA,-3.82065180984241,73.6610861851137,0,14.7598529398514,0.012012951320979,6,60,12.024025902642,3.99973309437681,0.0249523597349,NA,0.334069883282844
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,NA,NA,NA,NA,-5.12100429478102,71.53593873716,NA,NA,0.167982775990711,44.3684467350444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45680802023051,72.8394045711231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.16562362810339,66.9721880080024,NA,NA,0.260014745945874,32.6526929418959,NA,NA,NA,NA,NA,NA,NA,NA,-3.88187127268749,73.6714061725658,0,14.818487094376,0.0121044855000743,6,60,12.0242089710001,3.999916162735,0.0249500758456637,NA,0.359019959128507
"69","69","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,NA,NA,NA,NA,-5.12100429478102,71.53593873716,NA,NA,0.167982775990711,44.3684467350444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45680802023051,72.8394045711231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.16562362810339,66.9721880080024,NA,NA,0.260014745945874,32.6526929418959,NA,NA,NA,NA,NA,NA,NA,NA,-3.88187127268749,73.6714061725658,0,14.818487094376,0.0121044855000743,6,60,12.0242089710001,3.999916162735,0.0249500758456637,NA,0.383970034974171
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,NA,NA,-5.13021772524831,71.5346740192934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44853915766766,73.2136464033772,NA,NA,-0.114744463119949,76.1204108289466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.1706361280065,66.979957930212,NA,NA,0.274330376305937,32.0130129435625,NA,NA,NA,NA,NA,NA,NA,NA,-3.87800393081155,73.7027576296944,0,14.8228790803459,0.0121101424924111,6,60,12.0242202849848,3.99992747671967,0.024949934703675,NA,0.408919969677846
