"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"24","24","~Elevation ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.50064648130705,0.490827894915078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81037216484668,1.04407467415552,0.841683867338623,0.846565301590058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0930405839652099,0.18419905724527,-1.72740002859391,0.315184587772316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34384007225448,3.2605432447143,-4.43668294678081,3.07390980139483,0,1812.53100333445,164.698239300447,7,60,343.396478600894,0,0.0941905014767974,NA,0.0941905014767974
"66","66","~Elevation^2 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.50064648130705,0.490827894915078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81037216484668,1.04407467415552,0.841683867338623,0.846565301590058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0930405839652099,0.18419905724527,-1.72740002859391,0.315184587772316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34384007225448,3.2605432447143,-4.43668294678081,3.07390980139483,0,1812.53100333445,164.698239300447,7,60,343.396478600894,0,0.0941905014767974,NA,0.188381002953595
"36","36","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-3.83613543546371,2.29337759581841,-6.03069899709968,3.5568679910077,NA,NA,2.05349931374491,1.19243856867693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51824401209867,0.754254172131532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.317433715767395,0.184857762874272,-2.34104587060629,0.296270220816205,NA,NA,-0.371305048315826,0.261754708558935,NA,NA,NA,NA,NA,NA,NA,NA,-0.0408993984461125,0.53189006562791,0,1430.27292059748,163.947534364225,8,60,343.895068728451,0.49859012755627,0.0734073655839076,NA,0.261788368537502
"78","78","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-3.83613543546371,2.29337759581841,-6.03069899709968,3.5568679910077,NA,NA,2.05349931374491,1.19243856867693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51824401209867,0.754254172131532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.317433715767395,0.184857762874272,-2.34104587060629,0.296270220816205,NA,NA,-0.371305048315826,0.261754708558935,NA,NA,NA,NA,NA,NA,NA,NA,-0.0408993984461125,0.53189006562791,0,1430.27292059748,163.947534364225,8,60,343.895068728451,0.49859012755627,0.0734073655839076,NA,0.33519573412141
"46","46","~Elevation ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,NA,NA,-1.54148999159835,0.44728466205475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04174542179431,2.90588857616324,1.87059445614222,1.3028296937196,NA,NA,NA,NA,NA,NA,2.86892547889213,1.9006053558029,NA,NA,0.0753731204006746,0.186851047085042,-1.66000761925952,0.30796135512018,NA,NA,NA,NA,NA,NA,NA,NA,-0.021693245856376,0.2170155481217,4.22788812386634,2.49330995148466,-4.59131918357218,2.48992832855722,0,1165.30842557943,163.070320898763,9,60,344.140641797525,0.744163196631064,0.0649253237853065,NA,0.400121057906716
"87","87","~Elevation^2 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,NA,NA,-1.54148999159835,0.44728466205475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04174542179431,2.90588857616324,1.87059445614222,1.3028296937196,NA,NA,NA,NA,NA,NA,2.86892547889213,1.9006053558029,NA,NA,0.0753731204006746,0.186851047085042,-1.66000761925952,0.30796135512018,NA,NA,NA,NA,NA,NA,NA,NA,-0.021693245856376,0.2170155481217,4.22788812386634,2.49330995148466,-4.59131918357218,2.48992832855722,0,1165.30842557943,163.070320898763,9,60,344.140641797525,0.744163196631064,0.0649253237853065,NA,0.465046381692023
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.42018653958508,0.505407880575389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87869962332655,1.1068482891877,0.873734423910618,0.862740069019849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0677985281128206,0.185642691836245,-1.76321786999909,0.315052795399203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.184148926323111,0.652549174651063,0,135.526788062854,166.206622224095,6,60,344.413244448191,1.01676584729631,0.0566525171171887,NA,0.521698898809212
"44","44","~1 ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,NA,NA,-1.44442295006008,0.484609259545882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63873420176952,1.58177708294842,1.25590060607518,0.997603774544181,NA,NA,NA,NA,NA,NA,1.16174720759242,0.845050987652693,NA,NA,0.0415831013908945,0.188449322994942,-1.78251996721563,0.313383735106967,NA,NA,NA,NA,NA,NA,NA,NA,-0.154861016267777,0.201902370783367,NA,NA,-0.189024802973946,0.641978127550737,0,290.961957578631,164.805325792533,8,60,345.610651585065,2.21417298417083,0.0311318948280649,NA,0.552830793637276
"85","85","~1 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,NA,NA,-1.44442295006008,0.484609259545882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63873420176952,1.58177708294842,1.25590060607518,0.997603774544181,NA,NA,NA,NA,NA,NA,1.16174720759242,0.845050987652693,NA,NA,0.0415831013908945,0.188449322994942,-1.78251996721563,0.313383735106967,NA,NA,NA,NA,NA,NA,NA,NA,-0.154861016267777,0.201902370783367,NA,NA,-0.189024802973946,0.641978127550737,0,290.961957578631,164.805325792533,8,60,345.610651585065,2.21417298417083,0.0311318948280649,NA,0.583962688465341
"38","38","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-3.83754268226421,2.32042372764711,-6.10756860231288,3.68852975498389,NA,NA,2.03854250857698,1.17556353849997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.56162365192548,0.786060554660654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312981525523872,0.18365871929943,-2.3372377348192,0.296680725062698,NA,NA,-0.36461417921265,0.262004499221705,NA,NA,NA,NA,NA,NA,0.596387023563621,1.6921859445399,-0.621193697067842,1.70484354018027,0,1525.06381844382,163.884464068386,9,60,345.768928136773,2.37244953587856,0.0287631362225452,NA,0.612725824687887
"80","80","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-3.83754268226421,2.32042372764711,-6.10756860231288,3.68852975498389,NA,NA,2.03854250857698,1.17556353849997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.56162365192548,0.786060554660654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312981525523872,0.18365871929943,-2.3372377348192,0.296680725062698,NA,NA,-0.36461417921265,0.262004499221705,NA,NA,NA,NA,NA,NA,0.596387023563621,1.6921859445399,-0.621193697067842,1.70484354018027,0,1525.06381844382,163.884464068386,9,60,345.768928136773,2.37244953587856,0.0287631362225452,NA,0.641488960910432
"21","21","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.72136529448912,0.773277664247691,-1.935045821291,0.730517640036503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0438587640468342,0.797848781074501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.120834647269808,0.191013474309359,-1.79648356904222,0.35457942638831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38308221537618,0.628111792927252,0,86.7558771504663,166.903306824027,6,60,345.806613648054,2.41013504715977,0.0282262337220399,NA,0.669715194632472
"42","42","~1 ~ Tvar + Biotic ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,0.278783130947927,0.690337801155637,-1.3462267066957,0.582772473979403,NA,NA,NA,NA,NA,NA,NA,NA,0.816241547354793,0.573952662745853,NA,NA,5.32787071421695,2.89311317235198,2.00271565261494,1.31010612359308,NA,NA,NA,NA,NA,NA,3.01093236326651,1.8494209313621,NA,NA,-0.013332022268864,0.20482640385297,-1.79816382508356,0.355158958290609,NA,NA,NA,NA,NA,NA,NA,NA,-0.0835631825812556,0.217184835749875,NA,NA,-0.305032718689488,0.68147266792554,0,1126.68409257331,162.935086920781,10,60,345.870173841561,2.47369524066681,0.0273433053676436,NA,0.697058500000115
"83","83","~1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,0.278783130947927,0.690337801155637,-1.3462267066957,0.582772473979403,NA,NA,NA,NA,NA,NA,NA,NA,0.816241547354793,0.573952662745853,NA,NA,5.32787071421695,2.89311317235198,2.00271565261494,1.31010612359308,NA,NA,NA,NA,NA,NA,3.01093236326651,1.8494209313621,NA,NA,-0.013332022268864,0.20482640385297,-1.79816382508356,0.355158958290609,NA,NA,NA,NA,NA,NA,NA,NA,-0.0835631825812556,0.217184835749875,NA,NA,-0.305032718689488,0.68147266792554,0,1126.68409257331,162.935086920781,10,60,345.870173841561,2.47369524066681,0.0273433053676436,NA,0.724401805367759
"28","28","~Elevation ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.20176544677453,0.962550156799172,-2.43959520255931,0.937958825666238,NA,NA,NA,NA,-3.47447887560346,2.11249784578167,NA,NA,NA,NA,NA,NA,3.19063810192693,1.17403978260916,0.57568631883924,1.36000017101665,NA,NA,NA,NA,-1.15095312198203,2.62049032765277,NA,NA,NA,NA,-0.0424903314130619,0.201587628679429,-1.85213323676586,0.322833440542446,NA,NA,NA,NA,0.117334804276091,0.246357074069119,NA,NA,NA,NA,4.00136311195904,2.97073201257634,-4.16989250293294,2.72407067192013,0,1792.62675902572,162.090049531098,11,60,346.180099062195,2.78362046130093,0.0234180972982834,NA,0.747819902666042
"70","70","~Elevation^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.20176544677453,0.962550156799172,-2.43959520255931,0.937958825666238,NA,NA,NA,NA,-3.47447887560346,2.11249784578167,NA,NA,NA,NA,NA,NA,3.19063810192693,1.17403978260916,0.57568631883924,1.36000017101665,NA,NA,NA,NA,-1.15095312198203,2.62049032765277,NA,NA,NA,NA,-0.0424903314130619,0.201587628679429,-1.85213323676586,0.322833440542446,NA,NA,NA,NA,0.117334804276091,0.246357074069119,NA,NA,NA,NA,4.00136311195904,2.97073201257634,-4.16989250293294,2.72407067192013,0,1792.62675902572,162.090049531098,11,60,346.180099062195,2.78362046130093,0.0234180972982834,NA,0.771237999964326
"20","20","~1 ~ Biotic ~ Biotic ~ Biotic",NA,NA,-0.160514961244471,0.587681034146396,-1.4565191175271,0.514468303882459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78467539560873,1.17175860843468,0.850007429510026,0.874964559602078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0780468941784034,0.188197633539962,-1.73503852078477,0.32831609335527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28597489062179,0.722758830612793,0,155.566657586112,166.172933458357,7,60,346.345866916714,2.94938831581959,0.0215553745603881,NA,0.792793374524714
"23","23","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.68210566119372,0.738228639539151,-1.69626296048486,0.711435749629268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232987809012725,0.699871573341868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0900770145144067,0.192961791227956,-1.73378909694739,0.340435437339222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11722508955919,3.19778050486303,-3.46869251415675,3.20128143395109,0,1814.56019879987,166.182300642967,7,60,346.364601285935,2.96812268504027,0.0213544041206373,NA,0.814147778645351
"65","65","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.68210566119372,0.738228639539151,-1.69626296048486,0.711435749629268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232987809012725,0.699871573341868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0900770145144067,0.192961791227956,-1.73378909694739,0.340435437339222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11722508955919,3.19778050486303,-3.46869251415675,3.20128143395109,0,1814.56019879987,166.182300642967,7,60,346.364601285935,2.96812268504027,0.0213544041206373,NA,0.835502182765988
"25","25","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.17195831392474,0.940354831333264,-2.52048822097035,1.05489228291577,NA,NA,NA,NA,-3.99491816510674,2.43837902979154,NA,NA,NA,NA,NA,NA,3.25287577404125,1.51889923290117,0.138063803148947,1.46125455248088,NA,NA,NA,NA,-2.06708347311258,2.52171160167979,NA,NA,NA,NA,-0.100734093620731,0.214562282521927,-1.87374890719157,0.327203160526609,NA,NA,NA,NA,0.14594396377928,0.24862613961955,NA,NA,NA,NA,NA,NA,-0.435590813916644,0.586660542838266,0,1183.84627486089,163.536148265303,10,60,347.072296530606,3.67581792971151,0.0149904057240566,NA,0.850492588490045
"67","67","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.17195831392474,0.940354831333264,-2.52048822097035,1.05489228291577,NA,NA,NA,NA,-3.99491816510674,2.43837902979154,NA,NA,NA,NA,NA,NA,3.25287577404125,1.51889923290117,0.138063803148947,1.46125455248088,NA,NA,NA,NA,-2.06708347311258,2.52171160167979,NA,NA,NA,NA,-0.100734093620731,0.214562282521927,-1.87374890719157,0.327203160526609,NA,NA,NA,NA,0.14594396377928,0.24862613961955,NA,NA,NA,NA,NA,NA,-0.435590813916644,0.586660542838266,0,1183.84627486089,163.536148265303,10,60,347.072296530606,3.67581792971151,0.0149904057240566,NA,0.865482994214102
