"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,0.633659307002197,0.877017298311797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21979697648344,0.558895846439617,NA,NA,NA,NA,-0.460634601478367,0.658004727594283,NA,NA,NA,NA,NA,NA,NA,NA,-1.05780553827808,0.164598162370871,NA,NA,NA,NA,-0.435678332494931,0.168014560762559,NA,NA,NA,NA,NA,NA,0.0552581693998177,0.517716617537776,0,43.6218691508081,229.482278129182,6,60,470.964556258364,0,0.11524548949786,NA,0.11524548949786
"43","43","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,0.633659307002197,0.877017298311797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21979697648344,0.558895846439617,NA,NA,NA,NA,-0.460634601478367,0.658004727594283,NA,NA,NA,NA,NA,NA,NA,NA,-1.05780553827808,0.164598162370871,NA,NA,NA,NA,-0.435678332494931,0.168014560762559,NA,NA,NA,NA,NA,NA,0.0552581693998177,0.517716617537776,0,43.6218691508081,229.482278129182,6,60,470.964556258364,0,0.11524548949786,NA,0.230490978995721
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,0.693849617206738,0.981362985407603,-0.216967553430311,0.666284547819285,NA,NA,NA,NA,NA,NA,NA,NA,-1.30218709248931,0.572143414391711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06805476304215,0.164663973993546,NA,NA,NA,NA,-0.444687325355501,0.168916498448941,NA,NA,NA,NA,NA,NA,0.0596748361553637,0.519866309751689,0,53.7667251919692,229.686593580534,6,60,471.373187161068,0.408630902703692,0.0939487192091975,NA,0.324439698204918
"42","42","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,0.693849617206738,0.981362985407603,-0.216967553430311,0.666284547819285,NA,NA,NA,NA,NA,NA,NA,NA,-1.30218709248931,0.572143414391711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06805476304215,0.164663973993546,NA,NA,NA,NA,-0.444687325355501,0.168916498448941,NA,NA,NA,NA,NA,NA,0.0596748361553637,0.519866309751689,0,53.7667251919692,229.686593580534,6,60,471.373187161068,0.408630902703692,0.0939487192091975,NA,0.418388417414116
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,0.568131402187172,0.836852561733997,-0.324376438844043,0.703599558142274,NA,NA,NA,NA,NA,NA,NA,NA,-1.26486871665599,0.579379315330821,NA,NA,NA,NA,-0.530512795757738,0.676282856800156,NA,NA,NA,NA,NA,NA,NA,NA,-1.05884002422082,0.163770045727655,NA,NA,NA,NA,-0.434166767896101,0.166232577547123,NA,NA,NA,NA,NA,NA,0.0696548611727658,0.521480508400115,0,41.9573592943801,229.357379209973,7,60,472.714758419947,1.75020216158276,0.0480366116867806,NA,0.466425029100896
"41","41","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,0.568131402187172,0.836852561733997,-0.324376438844043,0.703599558142274,NA,NA,NA,NA,NA,NA,NA,NA,-1.26486871665599,0.579379315330821,NA,NA,NA,NA,-0.530512795757738,0.676282856800156,NA,NA,NA,NA,NA,NA,NA,NA,-1.05884002422082,0.163770045727655,NA,NA,NA,NA,-0.434166767896101,0.166232577547123,NA,NA,NA,NA,NA,NA,0.0696548611727658,0.521480508400115,0,41.9573592943801,229.357379209973,7,60,472.714758419947,1.75020216158276,0.0480366116867806,NA,0.514461640787677
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,0.68937885626667,0.911139885268071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19861406672431,0.555844125430637,NA,NA,NA,NA,-0.457089618467695,0.65516863720282,NA,NA,NA,NA,NA,NA,NA,NA,-1.05886936695792,0.164678264896044,NA,NA,NA,NA,-0.438452980733067,0.168021673116376,NA,NA,NA,NA,0.201602380558093,0.506383094783607,0.000957062133509582,0.536136894874793,0,47.6088933226487,229.402230793188,7,60,472.804461586376,1.83990532801221,0.0459296960403577,NA,0.560391336828035
"46","46","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,0.68937885626667,0.911139885268071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19861406672431,0.555844125430637,NA,NA,NA,NA,-0.457089618467695,0.65516863720282,NA,NA,NA,NA,NA,NA,NA,NA,-1.05886936695792,0.164678264896044,NA,NA,NA,NA,-0.438452980733067,0.168021673116376,NA,NA,NA,NA,0.201602380558093,0.506383094783607,0.000957062133509582,0.536136894874793,0,47.6088933226487,229.402230793188,7,60,472.804461586376,1.83990532801221,0.0459296960403577,NA,0.606321032868392
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,0.76259822546671,1.03157701740511,-0.220839360702005,0.682838702710418,NA,NA,NA,NA,NA,NA,NA,NA,-1.28021906383364,0.569391629092513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06941612508044,0.164888103946773,NA,NA,NA,NA,-0.448003298114661,0.16881293232198,NA,NA,NA,NA,0.200957947587684,0.50828968710814,0.00500289924179418,0.538387728778478,0,59.9307265432313,229.607571137523,7,60,473.215142275045,2.25058601668098,0.0374037712946595,NA,0.643724804163052
"45","45","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,0.76259822546671,1.03157701740511,-0.220839360702005,0.682838702710418,NA,NA,NA,NA,NA,NA,NA,NA,-1.28021906383364,0.569391629092513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06941612508044,0.164888103946773,NA,NA,NA,NA,-0.448003298114661,0.16881293232198,NA,NA,NA,NA,0.200957947587684,0.50828968710814,0.00500289924179418,0.538387728778478,0,59.9307265432313,229.607571137523,7,60,473.215142275045,2.25058601668098,0.0374037712946595,NA,0.681128575457711
"23","23","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",1.86420722655133,2.10882175257268,1.44904669257657,1.76329279380794,-0.76376056562175,1.3128714627593,NA,NA,NA,NA,NA,NA,NA,NA,-1.28702989039871,0.558402340415209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604163685789355,0.137098119226688,-1.07756910575197,0.159132121940246,NA,NA,NA,NA,-0.463481912175574,0.167029525733475,NA,NA,NA,NA,NA,NA,0.15091569922917,0.548386533500297,0,432.785975525365,228.99817607167,8,60,473.99635214334,3.03179588497551,0.0253091654769513,NA,0.706437740934663
"59","59","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",1.86420722655133,2.10882175257268,1.44904669257657,1.76329279380794,-0.76376056562175,1.3128714627593,NA,NA,NA,NA,NA,NA,NA,NA,-1.28702989039871,0.558402340415209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604163685789355,0.137098119226688,-1.07756910575197,0.159132121940246,NA,NA,NA,NA,-0.463481912175574,0.167029525733475,NA,NA,NA,NA,NA,NA,0.15091569922917,0.548386533500297,0,432.785975525365,228.99817607167,8,60,473.99635214334,3.03179588497551,0.0253091654769513,NA,0.731746906411614
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,0.183703593548155,0.725388805929161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25502661081868,0.6375871772752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08404057862249,0.171968006641349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090161402887971,0.540707309273758,0,34.0131945933767,233.074539083448,4,60,474.149078166896,3.18452190853196,0.0234484311366728,NA,0.755195337548287
"24","24","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.616465476710985,0.915851419165472,NA,NA,NA,NA,NA,NA,NA,NA,-0.138892265225377,0.622864896590732,-1.27927400164427,0.589548098345154,NA,NA,NA,NA,-0.470378892812971,0.728551572362845,NA,NA,NA,NA,NA,NA,0.0991341557201627,0.149515954034247,-1.07130779484846,0.165469233126516,NA,NA,NA,NA,-0.440929828143806,0.169162107654837,NA,NA,NA,NA,NA,NA,0.0760904735732428,0.52397551886273,0,63.5561541275002,229.11954383816,8,60,474.23908767632,3.27453141795593,0.0224165345351773,NA,0.777611872083464
