"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-0.618195615398123,1.37571029847257,NA,NA,NA,NA,NA,NA,1.46171996615449,4.21267214574415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71813787700412,1.0620709211832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68215767404311,1.47038690016525,0,167.48236808672,44.7374714817393,4,60,97.4749429634786,0,0.147482383201382,NA,0.147482383201382
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.03782824935021,0.949810995947801,NA,NA,NA,NA,2.53814470111714,3.72678265107986,1.48011026298502,3.7117062908128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77431265829177,0.673789247509737,NA,NA,NA,NA,-0.135986354728765,0.448057338189985,NA,NA,NA,NA,-1.78315614066215,1.26754971653669,0,209.482786631213,43.1378245872187,6,60,98.2756491744373,0.800706210958751,0.0988254959112092,NA,0.246307879112591
"20","20","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.03782824935021,0.949810995947801,NA,NA,NA,NA,2.53814470111714,3.72678265107986,1.48011026298502,3.7117062908128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77431265829177,0.673789247509737,NA,NA,NA,NA,-0.135986354728765,0.448057338189985,NA,NA,NA,NA,-1.78315614066215,1.26754971653669,0,209.482786631213,43.1378245872187,6,60,98.2756491744373,0.800706210958751,0.0988254959112092,NA,0.3451333750238
"9","9","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,0.254493210577844,2.71735222387242,NA,NA,NA,NA,NA,NA,1.61142156098079,6.50248657628747,NA,NA,NA,NA,5.17178163192576,6.35534278002273,NA,NA,NA,NA,-3.28105488673611,1.16666116375158,NA,NA,NA,NA,NA,NA,-0.263705282370119,0.572231036432531,NA,NA,-1.1590098973631,2.0588020603385,0,668.110809042566,43.4226744007774,6,60,98.8453488015548,1.37040583807621,0.0743293440368309,NA,0.419462719060631
"26","26","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,0.254493210577844,2.71735222387242,NA,NA,NA,NA,NA,NA,1.61142156098079,6.50248657628747,NA,NA,NA,NA,5.17178163192576,6.35534278002273,NA,NA,NA,NA,-3.28105488673611,1.16666116375158,NA,NA,NA,NA,NA,NA,-0.263705282370119,0.572231036432531,NA,NA,-1.1590098973631,2.0588020603385,0,668.110809042566,43.4226744007774,6,60,98.8453488015548,1.37040583807621,0.0743293440368309,NA,0.493792063097462
"5","5","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.01246600590718,0.962166205519074,NA,NA,NA,NA,2.45481829157508,3.49930192543777,1.642776465257,4.12116399087422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77357390204002,0.65937463726322,NA,NA,NA,NA,-0.137115354100633,0.45673036949807,NA,NA,-0.543300269641453,1.308953631918,-1.63706931250676,1.37444737372726,0,221.708331502779,43.0431784156821,7,60,100.086356831364,2.6114138678856,0.0399649091877623,NA,0.533756972285224
"22","22","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.01246600590718,0.962166205519074,NA,NA,NA,NA,2.45481829157508,3.49930192543777,1.642776465257,4.12116399087422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77357390204002,0.65937463726322,NA,NA,NA,NA,-0.137115354100633,0.45673036949807,NA,NA,-0.543300269641453,1.308953631918,-1.63706931250676,1.37444737372726,0,221.708331502779,43.0431784156821,7,60,100.086356831364,2.6114138678856,0.0399649091877623,NA,0.573721881472987
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.00244069445166,1.06638801032907,NA,NA,NA,NA,2.37544515161018,3.51745682341985,1.55703396135197,3.57646688653228,NA,NA,-0.255998797401186,3.22010714642146,NA,NA,NA,NA,NA,NA,-2.7756129376332,0.662344533830219,NA,NA,NA,NA,-0.123842432101443,0.462772513857015,NA,NA,NA,NA,-1.75918367192497,1.31659182851277,0,207.618746865737,43.1343005946662,7,60,100.268601189332,2.79365822585375,0.0364842120266238,NA,0.61020609349961
"19","19","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.00244069445166,1.06638801032907,NA,NA,NA,NA,2.37544515161018,3.51745682341985,1.55703396135197,3.57646688653228,NA,NA,-0.255998797401186,3.22010714642146,NA,NA,NA,NA,NA,NA,-2.7756129376332,0.662344533830219,NA,NA,NA,NA,-0.123842432101443,0.462772513857015,NA,NA,NA,NA,-1.75918367192497,1.31659182851277,0,207.618746865737,43.1343005946662,7,60,100.268601189332,2.79365822585375,0.0364842120266238,NA,0.646690305526234
"11","11","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,1.05123062841004,0.97124888937638,-1.61450871754107,1.13988172114225,NA,NA,NA,NA,3.62281767346623,3.46542594632267,1.39177147371302,2.08718792843068,NA,NA,NA,NA,NA,NA,NA,NA,-0.160100329710148,0.431647405803916,-2.70240317359575,0.543575659410878,NA,NA,NA,NA,-0.0879085835042459,0.42749065659343,NA,NA,NA,NA,-1.86031526510706,1.22421203100341,0,133.655516469698,42.1701416032358,8,60,100.340283206472,2.86534024299294,0.0351997370085289,NA,0.681890042534763
"28","28","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,1.05123062841004,0.97124888937638,-1.61450871754107,1.13988172114225,NA,NA,NA,NA,3.62281767346623,3.46542594632267,1.39177147371302,2.08718792843068,NA,NA,NA,NA,NA,NA,NA,NA,-0.160100329710148,0.431647405803916,-2.70240317359575,0.543575659410878,NA,NA,NA,NA,-0.0879085835042459,0.42749065659343,NA,NA,NA,NA,-1.86031526510706,1.22421203100341,0,133.655516469698,42.1701416032358,8,60,100.340283206472,2.86534024299294,0.0351997370085289,NA,0.717089779543292
"6","6","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-0.768931336835752,1.29468528073594,NA,NA,-0.332867992352355,1.16161244820517,NA,NA,1.26638664834539,3.82011107987145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62022363271704,1.14209953442747,NA,NA,-0.579173380864788,0.717271399463088,NA,NA,NA,NA,NA,NA,-2.02074992519441,1.40546374477506,0,141.700693925134,44.2192690974059,6,60,100.438538194812,2.96359523133324,0.0335122524606755,NA,0.750602032003967
"23","23","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-0.768931336835752,1.29468528073594,NA,NA,-0.332867992352355,1.16161244820517,NA,NA,1.26638664834539,3.82011107987145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62022363271704,1.14209953442747,NA,NA,-0.579173380864788,0.717271399463088,NA,NA,NA,NA,NA,NA,-2.02074992519441,1.40546374477506,0,141.700693925134,44.2192690974059,6,60,100.438538194812,2.96359523133324,0.0335122524606755,NA,0.784114284464643
"10","10","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,0.703184324705199,8.88534536458743,NA,NA,NA,NA,NA,NA,0.959541589671651,10.6544444081922,NA,NA,NA,NA,5.07530879628255,10.8516207337725,NA,NA,NA,NA,-3.42511893832648,2.66061232386402,NA,NA,NA,NA,NA,NA,-0.245579125113327,0.571095502377543,-0.5907803170557,4.74581032038022,-0.834720439896704,5.85501827446393,0,3101.72430941894,43.3896403203033,7,60,100.779280640607,3.30433767712796,0.0282626146486446,NA,0.812376899113287
"27","27","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,0.703184324705199,8.88534536458743,NA,NA,NA,NA,NA,NA,0.959541589671651,10.6544444081922,NA,NA,NA,NA,5.07530879628255,10.8516207337725,NA,NA,NA,NA,-3.42511893832648,2.66061232386402,NA,NA,NA,NA,NA,NA,-0.245579125113327,0.571095502377543,-0.5907803170557,4.74581032038022,-0.834720439896704,5.85501827446393,0,3101.72430941894,43.3896403203033,7,60,100.779280640607,3.30433767712796,0.0282626146486446,NA,0.840639513761932
"13","13","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",-1.83213300204675,3.0995073158948,1.2374225087773,0.871124735135731,-2.05179478085139,1.2169875034443,NA,NA,NA,NA,4.8204866128714,6.64618488468423,1.77293829500028,2.9199313469862,NA,NA,NA,NA,NA,NA,0.864597350634647,1.15143300798676,-0.511674643226775,0.796936469211879,-2.44837839183233,0.875268056222448,NA,NA,NA,NA,-0.452448782003521,0.794253543671594,NA,NA,NA,NA,-2.10783405002847,1.29455583375136,0,629.473419883048,40.9789361514321,10,60,101.957872302864,4.48292933938571,0.0156777743523185,NA,0.856317288114251
"30","30","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",-1.83213300204675,3.0995073158948,1.2374225087773,0.871124735135731,-2.05179478085139,1.2169875034443,NA,NA,NA,NA,4.8204866128714,6.64618488468423,1.77293829500028,2.9199313469862,NA,NA,NA,NA,NA,NA,0.864597350634647,1.15143300798676,-0.511674643226775,0.796936469211879,-2.44837839183233,0.875268056222448,NA,NA,NA,NA,-0.452448782003521,0.794253543671594,NA,NA,NA,NA,-2.10783405002847,1.29455583375136,0,629.473419883048,40.9789361514321,10,60,101.957872302864,4.48292933938571,0.0156777743523185,NA,0.871995062466569
"4","4","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.967321589603416,1.10387723174293,NA,NA,NA,NA,2.28476178516179,3.24697676752757,1.72562918693214,3.97050213001294,NA,NA,-0.339755522364162,3.59306314673528,NA,NA,NA,NA,NA,NA,-2.78002905186598,0.664404232656407,NA,NA,NA,NA,-0.123578810965772,0.465325141265304,NA,NA,-0.556889650380997,1.33794340045106,-1.59941102642241,1.45568216677324,0,221.819454726773,43.0375610854449,8,60,102.07512217089,4.60017920741114,0.0147850883511953,NA,0.886780150817764
"21","21","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.967321589603416,1.10387723174293,NA,NA,NA,NA,2.28476178516179,3.24697676752757,1.72562918693214,3.97050213001294,NA,NA,-0.339755522364162,3.59306314673528,NA,NA,NA,NA,NA,NA,-2.78002905186598,0.664404232656407,NA,NA,NA,NA,-0.123578810965772,0.465325141265304,NA,NA,-0.556889650380997,1.33794340045106,-1.59941102642241,1.45568216677324,0,221.819454726773,43.0375610854449,8,60,102.07512217089,4.60017920741114,0.0147850883511953,NA,0.90156523916896
"12","12","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,1.0436506293659,0.97514681406262,-1.60744451852393,1.15091876748886,NA,NA,NA,NA,3.66233366862826,3.61876762118062,1.3888992769646,2.10903391088809,NA,NA,NA,NA,NA,NA,NA,NA,-0.14993022317095,0.434579522776789,-2.71367787812581,0.550231370040121,NA,NA,NA,NA,-0.0907777132186568,0.428155065658138,NA,NA,-0.447103354827805,1.26125906483348,-1.76841817775341,1.26897995821283,0,146.214407707924,42.1030438914186,9,60,102.206087782837,4.73114481935866,0.0138479377557446,NA,0.915413176924704
"29","29","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,1.0436506293659,0.97514681406262,-1.60744451852393,1.15091876748886,NA,NA,NA,NA,3.66233366862826,3.61876762118062,1.3888992769646,2.10903391088809,NA,NA,NA,NA,NA,NA,NA,NA,-0.14993022317095,0.434579522776789,-2.71367787812581,0.550231370040121,NA,NA,NA,NA,-0.0907777132186568,0.428155065658138,NA,NA,-0.447103354827805,1.26125906483348,-1.76841817775341,1.26897995821283,0,146.214407707924,42.1030438914186,9,60,102.206087782837,4.73114481935866,0.0138479377557446,NA,0.929261114680449
"8","8","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-0.771138745930572,1.30899560017864,NA,NA,-0.324305785835009,1.1524513819083,NA,NA,1.35351354078042,3.95773112165417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.60878425728949,1.14183630183477,NA,NA,-0.56204623760674,0.738857273903053,NA,NA,NA,NA,-0.378901141654252,1.23055832769035,-1.95994877853547,1.44696316100883,0,150.515328264821,44.1699801624874,7,60,102.339960324975,4.8650173614963,0.0129513502869943,NA,0.942212464967443
"25","25","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-0.771138745930572,1.30899560017864,NA,NA,-0.324305785835009,1.1524513819083,NA,NA,1.35351354078042,3.95773112165417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.60878425728949,1.14183630183477,NA,NA,-0.56204623760674,0.738857273903053,NA,NA,NA,NA,-0.378901141654252,1.23055832769035,-1.95994877853547,1.44696316100883,0,150.515328264821,44.1699801624874,7,60,102.339960324975,4.8650173614963,0.0129513502869943,NA,0.955163815254437
