"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","17","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-1.62219264831133,1.10094226021097,0.794451750114962,1.41828375067641,NA,NA,0.534526869674656,1.06826277542866,NA,NA,NA,NA,NA,NA,0.758386106271911,0.990266422659654,NA,NA,NA,NA,NA,NA,0.154632800642078,0.366242078213303,-2.17318641274387,0.399348419040876,NA,NA,0.723917716735747,0.315581315315251,NA,NA,NA,NA,NA,NA,NA,NA,-1.39227439056977,0.861649178894061,0,86.8031947836179,99.2473425987142,8,60,214.494685197428,0,0.0855917530306837,NA,0.0855917530306837
"39","39","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-1.62219264831133,1.10094226021097,0.794451750114962,1.41828375067641,NA,NA,0.534526869674656,1.06826277542866,NA,NA,NA,NA,NA,NA,0.758386106271911,0.990266422659654,NA,NA,NA,NA,NA,NA,0.154632800642078,0.366242078213303,-2.17318641274387,0.399348419040876,NA,NA,0.723917716735747,0.315581315315251,NA,NA,NA,NA,NA,NA,NA,NA,-1.39227439056977,0.861649178894061,0,86.8031947836179,99.2473425987142,8,60,214.494685197428,0,0.0855917530306837,NA,0.171183506061367
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,1.11253138008642,2.67660021657215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18585514721794,0.921915515378413,NA,NA,NA,NA,NA,NA,NA,NA,-1.96805687541205,0.507173868828259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6446715586585,0.854318107343329,0,164.115106069812,103.418440696915,4,60,214.836881393829,0.342196196401005,0.0721314996481188,NA,0.243315005709486
"18","18","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-1.47430632412554,0.895324886045565,0.509538253236872,1.28816117514769,NA,NA,0.281928909404582,0.930064475203173,NA,NA,NA,NA,NA,NA,0.555608527720983,1.03011775903707,NA,NA,NA,NA,NA,NA,0.195161962491324,0.364048151481235,-2.14203596061855,0.406168907177873,NA,NA,0.70393889538957,0.311822735644254,NA,NA,NA,NA,NA,NA,-1.37771953069388,1.57445141565724,-1.66309826107677,1.13036172787785,0,87.6647249321749,98.5435984064671,9,60,215.087196812934,0.592511615505856,0.0636457866781656,NA,0.306960792387652
"40","40","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-1.47430632412554,0.895324886045565,0.509538253236872,1.28816117514769,NA,NA,0.281928909404582,0.930064475203173,NA,NA,NA,NA,NA,NA,0.555608527720983,1.03011775903707,NA,NA,NA,NA,NA,NA,0.195161962491324,0.364048151481235,-2.14203596061855,0.406168907177873,NA,NA,0.70393889538957,0.311822735644254,NA,NA,NA,NA,NA,NA,-1.37771953069388,1.57445141565724,-1.66309826107677,1.13036172787785,0,87.6647249321749,98.5435984064671,9,60,215.087196812934,0.592511615505856,0.0636457866781656,NA,0.370606579065818
"11","11","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.23545665969848,0.649345121571993,-0.104929517046779,0.752270296351338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16818992663917,0.878040602739356,NA,NA,NA,NA,NA,NA,0.310194061744092,0.338485990804372,-1.60586418892176,0.347486795760685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82975518151574,0.793739715336696,0,15.9058132036669,101.829900954169,6,60,215.659801908337,1.16511671090905,0.0478002361543314,NA,0.418406815220149
"13","13","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-1.573552295869,0.729858450202449,-0.167579198768588,0.64814660693458,NA,NA,NA,NA,0.757330050953432,0.561311931248553,NA,NA,NA,NA,1.23931235492614,0.875360549819753,NA,NA,NA,NA,NA,NA,0.350874278265903,0.339694348786646,-1.76320549822941,0.342077442503812,NA,NA,NA,NA,0.473563080102606,0.383072166960047,NA,NA,NA,NA,NA,NA,-1.65290052773329,0.824542812545059,0,19.5723544390863,99.980002420129,8,60,215.960004840258,1.46531964282968,0.0411378702277549,NA,0.459544685447904
"35","35","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-1.573552295869,0.729858450202449,-0.167579198768588,0.64814660693458,NA,NA,NA,NA,0.757330050953432,0.561311931248553,NA,NA,NA,NA,1.23931235492614,0.875360549819753,NA,NA,NA,NA,NA,NA,0.350874278265903,0.339694348786646,-1.76320549822941,0.342077442503812,NA,NA,NA,NA,0.473563080102606,0.383072166960047,NA,NA,NA,NA,NA,NA,-1.65290052773329,0.824542812545059,0,19.5723544390863,99.980002420129,8,60,215.960004840258,1.46531964282968,0.0411378702277549,NA,0.500682555675659
"12","12","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.24698543197467,0.666982032305752,-0.306286955689037,0.753163416474891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848522081762925,1.00690794609203,NA,NA,NA,NA,NA,NA,0.342143266955136,0.338662653905333,-1.58034020935808,0.340743187630477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39721295226771,1.42755134598989,-2.11067642045604,1.07476083428595,0,52.3444428572855,101.017326721578,7,60,216.034653443156,1.53996824572761,0.039630729410367,NA,0.540313285086026
"34","34","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,-1.24698543197467,0.666982032305752,-0.306286955689037,0.753163416474891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848522081762925,1.00690794609203,NA,NA,NA,NA,NA,NA,0.342143266955136,0.338662653905333,-1.58034020935808,0.340743187630477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39721295226771,1.42755134598989,-2.11067642045604,1.07476083428595,0,52.3444428572855,101.017326721578,7,60,216.034653443156,1.53996824572761,0.039630729410367,NA,0.579944014496393
