"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","17","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,-18.6794140427749,11.2248550653072,-5.86891860535069,2.94925780947948,2.84489137586217,2.12560098510635,NA,NA,NA,NA,NA,NA,0.0120431238956988,0.641641018790963,NA,NA,NA,NA,NA,NA,0.806190430571103,0.816913421692331,-1.79235756736046,0.694976859138384,1.63126723170001,0.467235225409099,NA,NA,NA,NA,-1.493614303355,1.11495700821097,-2.07412795564001,1.14423580949093,0,3140.0939704928,57.4090186111713,9,60,132.818037222343,0,0.438230058535347,NA,0.438230058535347
"33","33","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,-18.6794140427749,11.2248550653072,-5.86891860535069,2.94925780947948,2.84489137586217,2.12560098510635,NA,NA,NA,NA,NA,NA,0.0120431238956988,0.641641018790963,NA,NA,NA,NA,NA,NA,0.806190430571103,0.816913421692331,-1.79235756736046,0.694976859138384,1.63126723170001,0.467235225409099,NA,NA,NA,NA,-1.493614303355,1.11495700821097,-2.07412795564001,1.14423580949093,0,3140.0939704928,57.4090186111713,9,60,132.818037222343,0,0.438230058535347,NA,0.876460117070693
"19","19","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,-17.0368291546332,7.51201130571565,-5.87303524116584,2.37945002654657,NA,NA,NA,NA,2.81018102835488,1.54668047011439,NA,NA,0.391295754922601,0.654056073724326,NA,NA,NA,NA,NA,NA,1.56068291878355,0.714929574973704,0.0812335387669719,0.412671719421931,NA,NA,NA,NA,1.37664866767824,0.553357665532225,-1.64277165802693,1.12622100179626,-2.54596016301888,1.14727927361076,0,939.932740644972,59.8825942675313,9,60,137.765188535063,4.94715131271988,0.036935323291219,NA,0.913395440361912
"35","35","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,-17.0368291546332,7.51201130571565,-5.87303524116584,2.37945002654657,NA,NA,NA,NA,2.81018102835488,1.54668047011439,NA,NA,0.391295754922601,0.654056073724326,NA,NA,NA,NA,NA,NA,1.56068291878355,0.714929574973704,0.0812335387669719,0.412671719421931,NA,NA,NA,NA,1.37664866767824,0.553357665532225,-1.64277165802693,1.12622100179626,-2.54596016301888,1.14727927361076,0,939.932740644972,59.8825942675313,9,60,137.765188535063,4.94715131271988,0.036935323291219,NA,0.950330763653131
"18","18","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,-17.0394712301525,9.48286210891732,-5.43703643765082,1.99819503428488,NA,NA,NA,NA,2.54701755559264,1.35501398117548,NA,NA,0.463407228740155,0.674607995639303,NA,NA,NA,NA,NA,NA,1.49937966205705,0.719483229609167,0.0449859114948807,0.419745175721627,NA,NA,NA,NA,1.43108086333998,0.562216183607669,NA,NA,-2.1421071729617,0.753721619977691,0,1415.21578440659,61.5919271821762,8,60,139.183854364352,6.36581714200969,0.0181711550466803,NA,0.968501918699812
"34","34","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,-17.0394712301525,9.48286210891732,-5.43703643765082,1.99819503428488,NA,NA,NA,NA,2.54701755559264,1.35501398117548,NA,NA,0.463407228740155,0.674607995639303,NA,NA,NA,NA,NA,NA,1.49937966205705,0.719483229609167,0.0449859114948807,0.419745175721627,NA,NA,NA,NA,1.43108086333998,0.562216183607669,NA,NA,-2.1421071729617,0.753721619977691,0,1415.21578440659,61.5919271821762,8,60,139.183854364352,6.36581714200969,0.0181711550466803,NA,0.986673073746492
"6","6","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-1.96406853816052,0.749272388118219,1.41307023429829,0.919355126680412,NA,NA,NA,NA,NA,NA,-0.0040448460983287,0.701210088704337,NA,NA,NA,NA,NA,NA,NA,NA,-2.24138280455965,0.555397167537828,1.86641098852788,0.440641257224788,NA,NA,NA,NA,-1.53154357457752,1.05864179566008,-1.33811588670171,1.0608693557382,0,36.9106602091888,64.6465783026569,7,60,143.293156605314,10.4751193829711,0.00232840696746502,NA,0.989001480713957
"24","24","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-1.96406853816052,0.749272388118219,1.41307023429829,0.919355126680412,NA,NA,NA,NA,NA,NA,-0.0040448460983287,0.701210088704337,NA,NA,NA,NA,NA,NA,NA,NA,-2.24138280455965,0.555397167537828,1.86641098852788,0.440641257224788,NA,NA,NA,NA,-1.53154357457752,1.05864179566008,-1.33811588670171,1.0608693557382,0,36.9106602091888,64.6465783026569,7,60,143.293156605314,10.4751193829711,0.00232840696746502,NA,0.991329887681422
"4","4","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-0.870983187250428,0.744239518866818,0.236788128445369,0.787287707370081,NA,NA,NA,NA,NA,NA,0.906178080827116,1.03322680399907,NA,NA,NA,NA,NA,NA,NA,NA,-2.51756385813019,0.590928638791902,2.04320394778976,0.456875518016933,NA,NA,NA,NA,NA,NA,-1.86649278756742,1.23723464443483,0,44.283264587168,65.8723130216491,6,60,143.744626043298,10.9265888209557,0.00185790518758339,NA,0.993187792869005
"22","22","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-0.870983187250428,0.744239518866818,0.236788128445369,0.787287707370081,NA,NA,NA,NA,NA,NA,0.906178080827116,1.03322680399907,NA,NA,NA,NA,NA,NA,NA,NA,-2.51756385813019,0.590928638791902,2.04320394778976,0.456875518016933,NA,NA,NA,NA,NA,NA,-1.86649278756742,1.23723464443483,0,44.283264587168,65.8723130216491,6,60,143.744626043298,10.9265888209557,0.00185790518758339,NA,0.995045698056589
