"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"12","12","~1 ~ Biotic ~ 1 ~ Biotic",-1.72516439399712,1.41130206751077,-1.51830970519381,0.834564451075766,NA,NA,NA,NA,NA,NA,NA,NA,-0.720296991614646,1.37100391622963,NA,NA,NA,NA,NA,NA,0.764245923747583,0.346960487324633,-2.01508088637157,0.411760733807473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82706795409632,0.699217687585655,0,50.4733700702077,72.8210399480774,6,30,157.642079896155,0,0.240043970058058,NA,0.240043970058058
"13","13","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,-1.22759382586324,0.555134073621545,NA,NA,NA,NA,NA,NA,-3.47342497730517,4.49954822351527,3.47005164554759,5.48336723797745,NA,NA,NA,NA,NA,NA,0.504820504509839,0.325927538027358,-1.77442616897118,0.336318703509999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99238901200483,0.627781994447836,0,773.733652959352,73.7896917486901,6,30,159.57938349738,1.93730360122544,0.0911193617417116,NA,0.33116333179977
"14","14","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-0.86245102981662,0.579340067738953,NA,NA,NA,NA,NA,NA,-4.86643181180218,8.31291580010298,5.21321163858634,9.35280758436301,NA,NA,1.32323922129021,3.31772958725003,NA,NA,0.800533974148758,0.420784053884518,-2.56256462086552,0.553167126170122,NA,NA,NA,NA,-1.23325570365428,0.712706239320465,NA,NA,NA,NA,-1.5652319219591,0.704885278937753,0,2774.61056406481,71.9021601384557,8,30,159.804320276911,2.16224038075657,0.0814265937956531,NA,0.412589925595423
"29","29","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-0.86245102981662,0.579340067738953,NA,NA,NA,NA,NA,NA,-4.86643181180218,8.31291580010298,5.21321163858634,9.35280758436301,NA,NA,1.32323922129021,3.31772958725003,NA,NA,0.800533974148758,0.420784053884518,-2.56256462086552,0.553167126170122,NA,NA,NA,NA,-1.23325570365428,0.712706239320465,NA,NA,NA,NA,-1.5652319219591,0.704885278937753,0,2774.61056406481,71.9021601384557,8,30,159.804320276911,2.16224038075657,0.0814265937956531,NA,0.494016519391076
"16","16","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",-9.46943508475279,9.1525754047257,-3.14689902242076,1.37528771832273,-9.79942640574174,8.95640052015212,-0.539349634450913,1.2622340369443,NA,NA,NA,NA,-0.505610923185797,1.08065014869672,NA,NA,NA,NA,NA,NA,0.59545542065269,0.343845067813881,-1.96309890998041,0.373321890799429,-0.214550652657925,0.350428535069895,-0.330337747759812,0.452725839767078,NA,NA,NA,NA,NA,NA,-1.61440969009854,0.579149083195018,0,2633.22969208037,70.0100622902733,10,30,160.020124580547,2.37804468439177,0.0730979098220049,NA,0.567114429213081
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-1.25378838155025,0.533629987549016,NA,NA,NA,NA,NA,NA,NA,NA,0.703641568372893,1.29685323482477,NA,NA,NA,NA,NA,NA,NA,NA,-1.70487433985492,0.323980693698513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99609954484216,0.629714935243182,0,20.5165967327111,76.4049820834666,4,30,160.809964166933,3.16788427077827,0.0492485526686379,NA,0.616362981881718
"15","15","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",-1.55337874344389,1.25066165224671,-1.49652928951408,0.780867687694758,NA,NA,0.0217402078701449,0.659130918885107,NA,NA,NA,NA,-0.457755744804908,1.33487403401472,NA,NA,NA,NA,NA,NA,0.734984805650382,0.367180109226438,-1.9693297010595,0.414887692402493,NA,NA,-0.281223913604085,0.42264578803333,NA,NA,NA,NA,NA,NA,-1.8626334686205,0.671850056721379,0,43.0270168981486,72.5740743668704,8,30,161.148148733741,3.50606883758604,0.0415870032402368,NA,0.657949985121955
"30","30","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",-1.55337874344389,1.25066165224671,-1.49652928951408,0.780867687694758,NA,NA,0.0217402078701449,0.659130918885107,NA,NA,NA,NA,-0.457755744804908,1.33487403401472,NA,NA,NA,NA,NA,NA,0.734984805650382,0.367180109226438,-1.9693297010595,0.414887692402493,NA,NA,-0.281223913604085,0.42264578803333,NA,NA,NA,NA,NA,NA,-1.8626334686205,0.671850056721379,0,43.0270168981486,72.5740743668704,8,30,161.148148733741,3.50606883758604,0.0415870032402368,NA,0.699536988362192
"17","17","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",-1.71381147570021,1.50787951193623,-1.50888929928576,0.850845178758659,NA,NA,NA,NA,-0.0186384476228008,0.67878977609181,NA,NA,-0.708247934434583,1.43518293309828,NA,NA,NA,NA,NA,NA,0.764209160223399,0.354867405381304,-2.01451704824945,0.415165256829267,NA,NA,NA,NA,NA,NA,-0.011474537589187,0.41467401500292,NA,NA,-1.83037575621492,0.703049191658392,0,59.1129404709878,72.8201104751192,8,30,161.640220950238,3.99814105408356,0.0325166279618998,NA,0.732053616324092
"31","31","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",-1.71381147570021,1.50787951193623,-1.50888929928576,0.850845178758659,NA,NA,NA,NA,-0.0186384476228008,0.67878977609181,NA,NA,-0.708247934434583,1.43518293309828,NA,NA,NA,NA,NA,NA,0.764209160223399,0.354867405381304,-2.01451704824945,0.415165256829267,NA,NA,NA,NA,NA,NA,-0.011474537589187,0.41467401500292,NA,NA,-1.83037575621492,0.703049191658392,0,59.1129404709878,72.8201104751192,8,30,161.640220950238,3.99814105408356,0.0325166279618998,NA,0.764570244285992
