"","model","formula","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tvar)","SEcol(Tvar)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",-0.783786587077426,1.40145682620753,NA,NA,NA,NA,-0.0540718838686067,1.76025693578744,NA,NA,-2.98205205830238,0.546298089664337,NA,NA,NA,NA,NA,NA,-0.763066896498245,0.939094133798515,0,41.3690523147083,64.2063941657347,4,30,136.412788331469,0,0.361600744204041,NA,0.361600744204041
"4","4","~1 ~ 1 ~ Tmax ~ Tmax",-1.08356852849308,1.33070047356166,NA,NA,NA,NA,-1.08430627523553,2.56053585704774,-4.34080726215716,9.61154093538823,-2.9291273073883,0.539994093379376,-0.163595230236517,0.339859351513486,NA,NA,NA,NA,-0.707776162488037,0.848993676577164,0,989.345492908753,63.7714245985114,6,30,139.542849197023,3.13006086555342,0.0756040802904989,NA,0.43720482449454
"12","12","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",-1.08356852849308,1.33070047356166,NA,NA,NA,NA,-1.08430627523553,2.56053585704774,-4.34080726215716,9.61154093538823,-2.9291273073883,0.539994093379376,-0.163595230236517,0.339859351513486,NA,NA,NA,NA,-0.707776162488037,0.848993676577164,0,989.345492908753,63.7714245985114,6,30,139.542849197023,3.13006086555342,0.0756040802904989,NA,0.512808904785039
"8","8","~1 ~ Tvar ~ 1 ~ Tvar",-0.947675129487194,2.4855660717226,NA,NA,-0.971276499918712,2.10689946076098,-0.392347986663612,2.23421920106599,NA,NA,-3.10217556267799,0.603104085115674,NA,NA,0.162114896588281,0.323081819515321,NA,NA,-0.599442444320975,1.13957072493736,0,155.659431339191,63.8164188742328,6,30,139.632837748466,3.22004941699623,0.0722777241106691,NA,0.585086628895708
"16","16","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",-0.947675129487194,2.4855660717226,NA,NA,-0.971276499918712,2.10689946076098,-0.392347986663612,2.23421920106599,NA,NA,-3.10217556267799,0.603104085115674,NA,NA,0.162114896588281,0.323081819515321,NA,NA,-0.599442444320975,1.13957072493736,0,155.659431339191,63.8164188742328,6,30,139.632837748466,3.22004941699623,0.0722777241106691,NA,0.657364353006377
"3","3","~1 ~ Tmax ~ 1 ~ Tmax",-0.845899840058543,1.29739272469577,0.354850800480696,0.975050089018765,NA,NA,0.139650017008316,1.66342243404977,NA,NA,-2.91057136853241,0.562478464822092,-0.154828446373123,0.338143397886275,NA,NA,NA,NA,-0.829096176477349,0.899622516170399,0,36.2192664975752,64.0527254248075,6,30,140.105450849615,3.6926625181456,0.0570660533453902,NA,0.714430406351767
"11","11","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",-0.845899840058543,1.29739272469577,0.354850800480696,0.975050089018765,NA,NA,0.139650017008316,1.66342243404977,NA,NA,-2.91057136853241,0.562478464822092,-0.154828446373123,0.338143397886275,NA,NA,NA,NA,-0.829096176477349,0.899622516170399,0,36.2192664975752,64.0527254248075,6,30,140.105450849615,3.6926625181456,0.0570660533453902,NA,0.771496459697157
"7","7","~Elevation ~ 1 ~ Tmax ~ Tmax",-1.13884884161786,1.41747956643221,NA,NA,NA,NA,-1.16378530233957,2.75321466166801,-4.40975632850945,9.92066719624964,-2.9350395328565,0.539938716740557,-0.167791393577673,0.341712789874816,NA,NA,0.153295764428594,1.03758397908687,-0.659829175766092,0.92449193680075,0,1057.9369330723,63.7602897390304,7,30,141.520579478061,5.10779114659135,0.0281246133621525,NA,0.79962107305931
"15","15","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",-1.13884884161786,1.41747956643221,NA,NA,NA,NA,-1.16378530233957,2.75321466166801,-4.40975632850945,9.92066719624964,-2.9350395328565,0.539938716740557,-0.167791393577673,0.341712789874816,NA,NA,0.153295764428594,1.03758397908687,-0.659829175766092,0.92449193680075,0,1057.9369330723,63.7602897390304,7,30,141.520579478061,5.10779114659135,0.0281246133621525,NA,0.827745686421462
"2","2","~1 ~ Tmax ~ Tmax ~ Tmax",-1.10455702614391,1.38229524377248,-0.0792139349646017,0.974135423449945,NA,NA,-1.12371831545429,2.66754443325741,-4.46545918696207,9.83433028549719,-2.93338465848507,0.540679543968414,-0.160904873264275,0.341428439743477,NA,NA,NA,NA,-0.690107279062266,0.876559285289324,0,1039.28180317056,63.7680623067859,7,30,141.536124613572,5.1233362821024,0.0279068602458777,NA,0.85565254666734
"10","10","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",-1.10455702614391,1.38229524377248,-0.0792139349646017,0.974135423449945,NA,NA,-1.12371831545429,2.66754443325741,-4.46545918696207,9.83433028549719,-2.93338465848507,0.540679543968414,-0.160904873264275,0.341428439743477,NA,NA,NA,NA,-0.690107279062266,0.876559285289324,0,1039.28180317056,63.7680623067859,7,30,141.536124613572,5.1233362821024,0.0279068602458777,NA,0.883559406913218
"9","9","~Elevation ~ Tvar ~ 1 ~ Tvar",-1.17715802246504,3.53204875980398,NA,NA,-1.18943946678409,3.51884640064111,-0.556628246934651,2.50444695539015,NA,NA,-3.12207766783408,0.63998711130718,NA,NA,0.165951626850338,0.326728623644748,0.152569562548058,1.11050032067703,-0.507485642570329,1.36773959184623,0,350.723002967681,63.8078848740955,7,30,141.615769748191,5.20298141672154,0.0268173744609278,NA,0.910376781374145
"17","17","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",-1.17715802246504,3.53204875980398,NA,NA,-1.18943946678409,3.51884640064111,-0.556628246934651,2.50444695539015,NA,NA,-3.12207766783408,0.63998711130718,NA,NA,0.165951626850338,0.326728623644748,0.152569562548058,1.11050032067703,-0.507485642570329,1.36773959184623,0,350.723002967681,63.8078848740955,7,30,141.615769748191,5.20298141672154,0.0268173744609278,NA,0.937194155835073
"6","6","~Elevation ~ Tmax ~ 1 ~ Tmax",-0.841578291991832,1.30341952867275,0.356785305974821,0.979559114938711,NA,NA,0.145178029500639,1.66956134089939,NA,NA,-2.91069797708159,0.562758172524632,-0.154555842127616,0.338166247876256,NA,NA,-0.0252388877338556,0.948178912301781,-0.834117145813744,0.917456375051889,0,37.1062507697612,64.0523724282532,7,30,142.104744856506,5.691956525037,0.0210008397303567,NA,0.95819499556543
"14","14","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",-0.841578291991832,1.30341952867275,0.356785305974821,0.979559114938711,NA,NA,0.145178029500639,1.66956134089939,NA,NA,-2.91069797708159,0.562758172524632,-0.154555842127616,0.338166247876256,NA,NA,-0.0252388877338556,0.948178912301781,-0.834117145813744,0.917456375051889,0,37.1062507697612,64.0523724282532,7,30,142.104744856506,5.691956525037,0.0210008397303567,NA,0.979195835295787
"5","5","~Elevation ~ Tmax ~ Tmax ~ Tmax",-1.17914218359684,1.53416100816208,-0.103202063026165,1.0151747087876,NA,NA,-1.22721762264166,2.93524426392708,-4.56964431594681,10.2985439109297,-2.94125199264114,0.541453336381785,-0.165002712421794,0.343015656448085,NA,NA,0.169102596503862,1.05698052114987,-0.630603100611577,0.977858523291898,0,1145.4701159774,63.7549288400682,8,30,143.509857680136,7.09706934866691,0.0104020823521067,NA,0.989597917647893
"13","13","~Elevation^2 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",-1.17914218359684,1.53416100816208,-0.103202063026165,1.0151747087876,NA,NA,-1.22721762264166,2.93524426392708,-4.56964431594681,10.2985439109297,-2.94125199264114,0.541453336381785,-0.165002712421794,0.343015656448085,NA,NA,0.169102596503862,1.05698052114987,-0.630603100611577,0.977858523291898,0,1145.4701159774,63.7549288400682,8,30,143.509857680136,7.09706934866691,0.0104020823521067,NA,1
