"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,NA,NA,-0.200456210225806,0.547165210724205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815641618849065,0.839548308647944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78005513260612,0.224561454485055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63844377353634,0.559225884334658,0,16.9050412198472,124.682521963622,4,30,257.365043927244,0,0.0974177497043638,NA,0.0974177497043638
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,NA,NA,-0.237189547023525,0.603346650978644,NA,NA,0.846455614147237,0.649394459234219,NA,NA,NA,NA,NA,NA,NA,NA,0.814177719689577,0.858260673157031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77806713097446,0.227644939365179,NA,NA,0.0706667840680827,0.187013387383387,NA,NA,NA,NA,NA,NA,NA,NA,-1.656920912066,0.55832927752936,0,22.1566948784338,123.353940011292,6,30,258.707880022584,1.34283609533975,0.0497788592841643,NA,0.147196608988528
"57","57","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.237189547023525,0.603346650978644,NA,NA,0.846455614147237,0.649394459234219,NA,NA,NA,NA,NA,NA,NA,NA,0.814177719689577,0.858260673157031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77806713097446,0.227644939365179,NA,NA,0.0706667840680827,0.187013387383387,NA,NA,NA,NA,NA,NA,NA,NA,-1.656920912066,0.55832927752936,0,22.1566948784338,123.353940011292,6,30,258.707880022584,1.34283609533975,0.0497788592841643,NA,0.196975468272692
"93","93","~1 ~ ForestLossCT ~ 1 ~ ForestLossCT",NA,NA,NA,NA,4.41995787902224,5.93223414921292,1.24939273329588,2.17463730596797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822908703337082,0.83013936258934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9935729489179,1.74416449213244,-2.43070208325694,0.642379285249703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62001976913132,0.559631158054062,0,1066.88940145044,123.356721781818,6,30,258.713443563635,1.34839963639115,0.0496405783426992,NA,0.246616046615392
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,NA,NA,-0.238717447412675,0.528139946702211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977967061074603,1.1469339829577,1.44430226036808,1.27429182908381,NA,NA,NA,NA,NA,NA,NA,NA,0.252073788630404,0.22533683683059,NA,NA,-1.72301078752766,0.224332911696578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64423716490295,0.557349659894041,0,63.495451917264,123.725869144274,6,30,259.451738288549,2.08669436130481,0.0343176997424101,NA,0.280933746357802
"21","21","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,-0.367397744499699,0.606946075530359,NA,NA,-0.240549475373001,0.538475650548307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786392208277152,0.847155543851941,NA,NA,NA,NA,NA,NA,NA,NA,0.253429447817082,0.227620456165554,NA,NA,-1.72649662944587,0.224477079161321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.655229088257,0.556754776423508,0,18.3511236033778,123.977923500042,6,30,259.955847000084,2.59080307283938,0.0266718017417674,NA,0.307605548099569
"94","94","~Elevation^2 ~ ForestLossCT ~ 1 ~ ForestLossCT",NA,NA,NA,NA,4.46512582207793,6.05188303799207,1.2832833030806,2.22164893938499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854271823843212,0.829760567957846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04297327998824,1.74008144550203,-2.4497280654195,0.641702873218221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.572290875474263,0.775249111615019,-1.75437915234662,0.623065352387345,0,1112.26892439658,123.07100996393,7,30,260.142019927861,2.7769760006164,0.0243010711323406,NA,0.33190661923191
"12","12","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,NA,NA,-0.232032430097753,0.600947064510089,NA,NA,0.834742471870145,0.645774900658032,NA,NA,NA,NA,NA,NA,NA,NA,0.836394795228962,0.856885067496275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77725175594761,0.22711397224818,NA,NA,0.0717701544527923,0.18700679604783,NA,NA,NA,NA,NA,NA,-0.476813571035899,0.764142588849933,-1.78150964112581,0.621795528695255,0,22.6346140064968,123.151098652997,7,30,260.302197305995,2.93715337875062,0.0224307265485359,NA,0.354337345780446
"60","60","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.232032430097753,0.600947064510089,NA,NA,0.834742471870145,0.645774900658032,NA,NA,NA,NA,NA,NA,NA,NA,0.836394795228962,0.856885067496275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77725175594761,0.22711397224818,NA,NA,0.0717701544527923,0.18700679604783,NA,NA,NA,NA,NA,NA,-0.476813571035899,0.764142588849933,-1.78150964112581,0.621795528695255,0,22.6346140064968,123.151098652997,7,30,260.302197305995,2.93715337875062,0.0224307265485359,NA,0.376768072328982
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,-0.247319014704186,0.550318110480684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.650321432490788,0.968039487665824,NA,NA,-1.9807259329868,2.70942623235703,NA,NA,NA,NA,NA,NA,NA,NA,-1.7687320916059,0.281242168406388,NA,NA,NA,NA,0.0458202281930139,0.365183786384699,NA,NA,NA,NA,NA,NA,-1.62743394644938,0.563452434691082,0,209.5728092513,124.260628371149,6,30,260.521256742297,3.15621281505287,0.020103662686573,NA,0.396871735015555
