"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"2","2","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,2.15815844129865,1.22370840339078,NA,NA,NA,NA,-1.92437198083632,0.827203034828579,-0.0408798934247792,0.948183857756224,NA,NA,NA,NA,NA,NA,-0.821676919541742,0.095886302198501,0.221049515807526,0.0924535199357406,NA,NA,NA,NA,NA,NA,0.559812785354702,0.400290694957018,0,228.318298760817,396.907429727314,6,30,805.814859454629,0,0.116225533699084,NA,0.116225533699084
"22","22","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,2.15815844129865,1.22370840339078,NA,NA,NA,NA,-1.92437198083632,0.827203034828579,-0.0408798934247792,0.948183857756224,NA,NA,NA,NA,NA,NA,-0.821676919541742,0.095886302198501,0.221049515807526,0.0924535199357406,NA,NA,NA,NA,NA,NA,0.559812785354702,0.400290694957018,0,228.318298760817,396.907429727314,6,30,805.814859454629,0,0.116225533699084,NA,0.232451067398167
"3","3","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,2.1374942345264,1.23266244293936,NA,NA,NA,NA,-1.93997506357997,0.829721690796006,-0.0235063271740434,0.940173929428832,NA,NA,NA,NA,NA,NA,-0.823699875675152,0.0961619067145744,0.222375192593292,0.0926897523618369,NA,NA,NA,NA,-0.455459761921681,0.561142146319713,0.509923988440898,0.410458528875788,0,231.708802302477,396.562407641689,7,30,807.124815283379,1.30995582875016,0.0603737643275221,NA,0.29282483172569
"23","23","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,2.1374942345264,1.23266244293936,NA,NA,NA,NA,-1.93997506357997,0.829721690796006,-0.0235063271740434,0.940173929428832,NA,NA,NA,NA,NA,NA,-0.823699875675152,0.0961619067145744,0.222375192593292,0.0926897523618369,NA,NA,NA,NA,-0.455459761921681,0.561142146319713,0.509923988440898,0.410458528875788,0,231.708802302477,396.562407641689,7,30,807.124815283379,1.30995582875016,0.0603737643275221,NA,0.353198596053212
"5","5","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,2.63969325168054,1.82480182382914,0.794978575819124,1.5685741244782,NA,NA,-1.79467323400417,0.77176812703337,NA,NA,NA,NA,NA,NA,NA,NA,-0.813450025903991,0.0959198492566081,NA,NA,NA,NA,0.182590092778539,0.0944344448589024,NA,NA,0.546878624786447,0.397120481877536,0,738.987152082652,397.665001573258,6,30,807.330003146516,1.5151436918876,0.0544869222178951,NA,0.407685518271107
"25","25","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,2.63969325168054,1.82480182382914,0.794978575819124,1.5685741244782,NA,NA,-1.79467323400417,0.77176812703337,NA,NA,NA,NA,NA,NA,NA,NA,-0.813450025903991,0.0959198492566081,NA,NA,NA,NA,0.182590092778539,0.0944344448589024,NA,NA,0.546878624786447,0.397120481877536,0,738.987152082652,397.665001573258,6,30,807.330003146516,1.5151436918876,0.0544869222178951,NA,0.462172440489002
"6","6","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,2.22784546033796,1.31949670653539,NA,NA,NA,NA,-1.77131948295367,0.768421855526398,NA,NA,NA,NA,-0.431457424714133,0.997191114477071,NA,NA,-0.811155337927501,0.0963890280544541,NA,NA,NA,NA,0.17706572974826,0.0952528213482012,NA,NA,0.545537614283292,0.396798282522389,0,259.953457169661,397.725794075231,6,30,807.451588150462,1.63672869583365,0.0512732006707207,NA,0.513445641159722
"26","26","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,2.22784546033796,1.31949670653539,NA,NA,NA,NA,-1.77131948295367,0.768421855526398,NA,NA,NA,NA,-0.431457424714133,0.997191114477071,NA,NA,-0.811155337927501,0.0963890280544541,NA,NA,NA,NA,0.17706572974826,0.0952528213482012,NA,NA,0.545537614283292,0.396798282522389,0,259.953457169661,397.725794075231,6,30,807.451588150462,1.63672869583365,0.0512732006707207,NA,0.564718841830443
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,2.0683134978164,1.14830063253197,NA,NA,NA,NA,-1.8004434289671,0.765437360466061,NA,NA,NA,NA,NA,NA,NA,NA,-0.77479559040077,0.092613233889913,NA,NA,NA,NA,NA,NA,NA,NA,0.532664978029196,0.39294950677374,0,160.564237738506,399.786605044203,4,30,807.573210088406,1.75835063377701,0.0482481383019462,NA,0.612966980132389
"16","16","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,2.18483878448559,1.29272217962301,NA,NA,0.219764157829042,0.664745644062339,-1.93426638950632,0.831051962037142,0.00766884096949501,0.992729155051899,NA,NA,NA,NA,0.104209778579608,0.0950190437647487,-0.832420117018504,0.0968169348763041,0.225045568156591,0.0930110987425288,NA,NA,NA,NA,NA,NA,0.57060286636334,0.403429453100836,0,261.457628007487,396.285262994507,8,30,808.570525989013,2.75566653438489,0.0293032752285749,NA,0.642270255360964
