"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","11","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-0.599144893709181,0.513561508128064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.959591042663562,1.05176216585628,NA,NA,NA,NA,-2.12809399350683,1.71345570252372,NA,NA,NA,NA,-1.39868230224881,0.194884438235577,NA,NA,NA,NA,NA,NA,NA,NA,1.08335787447756,0.293351706021901,NA,NA,-1.58554183457893,0.56382804044177,0,110.414945253493,139.251163874613,6,30,290.502327749226,0,0.129282548331169,NA,0.129282548331169
"49","49","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-0.599144893709181,0.513561508128064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.959591042663562,1.05176216585628,NA,NA,NA,NA,-2.12809399350683,1.71345570252372,NA,NA,NA,NA,-1.39868230224881,0.194884438235577,NA,NA,NA,NA,NA,NA,NA,NA,1.08335787447756,0.293351706021901,NA,NA,-1.58554183457893,0.56382804044177,0,110.414945253493,139.251163874613,6,30,290.502327749226,0,0.129282548331169,NA,0.258565096662338
"14","14","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-0.647469435810513,0.528306845598404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0519344770793,1.05945721877413,NA,NA,NA,NA,-2.06939525625586,1.71380289344596,NA,NA,NA,NA,-1.40503511048975,0.195569343766592,NA,NA,NA,NA,NA,NA,NA,NA,1.09312708819392,0.293989526062959,-0.852510435368804,0.839710251012084,-1.80990499922316,0.66627723038315,0,110.717637394923,138.6926366881,7,30,291.3852733762,0.882945626973992,0.0831401296142871,NA,0.341705226276625
"52","52","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-0.647469435810513,0.528306845598404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0519344770793,1.05945721877413,NA,NA,NA,NA,-2.06939525625586,1.71380289344596,NA,NA,NA,NA,-1.40503511048975,0.195569343766592,NA,NA,NA,NA,NA,NA,NA,NA,1.09312708819392,0.293989526062959,-0.852510435368804,0.839710251012084,-1.80990499922316,0.66627723038315,0,110.717637394923,138.6926366881,7,30,291.3852733762,0.882945626973992,0.0831401296142871,NA,0.424845355890913
"9","9","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-0.545199326569291,0.540192575644758,NA,NA,NA,NA,NA,NA,NA,NA,-0.390551185993921,0.505514825366858,NA,NA,-1.0216523235724,1.06078253634697,NA,NA,NA,NA,-2.25877749209728,1.73168199035007,NA,NA,NA,NA,-1.40982938974715,0.195565671859631,NA,NA,NA,NA,NA,NA,NA,NA,1.10126784199562,0.294689683889953,NA,NA,-1.56762676729074,0.565401665726577,0,113.733978225802,138.922692240474,7,30,291.845384480949,1.3430567317227,0.0660539571389539,NA,0.490899313029866
"47","47","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-0.545199326569291,0.540192575644758,NA,NA,NA,NA,NA,NA,NA,NA,-0.390551185993921,0.505514825366858,NA,NA,-1.0216523235724,1.06078253634697,NA,NA,NA,NA,-2.25877749209728,1.73168199035007,NA,NA,NA,NA,-1.40982938974715,0.195565671859631,NA,NA,NA,NA,NA,NA,NA,NA,1.10126784199562,0.294689683889953,NA,NA,-1.56762676729074,0.565401665726577,0,113.733978225802,138.922692240474,7,30,291.845384480949,1.3430567317227,0.0660539571389539,NA,0.55695327016882
"10","10","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-0.508194381021857,0.552420423581927,NA,NA,NA,NA,NA,NA,NA,NA,-0.288723376193417,0.481431100882113,NA,NA,-0.7023551655645,0.998374159771928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43503326725568,0.197259863656486,NA,NA,NA,NA,NA,NA,NA,NA,1.1340985486899,0.292705464170557,NA,NA,-1.59820624714165,0.559819127101221,0,34.7313180471869,140.062741418577,6,30,292.125482837153,1.62315508792716,0.0574217276583983,NA,0.614374997827219
"48","48","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-0.508194381021857,0.552420423581927,NA,NA,NA,NA,NA,NA,NA,NA,-0.288723376193417,0.481431100882113,NA,NA,-0.7023551655645,0.998374159771928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43503326725568,0.197259863656486,NA,NA,NA,NA,NA,NA,NA,NA,1.1340985486899,0.292705464170557,NA,NA,-1.59820624714165,0.559819127101221,0,34.7313180471869,140.062741418577,6,30,292.125482837153,1.62315508792716,0.0574217276583983,NA,0.671796725485617
"12","12","~Elevation ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-0.584502887143064,0.551554585034234,NA,NA,NA,NA,NA,NA,NA,NA,-0.383626263127278,0.511721129712145,NA,NA,-1.09623747904501,1.06366880239053,NA,NA,NA,NA,-2.20323041521511,1.73060779448535,NA,NA,NA,NA,-1.41423524847633,0.19571768435244,NA,NA,NA,NA,NA,NA,NA,NA,1.10796093635827,0.294351655563956,-0.841322596718489,0.843252871292294,-1.79709407661478,0.667569020545477,0,113.834301400829,138.384356435678,8,30,292.768712871355,2.26638512212924,0.0416294456597376,NA,0.713426171145354
"50","50","~Elevation^2 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-0.584502887143064,0.551554585034234,NA,NA,NA,NA,NA,NA,NA,NA,-0.383626263127278,0.511721129712145,NA,NA,-1.09623747904501,1.06366880239053,NA,NA,NA,NA,-2.20323041521511,1.73060779448535,NA,NA,NA,NA,-1.41423524847633,0.19571768435244,NA,NA,NA,NA,NA,NA,NA,NA,1.10796093635827,0.294351655563956,-0.841322596718489,0.843252871292294,-1.79709407661478,0.667569020545477,0,113.834301400829,138.384356435678,8,30,292.768712871355,2.26638512212924,0.0416294456597376,NA,0.755055616805092
