"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"15","15","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-1.43507183792351,1.44235533514649,NA,NA,NA,NA,1.02909722961847,1.51945759736447,NA,NA,1.24356358415976,1.07904498465624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.66076176294992,0.378534386214811,NA,NA,NA,NA,0.919218116459445,0.197336476163231,NA,NA,-0.0493084747647522,0.628576904318167,0,201.283421573761,86.5729557820475,6,30,185.145911564095,0,0.0928766203905186,NA,0.0928766203905186
"50","50","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-1.43507183792351,1.44235533514649,NA,NA,NA,NA,1.02909722961847,1.51945759736447,NA,NA,1.24356358415976,1.07904498465624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.66076176294992,0.378534386214811,NA,NA,NA,NA,0.919218116459445,0.197336476163231,NA,NA,-0.0493084747647522,0.628576904318167,0,201.283421573761,86.5729557820475,6,30,185.145911564095,0,0.0928766203905186,NA,0.185753240781037
"18","18","~Elevation ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-1.73489205992154,1.3916444014291,NA,NA,NA,NA,1.24743418343251,1.4661308059651,NA,NA,0.908267868088984,1.0581647131238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74974597135941,0.449710959921591,NA,NA,NA,NA,0.940529098084848,0.203396019792486,1.54178317411395,2.12090089796999,0.408208526161828,1.34746420756934,0,319.325944942093,85.7221136398745,7,30,185.444227279749,0.298315715654127,0.0800069968970822,NA,0.265760237678119
"53","53","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-1.73489205992154,1.3916444014291,NA,NA,NA,NA,1.24743418343251,1.4661308059651,NA,NA,0.908267868088984,1.0581647131238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74974597135941,0.449710959921591,NA,NA,NA,NA,0.940529098084848,0.203396019792486,1.54178317411395,2.12090089796999,0.408208526161828,1.34746420756934,0,319.325944942093,85.7221136398745,7,30,185.444227279749,0.298315715654127,0.0800069968970822,NA,0.345767234575202
"16","16","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-0.783486580559118,0.910772506289142,NA,NA,NA,NA,NA,NA,NA,NA,1.62196836528354,1.24044338462365,NA,NA,NA,NA,-0.362060591451156,0.73602875585333,NA,NA,NA,NA,-2.71465490891486,0.386244344924911,NA,NA,NA,NA,0.939308691938324,0.196707416470163,NA,NA,0.00547448850473484,0.655262875060577,0,83.7878107487501,86.8242664768666,6,30,185.648532953733,0.502621389638279,0.0722376411108155,NA,0.418004875686017
"51","51","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-0.783486580559118,0.910772506289142,NA,NA,NA,NA,NA,NA,NA,NA,1.62196836528354,1.24044338462365,NA,NA,NA,NA,-0.362060591451156,0.73602875585333,NA,NA,NA,NA,-2.71465490891486,0.386244344924911,NA,NA,NA,NA,0.939308691938324,0.196707416470163,NA,NA,0.00547448850473484,0.655262875060577,0,83.7878107487501,86.8242664768666,6,30,185.648532953733,0.502621389638279,0.0722376411108155,NA,0.490242516796833
"19","19","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.1551834961789,1.22170459082371,NA,NA,NA,NA,NA,NA,NA,NA,0.957299440683306,1.45813572249145,NA,NA,NA,NA,-0.258373135248517,0.675246940549853,NA,NA,NA,NA,-2.82029616826214,0.458530276849901,NA,NA,NA,NA,0.957661253522933,0.202037981638487,1.80879946406427,2.85914475075825,0.605609138335777,1.80330998780404,0,655.054839903496,86.1233673071225,7,30,186.246734614245,1.10082305015004,0.0535631014276016,NA,0.543805618224434
"54","54","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.1551834961789,1.22170459082371,NA,NA,NA,NA,NA,NA,NA,NA,0.957299440683306,1.45813572249145,NA,NA,NA,NA,-0.258373135248517,0.675246940549853,NA,NA,NA,NA,-2.82029616826214,0.458530276849901,NA,NA,NA,NA,0.957661253522933,0.202037981638487,1.80879946406427,2.85914475075825,0.605609138335777,1.80330998780404,0,655.054839903496,86.1233673071225,7,30,186.246734614245,1.10082305015004,0.0535631014276016,NA,0.597368719652036
"33","33","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,0.807067178533395,1.32528791422449,-1.10510703201801,1.81713566446666,NA,NA,NA,NA,1.01722230048992,1.36330027660715,NA,NA,1.2705148745615,1.16674424044853,NA,NA,NA,NA,NA,NA,NA,NA,0.537149331925774,0.433367855363674,-3.21990236685879,0.633412426440774,NA,NA,NA,NA,0.984970722175304,0.20322165390045,NA,NA,0.400038749635642,0.986540415408085,0,296.459321614938,85.1729293751408,8,30,186.345858750282,1.19994718618656,0.0509731160159518,NA,0.648341835667988
"65","65","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,0.807067178533395,1.32528791422449,-1.10510703201801,1.81713566446666,NA,NA,NA,NA,1.01722230048992,1.36330027660715,NA,NA,1.2705148745615,1.16674424044853,NA,NA,NA,NA,NA,NA,NA,NA,0.537149331925774,0.433367855363674,-3.21990236685879,0.633412426440774,NA,NA,NA,NA,0.984970722175304,0.20322165390045,NA,NA,0.400038749635642,0.986540415408085,0,296.459321614938,85.1729293751408,8,30,186.345858750282,1.19994718618656,0.0509731160159518,NA,0.69931495168394
"14","14","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.30534679748144,1.43583405296592,NA,NA,NA,NA,0.873305410418261,1.52502999716446,NA,NA,1.3521970175673,1.27138611861455,NA,NA,NA,NA,-0.176380037275938,0.796042417237809,NA,NA,NA,NA,-2.65853631502614,0.379882152276053,NA,NA,NA,NA,0.918173517293262,0.197685560548715,NA,NA,-0.0552059321514581,0.632893604951518,0,228.544628997095,86.5478193208785,7,30,187.095638641757,1.94972707766209,0.0350371319178602,NA,0.7343520836018
"49","49","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.30534679748144,1.43583405296592,NA,NA,NA,NA,0.873305410418261,1.52502999716446,NA,NA,1.3521970175673,1.27138611861455,NA,NA,NA,NA,-0.176380037275938,0.796042417237809,NA,NA,NA,NA,-2.65853631502614,0.379882152276053,NA,NA,NA,NA,0.918173517293262,0.197685560548715,NA,NA,-0.0552059321514581,0.632893604951518,0,228.544628997095,86.5478193208785,7,30,187.095638641757,1.94972707766209,0.0350371319178602,NA,0.76938921551966
