"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"31","31","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-0.301334717334107,0.528581105080332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52046332906792,0.996988624495967,-3.97115275816498,1.73514245287784,NA,NA,NA,NA,0.591335799626177,1.04251067945118,NA,NA,NA,NA,NA,NA,-0.217094777189041,0.107183737161657,-0.675714866674594,0.142808714251863,NA,NA,NA,NA,-0.74757190546341,0.139465421960438,NA,NA,NA,NA,-1.94299679986996,1.04632965606318,1.60842817837991,0.854401012107211,0,539.855295889836,292.101331128903,9,60,602.202662257805,0,0.147148690736946,NA,0.147148690736946
"81","81","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-0.301334717334107,0.528581105080332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52046332906792,0.996988624495967,-3.97115275816498,1.73514245287784,NA,NA,NA,NA,0.591335799626177,1.04251067945118,NA,NA,NA,NA,NA,NA,-0.217094777189041,0.107183737161657,-0.675714866674594,0.142808714251863,NA,NA,NA,NA,-0.74757190546341,0.139465421960438,NA,NA,NA,NA,-1.94299679986996,1.04632965606318,1.60842817837991,0.854401012107211,0,539.855295889836,292.101331128903,9,60,602.202662257805,0,0.147148690736946,NA,0.294297381473892
"29","29","~Elevation ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.931081520744452,0.649451181279932,-0.00320301799492203,0.569881200762599,NA,NA,NA,NA,1.16944301076661,0.789686217022055,NA,NA,NA,NA,NA,NA,-1.55018429058835,1.1714477019163,-4.10273211692895,2.34734856944856,NA,NA,NA,NA,1.08429637700133,1.32495141534413,NA,NA,NA,NA,NA,NA,-0.227628479722288,0.10650946178516,-0.648529500320345,0.141647691837075,NA,NA,NA,NA,-0.733784193548479,0.138657751743267,NA,NA,NA,NA,-1.60692425923724,0.919714079151651,1.23396998003184,0.752723296161821,0,1059.56979290661,290.362880716621,11,60,602.725761433242,0.523099175436414,0.113283552460309,NA,0.407580933934201
"79","79","~Elevation^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,0.931081520744452,0.649451181279932,-0.00320301799492203,0.569881200762599,NA,NA,NA,NA,1.16944301076661,0.789686217022055,NA,NA,NA,NA,NA,NA,-1.55018429058835,1.1714477019163,-4.10273211692895,2.34734856944856,NA,NA,NA,NA,1.08429637700133,1.32495141534413,NA,NA,NA,NA,NA,NA,-0.227628479722288,0.10650946178516,-0.648529500320345,0.141647691837075,NA,NA,NA,NA,-0.733784193548479,0.138657751743267,NA,NA,NA,NA,-1.60692425923724,0.919714079151651,1.23396998003184,0.752723296161821,0,1059.56979290661,290.362880716621,11,60,602.725761433242,0.523099175436414,0.113283552460309,NA,0.52086448639451
"30","30","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,0.964858475563777,0.664133919434023,-0.0684475351790251,0.575412381641791,NA,NA,NA,NA,0.948604074974922,0.818966796816415,NA,NA,NA,NA,NA,NA,NA,NA,-2.84498510943274,0.838984021951036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.192341208118783,0.111332717553,-0.669819824484855,0.153015681929931,NA,NA,NA,NA,-0.744772885200684,0.142749788685348,NA,NA,NA,NA,-1.64487398263963,0.951949755592839,1.29883349404636,0.771633884842615,0,198.563949653511,293.189253988628,9,60,604.378507977256,2.17584571945076,0.0495766877122531,NA,0.570441174106763
"80","80","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,0.964858475563777,0.664133919434023,-0.0684475351790251,0.575412381641791,NA,NA,NA,NA,0.948604074974922,0.818966796816415,NA,NA,NA,NA,NA,NA,NA,NA,-2.84498510943274,0.838984021951036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.192341208118783,0.111332717553,-0.669819824484855,0.153015681929931,NA,NA,NA,NA,-0.744772885200684,0.142749788685348,NA,NA,NA,NA,-1.64487398263963,0.951949755592839,1.29883349404636,0.771633884842615,0,198.563949653511,293.189253988628,9,60,604.378507977256,2.17584571945076,0.0495766877122531,NA,0.620017861819016
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,0.109315378813047,0.612888002721651,NA,NA,NA,NA,0.607336919846795,0.794073232789059,NA,NA,NA,NA,NA,NA,NA,NA,-4.73846357114809,5.73836360642467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.814573172537398,0.162556529086866,NA,NA,NA,NA,-0.80026304935567,0.148166581084622,NA,NA,NA,NA,-1.7268055092052,0.979049200022641,1.36633757092428,0.799272226167805,0,4283.07270935311,295.352539801945,7,60,604.70507960389,2.50241734608437,0.0421078803181303,NA,0.662125742137146
"59","59","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,0.109315378813047,0.612888002721651,NA,NA,NA,NA,0.607336919846795,0.794073232789059,NA,NA,NA,NA,NA,NA,NA,NA,-4.73846357114809,5.73836360642467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.814573172537398,0.162556529086866,NA,NA,NA,NA,-0.80026304935567,0.148166581084622,NA,NA,NA,NA,-1.7268055092052,0.979049200022641,1.36633757092428,0.799272226167805,0,4283.07270935311,295.352539801945,7,60,604.70507960389,2.50241734608437,0.0421078803181303,NA,0.704233622455277
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.131576839984858,0.533119580376314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2534880913175,2.40497963920344,NA,NA,NA,NA,1.02710360039021,1.39312304055706,NA,NA,NA,NA,NA,NA,NA,NA,-0.778078853068012,0.152268679762556,NA,NA,NA,NA,-0.774200323844002,0.144600164417938,NA,NA,NA,NA,-1.83943710024012,0.994756723499306,1.49387257737568,0.805783169889718,0,864.305355404359,295.456805893314,7,60,604.913611786627,2.71094952882208,0.037938590488775,NA,0.742172212944052
"60","60","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.131576839984858,0.533119580376314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2534880913175,2.40497963920344,NA,NA,NA,NA,1.02710360039021,1.39312304055706,NA,NA,NA,NA,NA,NA,NA,NA,-0.778078853068012,0.152268679762556,NA,NA,NA,NA,-0.774200323844002,0.144600164417938,NA,NA,NA,NA,-1.83943710024012,0.994756723499306,1.49387257737568,0.805783169889718,0,864.305355404359,295.456805893314,7,60,604.913611786627,2.71094952882208,0.037938590488775,NA,0.780110803432827
