"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"21","21","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,0.85075430469836,0.86359036277029,-0.639016614850382,0.668468931441487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.520897983730072,0.428196985339392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287943211986293,0.132629984961382,-0.809769220530619,0.15995799170523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26122762508737,0.590550823318498,0,65.896818366747,241.829161411844,6,60,495.658322823688,0,0.0610951596890329,NA,0.0610951596890329
"27","27","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,0.771344680190242,0.966276268338833,-0.62223818320153,0.769883380715286,NA,NA,NA,NA,-0.799830822966409,0.811902822505429,NA,NA,NA,NA,NA,NA,NA,NA,-0.645059180870715,0.467177109033808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.309707957296199,0.132983377091942,-1.05636028897508,0.233886320974936,NA,NA,NA,NA,-0.286281292497723,0.199079884960981,NA,NA,NA,NA,NA,NA,1.50839709572942,0.721084049763356,0,101.44497489134,240.282988317615,8,60,496.56597663523,0.907653811542161,0.0388071977240445,NA,0.0999023574130774
"84","84","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,0.771344680190242,0.966276268338833,-0.62223818320153,0.769883380715286,NA,NA,NA,NA,-0.799830822966409,0.811902822505429,NA,NA,NA,NA,NA,NA,NA,NA,-0.645059180870715,0.467177109033808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.309707957296199,0.132983377091942,-1.05636028897508,0.233886320974936,NA,NA,NA,NA,-0.286281292497723,0.199079884960981,NA,NA,NA,NA,NA,NA,1.50839709572942,0.721084049763356,0,101.44497489134,240.282988317615,8,60,496.56597663523,0.907653811542161,0.0388071977240445,NA,0.138709555137122
"20","20","~1 ~ Biotic ~ Biotic ~ Biotic",NA,NA,1.1272301398274,0.875913766939606,-0.50529549260307,0.6870189314101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352177825448585,0.37534543105171,-0.321123720664817,0.458675364395779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267609063149776,0.134140761616397,-0.782811714451124,0.158884062913191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1809321413917,0.561739849405628,0,72.9866927085648,241.381964213908,7,60,496.763928427817,1.10560560412847,0.0351501835968915,NA,0.173859738734013
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-0.898915479440018,0.568983343439399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122461392167916,0.375171895330403,-0.45770440053352,0.476786294958471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25824773008931,0.135429701461715,-0.788837365626732,0.160954662168369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27294702588917,0.610083721223247,0,33.1103659876464,242.403015759313,6,60,496.806031518625,1.14770869493725,0.0344179522531835,NA,0.208277690987197
"28","28","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-0.907095467955958,0.697682438639449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210533398476558,0.407160021285646,-0.628352758523695,0.613167866970974,NA,NA,NA,NA,0.739662356752097,0.60153247051469,NA,NA,NA,NA,NA,NA,-0.272682192747534,0.137576095592401,-0.995538493053827,0.257197469000512,NA,NA,NA,NA,-0.221188487714368,0.221612420914756,NA,NA,NA,NA,NA,NA,1.4493050277547,0.711730453460878,0,77.5712336971761,240.477574988852,8,60,496.955149977705,1.29682715401674,0.0319451083731091,NA,0.240222799360306
"85","85","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-0.907095467955958,0.697682438639449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210533398476558,0.407160021285646,-0.628352758523695,0.613167866970974,NA,NA,NA,NA,0.739662356752097,0.60153247051469,NA,NA,NA,NA,NA,NA,-0.272682192747534,0.137576095592401,-0.995538493053827,0.257197469000512,NA,NA,NA,NA,-0.221188487714368,0.221612420914756,NA,NA,NA,NA,NA,NA,1.4493050277547,0.711730453460878,0,77.5712336971761,240.477574988852,8,60,496.955149977705,1.29682715401674,0.0319451083731091,NA,0.272167907733415
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-0.824699911822619,0.556189912942905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.412372582960319,0.435278890955889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.706186733678326,0.150084669937087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1739403968326,0.568905901192926,0,20.405299565199,244.50095227544,4,60,497.001904550879,1.34358172719089,0.0312069797568649,NA,0.30337488749028
"24","24","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,0.791893385569673,0.864814191196709,-0.657650029334549,0.662877342899732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506886890184399,0.420798983426961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287788327967534,0.132193135366677,-0.807815251177888,0.15897563926771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.432070885073923,0.713082546835379,1.41995140251443,0.702838156836334,0,69.8136890054373,241.605049425473,7,60,497.210098850946,1.55177602725752,0.0281217874476979,NA,0.331496674937978
"81","81","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,0.791893385569673,0.864814191196709,-0.657650029334549,0.662877342899732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506886890184399,0.420798983426961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287788327967534,0.132193135366677,-0.807815251177888,0.15897563926771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.432070885073923,0.713082546835379,1.41995140251443,0.702838156836334,0,69.8136890054373,241.605049425473,7,60,497.210098850946,1.55177602725752,0.0281217874476979,NA,0.359618462385676
