"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-1.23539249328837,0.670710382281298,NA,NA,NA,NA,NA,NA,NA,NA,-2.81182400134223,5.04424356353563,NA,NA,-2.23732917295112,0.485071540843907,NA,NA,NA,NA,NA,NA,NA,NA,-2.53379086151181,1.11387962465754,0,402.729405494358,75.3956785342117,4,60,158.791357068423,0,0.205240292397091,NA,0.205240292397091
"3","3","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-1.32250974458855,0.667656798141555,0.953819262821753,0.761917011440394,NA,NA,NA,NA,NA,NA,-2.02505771095464,3.12721686905105,NA,NA,-2.12577799718724,0.493166262978739,-0.027630953006077,0.487757427562698,NA,NA,NA,NA,NA,NA,-2.69764056106068,1.13371896975285,0,151.042067433448,74.0241347470476,6,60,160.048269494095,1.25691242567183,0.109478177580843,NA,0.314718469977934
"14","14","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-1.32250974458855,0.667656798141555,0.953819262821753,0.761917011440394,NA,NA,NA,NA,NA,NA,-2.02505771095464,3.12721686905105,NA,NA,-2.12577799718724,0.493166262978739,-0.027630953006077,0.487757427562698,NA,NA,NA,NA,NA,NA,-2.69764056106068,1.13371896975285,0,151.042067433448,74.0241347470476,6,60,160.048269494095,1.25691242567183,0.109478177580843,NA,0.424196647558777
"4","4","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-1.4198805172039,0.595056803870205,NA,NA,NA,NA,0.0463064393459766,0.4691934495316,NA,NA,-3.1188721268683,6.25573168818551,NA,NA,-2.20890745062645,0.488191265351481,NA,NA,NA,NA,-0.879901200922989,0.744606831467473,NA,NA,-2.73390584715496,1.09611845510686,0,596.207837883832,74.4519793479159,6,60,160.903958695832,2.11260162740851,0.0713702158264106,NA,0.495566863385187
"15","15","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-1.4198805172039,0.595056803870205,NA,NA,NA,NA,0.0463064393459766,0.4691934495316,NA,NA,-3.1188721268683,6.25573168818551,NA,NA,-2.20890745062645,0.488191265351481,NA,NA,NA,NA,-0.879901200922989,0.744606831467473,NA,NA,-2.73390584715496,1.09611845510686,0,596.207837883832,74.4519793479159,6,60,160.903958695832,2.11260162740851,0.0713702158264106,NA,0.566937079211598
"2","2","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,-0.947731459193267,0.7790250096663,NA,NA,1.07230054458647,1.06384276432569,NA,NA,NA,NA,-0.483161235964745,1.38581047555473,NA,NA,-2.04595366340382,0.483012607433831,NA,NA,-0.0215332598894691,0.371071895986981,NA,NA,NA,NA,-2.70190753432674,1.09501830487655,0,34.6776250768526,74.8418617092919,6,60,161.683723418584,2.89236635016044,0.0483273800918017,NA,0.615264459303399
"13","13","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,-0.947731459193267,0.7790250096663,NA,NA,1.07230054458647,1.06384276432569,NA,NA,NA,NA,-0.483161235964745,1.38581047555473,NA,NA,-2.04595366340382,0.483012607433831,NA,NA,-0.0215332598894691,0.371071895986981,NA,NA,NA,NA,-2.70190753432674,1.09501830487655,0,34.6776250768526,74.8418617092919,6,60,161.683723418584,2.89236635016044,0.0483273800918017,NA,0.663591839395201
"12","12","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",-0.0102306667621529,0.802416283693059,-1.7496818331664,0.576550538487769,NA,NA,NA,NA,-0.305783925853457,0.669263767680731,NA,NA,-4.47775090356703,14.5381675756002,-0.327580921627226,0.549889377857322,-2.15706285006037,0.475473942218707,NA,NA,NA,NA,-0.831723697839168,0.756140897115834,-2.02057050253062,1.33696135313583,-3.62238626345858,1.87609868986385,0,3060.62871893529,71.9027191936164,9,60,161.805438387233,3.01408131880942,0.045474002604272,NA,0.709065841999473
"20","20","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",-0.0102306667621529,0.802416283693059,-1.7496818331664,0.576550538487769,NA,NA,NA,NA,-0.305783925853457,0.669263767680731,NA,NA,-4.47775090356703,14.5381675756002,-0.327580921627226,0.549889377857322,-2.15706285006037,0.475473942218707,NA,NA,NA,NA,-0.831723697839168,0.756140897115834,-2.02057050253062,1.33696135313583,-3.62238626345858,1.87609868986385,0,3060.62871893529,71.9027191936164,9,60,161.805438387233,3.01408131880942,0.045474002604272,NA,0.754539844603745
"6","6","~1 ~ Biotic ~ 1 ~ Biotic",-0.226607179743298,0.715978609176842,-1.30403965492658,0.648025862107217,NA,NA,NA,NA,NA,NA,NA,NA,-2.18988382152648,3.13502766041082,-0.336514754962307,0.554046139800668,-2.12583468138467,0.517959252798976,NA,NA,NA,NA,NA,NA,NA,NA,-2.61762199364284,1.11360974684446,0,152.426666522925,75.0135974452973,6,60,162.027194890595,3.23583782217122,0.0407014020251051,NA,0.79524124662885
