"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","4","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,1.62533258537316,1.12957215272082,NA,NA,NA,NA,NA,NA,-4.29082522034654,1.12773263285684,-0.747780190119537,0.942790229568181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489538870223305,0.0969506032484138,0.295589475762295,0.0983032908609294,NA,NA,NA,NA,NA,NA,NA,NA,1.41215109193159,0.600522851614324,0,239.826721315033,351.43101128269,6,61,714.86202256538,0,0.111696622613616,NA,0.111696622613616
"27","27","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,1.62533258537316,1.12957215272082,NA,NA,NA,NA,NA,NA,-4.29082522034654,1.12773263285684,-0.747780190119537,0.942790229568181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489538870223305,0.0969506032484138,0.295589475762295,0.0983032908609294,NA,NA,NA,NA,NA,NA,NA,NA,1.41215109193159,0.600522851614324,0,239.826721315033,351.43101128269,6,61,714.86202256538,0,0.111696622613616,NA,0.223393245227233
"16","16","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.71808559466848,1.19697616926376,NA,NA,NA,NA,-2.36474390243179,1.54284523414957,-6.90394976376071,3.07842676654544,NA,NA,-2.56006860571351,1.59075565539416,NA,NA,NA,NA,NA,NA,0.12031645260164,0.0844281469426446,0.433079175120968,0.0971319827995174,NA,NA,0.232515672101123,0.0999176884527152,NA,NA,NA,NA,NA,NA,1.39789291412226,0.594393639007506,0,2458.9323483989,349.607494934705,8,61,715.21498986941,0.352967304030358,0.0936255032862863,NA,0.317018748513519
"37","37","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.71808559466848,1.19697616926376,NA,NA,NA,NA,-2.36474390243179,1.54284523414957,-6.90394976376071,3.07842676654544,NA,NA,-2.56006860571351,1.59075565539416,NA,NA,NA,NA,NA,NA,0.12031645260164,0.0844281469426446,0.433079175120968,0.0971319827995174,NA,NA,0.232515672101123,0.0999176884527152,NA,NA,NA,NA,NA,NA,1.39789291412226,0.594393639007506,0,2458.9323483989,349.607494934705,8,61,715.21498986941,0.352967304030358,0.0936255032862863,NA,0.410644251799806
"5","5","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,1.63395955964075,1.12586190735751,NA,NA,NA,NA,NA,NA,-4.28822647555376,1.12670380280273,-0.747769420007057,0.943031902629885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491052031702934,0.0968269189034421,0.293716852231966,0.0981076132442309,NA,NA,NA,NA,NA,NA,-0.781432184672056,0.732818352852739,1.24462862853133,0.609394376063723,0,240.976481648095,350.773907788237,7,61,715.547815576473,0.685793011093665,0.0792723953375164,NA,0.489916647137322
"28","28","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,1.63395955964075,1.12586190735751,NA,NA,NA,NA,NA,NA,-4.28822647555376,1.12670380280273,-0.747769420007057,0.943031902629885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491052031702934,0.0968269189034421,0.293716852231966,0.0981076132442309,NA,NA,NA,NA,NA,NA,-0.781432184672056,0.732818352852739,1.24462862853133,0.609394376063723,0,240.976481648095,350.773907788237,7,61,715.547815576473,0.685793011093665,0.0792723953375164,NA,0.569189042474838
"17","17","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.73037927476408,1.19909405887582,NA,NA,NA,NA,-2.37888389146599,1.54663873110421,-6.92601167450953,3.09239344881787,NA,NA,-2.58824187076037,1.59772783288416,NA,NA,NA,NA,NA,NA,0.119558544346402,0.0841889139983061,0.434502829768383,0.0969979440432067,NA,NA,0.230727737301611,0.0995838809677273,NA,NA,NA,NA,-0.795140230291201,0.734654511908874,1.23754872659257,0.606880014924368,0,2491.07973728841,348.926674492912,9,61,715.853348985824,0.99132642044458,0.0680418705570763,NA,0.637230913031915
"38","38","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.73037927476408,1.19909405887582,NA,NA,NA,NA,-2.37888389146599,1.54663873110421,-6.92601167450953,3.09239344881787,NA,NA,-2.58824187076037,1.59772783288416,NA,NA,NA,NA,NA,NA,0.119558544346402,0.0841889139983061,0.434502829768383,0.0969979440432067,NA,NA,0.230727737301611,0.0995838809677273,NA,NA,NA,NA,-0.795140230291201,0.734654511908874,1.23754872659257,0.606880014924368,0,2491.07973728841,348.926674492912,9,61,715.853348985824,0.99132642044458,0.0680418705570763,NA,0.705272783588991
"18","18","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,1.73194587651519,1.18454827972647,NA,NA,1.76682834809929,1.62658552872298,-1.86349726962014,1.36696311224104,-5.78332218045802,2.28468846122104,NA,NA,-0.544042315299496,1.67975827663796,NA,NA,NA,NA,0.128534490038431,0.101453418525422,0.113241982847338,0.0839210302625705,0.457743224253361,0.0983132209820279,NA,NA,0.180744136544578,0.107438469762512,NA,NA,NA,NA,NA,NA,1.3901480847358,0.590756264703575,0,1433.58753215025,348.191672973115,10,61,716.383345946231,1.52132338085107,0.0522022072755608,NA,0.757474990864552
"39","39","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,1.73194587651519,1.18454827972647,NA,NA,1.76682834809929,1.62658552872298,-1.86349726962014,1.36696311224104,-5.78332218045802,2.28468846122104,NA,NA,-0.544042315299496,1.67975827663796,NA,NA,NA,NA,0.128534490038431,0.101453418525422,0.113241982847338,0.0839210302625705,0.457743224253361,0.0983132209820279,NA,NA,0.180744136544578,0.107438469762512,NA,NA,NA,NA,NA,NA,1.3901480847358,0.590756264703575,0,1433.58753215025,348.191672973115,10,61,716.383345946231,1.52132338085107,0.0522022072755608,NA,0.809677198140113
"19","19","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,1.73485151376328,1.18500886239884,NA,NA,1.76456102343577,1.61995417219412,-1.85373798879951,1.36049456862101,-5.76819418581153,2.27418553048905,NA,NA,-0.552686924395265,1.66984180727989,NA,NA,NA,NA,0.128199656053287,0.100581247431323,0.113680329905012,0.0836586895057311,0.458674532599238,0.098187903201703,NA,NA,0.179678677202966,0.10702512295165,NA,NA,NA,NA,-0.797799367614101,0.733630333714943,1.23271349267236,0.60505979535954,0,1433.10791157405,347.500120028206,11,61,717.000240056411,2.13821749103158,0.0383470546821434,NA,0.848024252822256
"40","40","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,1.73485151376328,1.18500886239884,NA,NA,1.76456102343577,1.61995417219412,-1.85373798879951,1.36049456862101,-5.76819418581153,2.27418553048905,NA,NA,-0.552686924395265,1.66984180727989,NA,NA,NA,NA,0.128199656053287,0.100581247431323,0.113680329905012,0.0836586895057311,0.458674532599238,0.098187903201703,NA,NA,0.179678677202966,0.10702512295165,NA,NA,NA,NA,-0.797799367614101,0.733630333714943,1.23271349267236,0.60505979535954,0,1433.10791157405,347.500120028206,11,61,717.000240056411,2.13821749103158,0.0383470546821434,NA,0.886371307504399
"2","2","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,1.61576443454046,1.18067755145507,NA,NA,NA,NA,NA,NA,-4.82628266048119,1.63172776515665,NA,NA,-1.20217599372845,1.31916178810579,NA,NA,NA,NA,NA,NA,NA,NA,0.451303851796055,0.0955970495981099,NA,NA,0.219391463300175,0.0986877068631071,NA,NA,NA,NA,NA,NA,1.40884098719331,0.599280710765026,0,455.61600851553,353.215551359056,6,61,718.431102718112,3.56908015273245,0.018750987037415,NA,0.905122294541814
"25","25","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,1.61576443454046,1.18067755145507,NA,NA,NA,NA,NA,NA,-4.82628266048119,1.63172776515665,NA,NA,-1.20217599372845,1.31916178810579,NA,NA,NA,NA,NA,NA,NA,NA,0.451303851796055,0.0955970495981099,NA,NA,0.219391463300175,0.0986877068631071,NA,NA,NA,NA,NA,NA,1.40884098719331,0.599280710765026,0,455.61600851553,353.215551359056,6,61,718.431102718112,3.56908015273245,0.018750987037415,NA,0.923873281579229
"3","3","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,1.62817034394899,1.17845180408765,NA,NA,NA,NA,NA,NA,-4.81804915816177,1.62499611645031,NA,NA,-1.20624933374832,1.3173094193292,NA,NA,NA,NA,NA,NA,NA,NA,0.45302087721242,0.0954156067874917,NA,NA,0.21713837300241,0.0983067041530399,NA,NA,NA,NA,-0.787706167428092,0.734224548185748,1.24191990326745,0.608764770943004,0,456.946478198524,352.549787983854,7,61,719.099575967709,4.23755340232901,0.0134235384707213,NA,0.937296820049951
"26","26","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,1.62817034394899,1.17845180408765,NA,NA,NA,NA,NA,NA,-4.81804915816177,1.62499611645031,NA,NA,-1.20624933374832,1.3173094193292,NA,NA,NA,NA,NA,NA,NA,NA,0.45302087721242,0.0954156067874917,NA,NA,0.21713837300241,0.0983067041530399,NA,NA,NA,NA,-0.787706167428092,0.734224548185748,1.24191990326745,0.608764770943004,0,456.946478198524,352.549787983854,7,61,719.099575967709,4.23755340232901,0.0134235384707213,NA,0.950720358520672
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,1.6042465514532,1.18269786820825,NA,NA,NA,NA,NA,NA,-4.38801643759262,1.35683349735546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425825836531905,0.0951828335608011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38776036451303,0.588778724941052,0,218.037890276641,356.33465119485,4,61,720.669302389699,5.80727982431949,0.00612357794501888,NA,0.956843936465691
