"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"10","10","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-2.09857885170262,0.86863866808427,NA,NA,NA,NA,-4.77285849876538,2.3889073223216,-1.70968502302827,1.35667572555403,-1.75466814580057,1.41112473522033,NA,NA,NA,NA,4.37962976832387,2.00388376896299,-0.0207927740897982,0.213536928528096,-0.178630553544821,0.189024978105078,-1.40342399525643,0.249748835197512,NA,NA,NA,NA,-0.176608737679994,0.244884447179592,NA,NA,1.81891469672365,1.06767441852963,0,672.180860802132,167.210908394838,10,61,354.421816789675,0,0.199370965318565,NA,0.199370965318565
"21","21","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-2.09857885170262,0.86863866808427,NA,NA,NA,NA,-4.77285849876538,2.3889073223216,-1.70968502302827,1.35667572555403,-1.75466814580057,1.41112473522033,NA,NA,NA,NA,4.37962976832387,2.00388376896299,-0.0207927740897982,0.213536928528096,-0.178630553544821,0.189024978105078,-1.40342399525643,0.249748835197512,NA,NA,NA,NA,-0.176608737679994,0.244884447179592,NA,NA,1.81891469672365,1.06767441852963,0,672.180860802132,167.210908394838,10,61,354.421816789675,0,0.199370965318565,NA,0.39874193063713
"12","12","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-2.17890519580956,0.771949403454336,NA,NA,NA,NA,-4.32756255942712,2.07675471457003,-1.52223770574731,1.26692271112437,-1.66978863759043,1.32568547667668,NA,NA,NA,NA,4.18306312485224,2.11504165142869,-0.0809277512340627,0.213474563864993,-0.2539061811745,0.193774279822134,-1.267683295583,0.265270633599798,NA,NA,NA,NA,-0.0364834859903797,0.273149388287403,1.12894195547538,0.990720739739198,1.83585874039231,0.979847083812928,0,611.878769998895,166.794122724339,11,61,355.588245448679,1.16642865900366,0.111269246372646,NA,0.510011177009776
"23","23","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-2.17890519580956,0.771949403454336,NA,NA,NA,NA,-4.32756255942712,2.07675471457003,-1.52223770574731,1.26692271112437,-1.66978863759043,1.32568547667668,NA,NA,NA,NA,4.18306312485224,2.11504165142869,-0.0809277512340627,0.213474563864993,-0.2539061811745,0.193774279822134,-1.267683295583,0.265270633599798,NA,NA,NA,NA,-0.0364834859903797,0.273149388287403,1.12894195547538,0.990720739739198,1.83585874039231,0.979847083812928,0,611.878769998895,166.794122724339,11,61,355.588245448679,1.16642865900366,0.111269246372646,NA,0.621280423382423
"14","14","~Elevation ~ 1 ~ Tmax * Biotic ~ Tmax * Biotic",NA,NA,NA,NA,-2.29561212960592,0.627735387453949,NA,NA,NA,NA,NA,NA,-0.110905225018851,0.8587852535947,-2.66870703784033,1.36640724589892,-2.74294023210247,1.83534948141923,1.93766162272905,2.15664884261366,NA,NA,NA,NA,-0.383641250000745,0.16286374957579,-1.05310681836726,0.199392452152713,-0.276088224792447,0.167602984292705,0.430267398271311,0.203198171545105,NA,NA,1.74577803151125,0.892716376547056,1.72032827165352,0.986135442728726,0,635.497353145736,167.101756749324,11,61,356.203513498648,1.78169670897267,0.0818034061077879,NA,0.70308382949021
"25","25","~Elevation^2 ~ 1 ~ Tmax^2 * Biotic ~ Tmax^2 * Biotic",NA,NA,NA,NA,-2.29561212960592,0.627735387453949,NA,NA,NA,NA,NA,NA,-0.110905225018851,0.8587852535947,-2.66870703784033,1.36640724589892,-2.74294023210247,1.83534948141923,1.93766162272905,2.15664884261366,NA,NA,NA,NA,-0.383641250000745,0.16286374957579,-1.05310681836726,0.199392452152713,-0.276088224792447,0.167602984292705,0.430267398271311,0.203198171545105,NA,NA,1.74577803151125,0.892716376547056,1.72032827165352,0.986135442728726,0,635.497353145736,167.101756749324,11,61,356.203513498648,1.78169670897267,0.0818034061077879,NA,0.784887235597998
"11","11","~Elevation ~ Biotic * Tmin ~ Biotic * Tmin ~ Biotic * Tmin",8.13610179755745,6.06461890122136,7.51024832577499,4.84098089698626,-5.34893031242051,2.8271598713751,NA,NA,-0.648362617195084,1.61438701377926,-2.11901381656171,1.33574086024803,1.23294443595488,0.891447920735135,-2.98996697756367,1.47891583798796,NA,NA,NA,NA,3.57854914589058,2.13757592904891,0.0219236919478641,0.214378932180295,-0.0832066422361868,0.184388496875812,-1.3285647997916,0.22499839044026,NA,NA,NA,NA,-0.0949697425737917,0.239114427517421,0.927012969263957,0.762692714329833,1.25955959813553,0.805880540586878,0,4435.21203096974,165.044447532066,14,61,358.088895064132,3.66707827445674,0.0318688199085761,NA,0.816756055506574
"22","22","~Elevation^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",8.13610179755745,6.06461890122136,7.51024832577499,4.84098089698626,-5.34893031242051,2.8271598713751,NA,NA,-0.648362617195084,1.61438701377926,-2.11901381656171,1.33574086024803,1.23294443595488,0.891447920735135,-2.98996697756367,1.47891583798796,NA,NA,NA,NA,3.57854914589058,2.13757592904891,0.0219236919478641,0.214378932180295,-0.0832066422361868,0.184388496875812,-1.3285647997916,0.22499839044026,NA,NA,NA,NA,-0.0949697425737917,0.239114427517421,0.927012969263957,0.762692714329833,1.25955959813553,0.805880540586878,0,4435.21203096974,165.044447532066,14,61,358.088895064132,3.66707827445674,0.0318688199085761,NA,0.848624875415151
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-2.69374349405189,1.56729288279878,NA,NA,NA,NA,NA,NA,NA,NA,-2.05615048948722,0.803106112162517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41724787364903,0.203210369605485,NA,NA,NA,NA,NA,NA,NA,NA,1.20634232787232,0.729493756212879,0,103.592602380251,175.064641539899,4,61,358.129283079798,3.70746629012262,0.0312317152090476,NA,0.879856590624198
"13","13","~1 ~ 1 ~ Tmax * Biotic ~ Tmax * Biotic",NA,NA,NA,NA,-2.09797381765364,0.622747799542451,NA,NA,NA,NA,NA,NA,0.0550000213064326,0.898036259723383,-2.68115619456689,1.57798838823934,-3.30347703053104,2.09760049682082,2.76250717039878,2.31782116129993,NA,NA,NA,NA,-0.34805322787878,0.16470432103231,-1.09715673539478,0.21221347489965,-0.245042932418591,0.168087237132271,0.35184537233015,0.210020016016038,NA,NA,NA,NA,0.77584426110846,0.621537939654109,0,787.947436277999,170.070981858644,10,61,360.141963717288,5.7201469276128,0.0114168892577727,NA,0.891273479881971
