"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"16","16","~1 ~ Tvar * Biotic ~ 1 ~ Tvar * Biotic",-3.10930416166224,2.61133486303867,0.328120871012709,1.3468509761536,NA,NA,NA,NA,6.86342608293196,4.65483447523841,4.91320592112126,3.72723003581204,NA,NA,NA,NA,NA,NA,-2.54961462340674,0.689416285407487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129362351318439,0.116731298384408,NA,NA,-0.815117254291035,0.136871115248298,NA,NA,NA,NA,0.167220974606641,0.133057388154339,-0.231254572558222,0.138481242126813,0.721452415322261,0.633857571290984,0,4014.99553756402,282.540980771894,10,61,585.081961543788,0,0.361678717777507,NA,0.361678717777507
"31","31","~1 ~ Tvar^2 * Biotic ~ 1 ~ Tvar^2 * Biotic",-3.10930416166224,2.61133486303867,0.328120871012709,1.3468509761536,NA,NA,NA,NA,6.86342608293196,4.65483447523841,4.91320592112126,3.72723003581204,NA,NA,NA,NA,NA,NA,-2.54961462340674,0.689416285407487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129362351318439,0.116731298384408,NA,NA,-0.815117254291035,0.136871115248298,NA,NA,NA,NA,0.167220974606641,0.133057388154339,-0.231254572558222,0.138481242126813,0.721452415322261,0.633857571290984,0,4014.99553756402,282.540980771894,10,61,585.081961543788,0,0.361678717777507,NA,0.723357435555014
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,1.5917638696806,1.85190436262227,NA,NA,-2.93055243244445,2.23143595922445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33070376399214,0.65383121923485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736115072243142,0.133543645565468,NA,NA,0.0936082874064624,0.127994050032566,NA,NA,NA,NA,0.773393774403778,0.629943304367031,0,778.710465536459,289.217232977901,6,61,590.434465955801,5.3525044120131,0.0248909452258791,NA,0.748248380780893
"20","20","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,1.5917638696806,1.85190436262227,NA,NA,-2.93055243244445,2.23143595922445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33070376399214,0.65383121923485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736115072243142,0.133543645565468,NA,NA,0.0936082874064624,0.127994050032566,NA,NA,NA,NA,0.773393774403778,0.629943304367031,0,778.710465536459,289.217232977901,6,61,590.434465955801,5.3525044120131,0.0248909452258791,NA,0.773139326006772
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-0.713742095085533,0.878201312033969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6274226239388,0.821040145318366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.786629942828141,0.142395321977792,NA,NA,NA,NA,NA,NA,NA,NA,1.18905236161881,0.973638130930724,0,121.16701886993,291.229866719137,4,61,590.459733438274,5.37777189448548,0.0245784575652653,NA,0.797717783572037
"8","8","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-0.890333962141003,0.894243369048277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.02632718077906,1.11566047410831,NA,NA,NA,NA,NA,NA,-0.829209196124932,1.27433067362404,NA,NA,NA,NA,NA,NA,-0.824930925655421,0.133247372792967,NA,NA,NA,NA,NA,NA,-0.19931045930902,0.125376308208062,1.39065044856618,0.963497813955316,0,205.703815407867,289.664029528843,6,61,591.328059057686,6.24609751389789,0.0159220913954048,NA,0.813639874967442
"25","25","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-0.890333962141003,0.894243369048277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.02632718077906,1.11566047410831,NA,NA,NA,NA,NA,NA,-0.829209196124932,1.27433067362404,NA,NA,NA,NA,NA,NA,-0.824930925655421,0.133247372792967,NA,NA,NA,NA,NA,NA,-0.19931045930902,0.125376308208062,1.39065044856618,0.963497813955316,0,205.703815407867,289.664029528843,6,61,591.328059057686,6.24609751389789,0.0159220913954048,NA,0.829561966362847
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,1.59620125378284,1.71337675813761,NA,NA,-2.88358348483988,2.04808572092405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71666172635501,1.25804703630692,NA,NA,0.945655776980329,1.21768982663425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.755781873736953,0.134293923841786,NA,NA,0.128266559194896,0.128315459522726,NA,NA,NA,NA,0.79585966063403,0.646888508089316,0,694.508305446848,288.717186290906,7,61,591.434372581812,6.35241103802332,0.0150978262844082,NA,0.844659792647255
"19","19","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,1.59620125378284,1.71337675813761,NA,NA,-2.88358348483988,2.04808572092405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71666172635501,1.25804703630692,NA,NA,0.945655776980329,1.21768982663425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.755781873736953,0.134293923841786,NA,NA,0.128266559194896,0.128315459522726,NA,NA,NA,NA,0.79585966063403,0.646888508089316,0,694.508305446848,288.717186290906,7,61,591.434372581812,6.35241103802332,0.0150978262844082,NA,0.859757618931663
"5","5","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,-3.85252450396123,2.42218750411122,3.79821678291817,2.44986015496994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.82828026908463,1.97439242048311,3.37946808224872,1.83791346942456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.780705122048153,0.12223368899716,0.123004915177952,0.121359252887395,NA,NA,NA,NA,NA,NA,1.18978273674233,0.684980582423679,0,1288.25460397406,288.725579722905,7,61,591.45115944581,6.36919790202194,0.0149716340400133,NA,0.874729252971677
