"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,1.59811730335328,0.791037149169645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59812010140823,0.42520301467921,NA,NA,0.840120895757136,0.420450793031126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255711548349596,0.126438660066328,NA,NA,-0.732266156341779,0.135294915180784,NA,NA,NA,NA,NA,NA,NA,NA,0.0545582392156493,0.495879756323506,0,59.9871909449457,302.24022766104,6,61,616.48045532208,0,0.0774601812581448,NA,0.0774601812581448
"67","67","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,1.59811730335328,0.791037149169645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59812010140823,0.42520301467921,NA,NA,0.840120895757136,0.420450793031126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255711548349596,0.126438660066328,NA,NA,-0.732266156341779,0.135294915180784,NA,NA,NA,NA,NA,NA,NA,NA,0.0545582392156493,0.495879756323506,0,59.9871909449457,302.24022766104,6,61,616.48045532208,0,0.0774601812581448,NA,0.15492036251629
"13","13","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,1.60309483154539,0.778574773814993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57950393278446,0.422263014745946,NA,NA,0.855654994315534,0.420236776118613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262656569530536,0.125880173038637,NA,NA,-0.724170030592344,0.134693204281892,NA,NA,NA,NA,NA,NA,0.570502978507888,0.543485253106648,0.212604030216029,0.526237395450917,0,58.2102788028221,301.66710054336,7,61,617.33420108672,0.853745764640166,0.0505463699488126,NA,0.205466732465102
"70","70","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,1.60309483154539,0.778574773814993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57950393278446,0.422263014745946,NA,NA,0.855654994315534,0.420236776118613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262656569530536,0.125880173038637,NA,NA,-0.724170030592344,0.134693204281892,NA,NA,NA,NA,NA,NA,0.570502978507888,0.543485253106648,0.212604030216029,0.526237395450917,0,58.2102788028221,301.66710054336,7,61,617.33420108672,0.853745764640166,0.0505463699488126,NA,0.256013102413915
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,1.08417014649795,0.563650691606993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63274239073205,0.396961331104005,NA,NA,NA,NA,0.874181780317348,0.430322502871817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403043720276872,0.116989259099553,NA,NA,NA,NA,-0.665479677286459,0.123057569796524,NA,NA,NA,NA,NA,NA,-0.010128551932318,0.477911717763155,0,27.3950294162463,302.720378690437,6,61,617.440757380874,0.960302058794241,0.0479238352342942,NA,0.303936937648209
"61","61","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,NA,NA,1.08417014649795,0.563650691606993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63274239073205,0.396961331104005,NA,NA,NA,NA,0.874181780317348,0.430322502871817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403043720276872,0.116989259099553,NA,NA,NA,NA,-0.665479677286459,0.123057569796524,NA,NA,NA,NA,NA,NA,-0.010128551932318,0.477911717763155,0,27.3950294162463,302.720378690437,6,61,617.440757380874,0.960302058794241,0.0479238352342942,NA,0.351860772882503
"8","8","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,1.78925030251964,0.866592454040543,NA,NA,-0.783700984170804,0.948115513543269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60001207899769,0.425520697941828,NA,NA,0.817473574190218,0.417692068571374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265844706416228,0.126761282596433,NA,NA,-0.723204783954707,0.135897293880199,NA,NA,NA,NA,NA,NA,NA,NA,0.0620088971568375,0.498083408020303,0,119.313163740102,301.887217781875,7,61,617.77443556375,1.29398024167017,0.0405596566200223,NA,0.392420429502526
"65","65","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,1.78925030251964,0.866592454040543,NA,NA,-0.783700984170804,0.948115513543269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60001207899769,0.425520697941828,NA,NA,0.817473574190218,0.417692068571374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265844706416228,0.126761282596433,NA,NA,-0.723204783954707,0.135897293880199,NA,NA,NA,NA,NA,NA,NA,NA,0.0620088971568375,0.498083408020303,0,119.313163740102,301.887217781875,7,61,617.77443556375,1.29398024167017,0.0405596566200223,NA,0.432980086122548
"34","34","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,NA,NA,1.17345666841952,0.572126993765581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48460709713088,0.804839850366603,-1.01064692819513,0.705639409953166,NA,NA,-2.38286368673459,0.749547383125937,NA,NA,NA,NA,1.24355799594441,0.628913747595438,NA,NA,NA,NA,-0.143674024047022,0.154301767709022,0.0251584866180939,0.136230384596541,NA,NA,0.416769461796474,0.127962141159438,NA,NA,NA,NA,-0.662740281793219,0.134203300312896,NA,NA,NA,NA,NA,NA,-0.0190641964551909,0.475802426696695,0,149.960487748414,299.025449420679,10,61,618.050898841357,1.57044351927732,0.0353232806291613,NA,0.468303366751709
"88","88","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,NA,NA,1.17345666841952,0.572126993765581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48460709713088,0.804839850366603,-1.01064692819513,0.705639409953166,NA,NA,-2.38286368673459,0.749547383125937,NA,NA,NA,NA,1.24355799594441,0.628913747595438,NA,NA,NA,NA,-0.143674024047022,0.154301767709022,0.0251584866180939,0.136230384596541,NA,NA,0.416769461796474,0.127962141159438,NA,NA,NA,NA,-0.662740281793219,0.134203300312896,NA,NA,NA,NA,NA,NA,-0.0190641964551909,0.475802426696695,0,149.960487748414,299.025449420679,10,61,618.050898841357,1.57044351927732,0.0353232806291613,NA,0.50362664738087
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,1.10250535867603,0.562576661519133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62387297004558,0.396523068568188,NA,NA,NA,NA,0.886293365703526,0.430735890858492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40560377526406,0.116806179935746,NA,NA,NA,NA,-0.662327954673309,0.122873661313173,NA,NA,NA,NA,0.60429890894979,0.54032489739157,0.176800509905981,0.518432285400441,0,31.7620613882518,302.062491750587,7,61,618.124983501174,1.64452817909432,0.0340387616763969,NA,0.537665409057267
"64","64","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,NA,NA,1.10250535867603,0.562576661519133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62387297004558,0.396523068568188,NA,NA,NA,NA,0.886293365703526,0.430735890858492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40560377526406,0.116806179935746,NA,NA,NA,NA,-0.662327954673309,0.122873661313173,NA,NA,NA,NA,0.60429890894979,0.54032489739157,0.176800509905981,0.518432285400441,0,31.7620613882518,302.062491750587,7,61,618.124983501174,1.64452817909432,0.0340387616763969,NA,0.571704170733664
"11","11","~Elevation ~ Tmax ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,1.79901176606936,0.861347160018054,NA,NA,-0.744691830981099,0.927647864862638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.576768620948,0.421696381250651,NA,NA,0.836521464846276,0.417241660444075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272956165989574,0.126306145119091,NA,NA,-0.714672168392658,0.135423998975498,NA,NA,NA,NA,NA,NA,0.563518821934772,0.546525105885004,0.212822616337746,0.526268643625455,0,116.605032222918,301.336629269497,8,61,618.673258538993,2.19280321691326,0.0258772034552272,NA,0.597581374188891
"68","68","~Elevation^2 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,1.79901176606936,0.861347160018054,NA,NA,-0.744691830981099,0.927647864862638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.576768620948,0.421696381250651,NA,NA,0.836521464846276,0.417241660444075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272956165989574,0.126306145119091,NA,NA,-0.714672168392658,0.135423998975498,NA,NA,NA,NA,NA,NA,0.563518821934772,0.546525105885004,0.212822616337746,0.526268643625455,0,116.605032222918,301.336629269497,8,61,618.673258538993,2.19280321691326,0.0258772034552272,NA,0.623458577644119
"37","37","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,NA,NA,1.18853627889396,0.569581348971354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50938887106499,0.808182005535921,-1.01423502081775,0.708708750814736,NA,NA,-2.389052909911,0.751962258863465,NA,NA,NA,NA,1.26187817746412,0.633069400507412,NA,NA,NA,NA,-0.141052941805946,0.153859093372289,0.0271161342328818,0.135677015636972,NA,NA,0.418293474252108,0.127727776153596,NA,NA,NA,NA,-0.66099552341855,0.134003446540927,NA,NA,NA,NA,0.609627520988768,0.536213890062345,0.173126949512958,0.51664955757883,0,152.836809135012,298.344810244287,11,61,618.689620488574,2.20916516649368,0.025666366308723,NA,0.649124943952842
"91","91","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,NA,NA,1.18853627889396,0.569581348971354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50938887106499,0.808182005535921,-1.01423502081775,0.708708750814736,NA,NA,-2.389052909911,0.751962258863465,NA,NA,NA,NA,1.26187817746412,0.633069400507412,NA,NA,NA,NA,-0.141052941805946,0.153859093372289,0.0271161342328818,0.135677015636972,NA,NA,0.418293474252108,0.127727776153596,NA,NA,NA,NA,-0.66099552341855,0.134003446540927,NA,NA,NA,NA,0.609627520988768,0.536213890062345,0.173126949512958,0.51664955757883,0,152.836809135012,298.344810244287,11,61,618.689620488574,2.20916516649368,0.025666366308723,NA,0.674791310261565
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,NA,NA,1.1392318276082,0.58999153497227,NA,NA,NA,NA,-0.538685809872226,0.679120629463825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62383224071711,0.391022055683455,NA,NA,NA,NA,0.816581312507834,0.429722894597291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405891102088995,0.117119923183454,NA,NA,NA,NA,-0.664411250455628,0.123371211257152,NA,NA,NA,NA,NA,NA,0.00134923679829027,0.480168542174094,0,45.2103467007827,302.376547760651,7,61,618.753095521302,2.27264019922222,0.0248645703944114,NA,0.699655880655976
"59","59","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,NA,NA,1.1392318276082,0.58999153497227,NA,NA,NA,NA,-0.538685809872226,0.679120629463825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62383224071711,0.391022055683455,NA,NA,NA,NA,0.816581312507834,0.429722894597291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405891102088995,0.117119923183454,NA,NA,NA,NA,-0.664411250455628,0.123371211257152,NA,NA,NA,NA,NA,NA,0.00134923679829027,0.480168542174094,0,45.2103467007827,302.376547760651,7,61,618.753095521302,2.27264019922222,0.0248645703944114,NA,0.724520451050388
