"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"48","48","~Elevation ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,3.99859825332781,2.8635647361728,NA,NA,-2.09300233427779,0.828650505514538,-4.66579495122489,3.01241009249659,1.00072239151386,1.00531619749656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88132566430932,0.470494065503016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186336367447064,0.138388812988373,NA,NA,-0.975929581182859,0.18302773542164,0.0301394780761614,0.14597923018007,0.21606653265744,0.172983970895629,NA,NA,NA,NA,NA,NA,1.54436466548804,0.979812171629951,-0.0476723059814719,0.793881566474314,0,2037.35491368472,200.755262992393,11,61,423.510525984786,0,0.0897677770345286,NA,0.0897677770345286
"119","119","~Elevation^2 ~ ForestLossCT ~ 1 ~ ForestLossCT",NA,NA,NA,NA,2.70991882813098,2.75693677555037,0.3176589820151,1.27955016063902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.699331436205688,0.480365638903206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.353204545564146,0.222134390336515,-0.921579691629783,0.190185029717192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30604456457986,0.851752298530638,-0.396153916663128,0.703726483275897,0,377.323344025306,205.126776872247,7,61,424.253553744493,0.743027759707786,0.0619118872422923,NA,0.151679664276821
"116","116","~1 ~ ForestLossCT ~ 1 ~ ForestLossCT",NA,NA,NA,NA,2.27480578396089,2.43102251710995,0.15242969315944,1.10812281146911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.715342230523191,0.484508174734583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352270928172534,0.225716596535222,-0.902507586295868,0.1845247514988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.719642400871362,0.573864947081835,0,286.005233317718,206.732447412725,6,61,425.46489482545,1.9543688406639,0.0337858359602524,NA,0.185465500237073
"60","60","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,0.386989857992141,0.357626121725824,NA,NA,-0.2487312262012,0.449458351605319,NA,NA,NA,NA,NA,NA,NA,NA,0.710796647657772,0.603473178736381,NA,NA,NA,NA,NA,NA,-0.59740389132532,0.445167098767873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257049044405163,0.14488258082185,NA,NA,-0.951561884953629,0.203664364378399,NA,NA,NA,NA,NA,NA,NA,NA,0.319032020637597,0.210301753911784,1.23178219125964,0.857503774408923,-0.488261669298592,0.661662295914758,0,57.0236249877337,203.9531218081,9,61,425.9062436162,2.39571763141453,0.0270954892273293,NA,0.212560989464403
"113","113","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,0.386989857992141,0.357626121725824,NA,NA,-0.2487312262012,0.449458351605319,NA,NA,NA,NA,NA,NA,NA,NA,0.710796647657772,0.603473178736381,NA,NA,NA,NA,NA,NA,-0.59740389132532,0.445167098767873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257049044405163,0.14488258082185,NA,NA,-0.951561884953629,0.203664364378399,NA,NA,NA,NA,NA,NA,NA,NA,0.319032020637597,0.210301753911784,1.23178219125964,0.857503774408923,-0.488261669298592,0.661662295914758,0,57.0236249877337,203.9531218081,9,61,425.9062436162,2.39571763141453,0.0270954892273293,NA,0.239656478691732
"118","118","~Elevation^2 ~ ForestLossCT ~ ForestLossCT ~ ForestLossCT",NA,NA,NA,NA,2.39708690115689,2.3858040137246,0.189548283836499,1.08959450409306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470105809688598,1.04358491059609,-0.82149157838635,0.559089359288302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.401467781908614,0.238024524818705,-0.925934626455848,0.188786260732331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24809386795538,0.841900455956739,-0.453783614444604,0.684734799415441,0,282.037492813202,205.029560641613,8,61,426.059121283226,2.5485952984406,0.0251015207347029,NA,0.264757999426435
"21","21","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,0.302784443322005,0.379655541425998,NA,NA,-0.391892040901809,0.445899535338068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.763272009684752,0.494226038054074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260794763451016,0.139095199530073,NA,NA,-1.01569196035807,0.203648718331001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.658240891222162,0.589721477988514,0,27.0722837011774,207.036393349107,6,61,426.072786698215,2.56226071342905,0.0249305939970515,NA,0.289688593423486
"24","24","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,0.227244407351112,0.335650960409241,NA,NA,-0.33121904310299,0.419643143558932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.726115132534701,0.479953245455104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245631363845937,0.140131842358668,NA,NA,-0.996856029302004,0.20308015513229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05176677564962,0.815677850588819,-0.568153899707738,0.628345048741759,0,49.3369652898125,206.064437474275,7,61,426.128874948551,2.61834896376507,0.0242411499117659,NA,0.313929743335252
"81","81","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,0.227244407351112,0.335650960409241,NA,NA,-0.33121904310299,0.419643143558932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.726115132534701,0.479953245455104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245631363845937,0.140131842358668,NA,NA,-0.996856029302004,0.20308015513229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05176677564962,0.815677850588819,-0.568153899707738,0.628345048741759,0,49.3369652898125,206.064437474275,7,61,426.128874948551,2.61834896376507,0.0242411499117659,NA,0.338170893247018
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,NA,NA,-0.373930020483768,0.390991546312986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.768118497670732,0.495550534646503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.884635210859071,0.183878059714082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.741413047614407,0.575137414852984,0,12.9049723537026,209.201916891945,4,61,426.403833783891,2.89330779910529,0.0211274296787869,NA,0.359298322925805
