"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,NA,NA,-0.40153949464983,0.491761072935075,NA,NA,0.794655904330056,0.589628939087807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37662872815214,0.514582802848139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16689758576105,0.176069559582976,NA,NA,0.894085933282489,0.221713291968238,NA,NA,NA,NA,NA,NA,NA,NA,0.0487538872351601,0.603075313882905,0,19.2566004758007,204.803740620397,6,61,421.607481240795,0,0.156124514069822,NA,0.156124514069822
"69","69","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.40153949464983,0.491761072935075,NA,NA,0.794655904330056,0.589628939087807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37662872815214,0.514582802848139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16689758576105,0.176069559582976,NA,NA,0.894085933282489,0.221713291968238,NA,NA,NA,NA,NA,NA,NA,NA,0.0487538872351601,0.603075313882905,0,19.2566004758007,204.803740620397,6,61,421.607481240795,0,0.156124514069822,NA,0.312249028139644
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,0.056531754626372,0.561254402932983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0624345867814,0.577588906194325,NA,NA,-0.586074690611631,0.703539814942464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18429675000043,0.178694537532452,NA,NA,0.94120453951144,0.217190213274205,NA,NA,NA,NA,NA,NA,NA,NA,0.148966232973487,0.626973016089658,0,30.9985459434273,205.455087388032,6,61,422.910174776063,1.3026935352687,0.0813944499591096,NA,0.393643478098754
"70","70","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,0.056531754626372,0.561254402932983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0624345867814,0.577588906194325,NA,NA,-0.586074690611631,0.703539814942464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18429675000043,0.178694537532452,NA,NA,0.94120453951144,0.217190213274205,NA,NA,NA,NA,NA,NA,NA,NA,0.148966232973487,0.626973016089658,0,30.9985459434273,205.455087388032,6,61,422.910174776063,1.3026935352687,0.0813944499591096,NA,0.475037928057863
"12","12","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,NA,NA,-0.429317736397758,0.524654363251249,NA,NA,0.816834965964586,0.647934582294735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39239931796582,0.522877163364071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18526534054893,0.179682729433957,NA,NA,0.925083782205792,0.226381717017289,NA,NA,NA,NA,NA,NA,0.356409666923906,0.760070275745598,0.327615933506638,0.895848621758149,0,57.261373946946,204.685132809327,7,61,423.370265618653,1.76278437785885,0.0646676881929328,NA,0.539705616250796
"72","72","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.429317736397758,0.524654363251249,NA,NA,0.816834965964586,0.647934582294735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39239931796582,0.522877163364071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18526534054893,0.179682729433957,NA,NA,0.925083782205792,0.226381717017289,NA,NA,NA,NA,NA,NA,0.356409666923906,0.760070275745598,0.327615933506638,0.895848621758149,0,57.261373946946,204.685132809327,7,61,423.370265618653,1.76278437785885,0.0646676881929328,NA,0.604373304443729
"8","8","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,-0.36346399971516,0.505491382667432,NA,NA,0.722669080053514,0.602042091869754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32423431210004,0.536710181471593,NA,NA,-0.207761401480645,0.600344010963274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15617758437995,0.178353049202365,NA,NA,0.879166621172287,0.226442316242697,NA,NA,NA,NA,NA,NA,NA,NA,0.0495405591543847,0.604484422873326,0,27.6818918363775,204.743695106267,7,61,423.487390212534,1.87990897173978,0.060989356791846,NA,0.665362661235575
"68","68","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,-0.36346399971516,0.505491382667432,NA,NA,0.722669080053514,0.602042091869754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32423431210004,0.536710181471593,NA,NA,-0.207761401480645,0.600344010963274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15617758437995,0.178353049202365,NA,NA,0.879166621172287,0.226442316242697,NA,NA,NA,NA,NA,NA,NA,NA,0.0495405591543847,0.604484422873326,0,27.6818918363775,204.743695106267,7,61,423.487390212534,1.87990897173978,0.060989356791846,NA,0.726352018027421
"13","13","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,NA,NA,0.0841525737756886,0.563612638821618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06079673038067,0.565773648754007,NA,NA,-0.589282010652819,0.681851721672016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20150829119786,0.179773784622749,NA,NA,0.968694547865695,0.216678875810737,NA,NA,NA,NA,NA,NA,0.525315539607696,0.825620970718206,0.600563963369025,1.04146651090164,0,75.4681275439451,205.221539365461,7,61,424.443078730921,2.83559749012687,0.0378206447496632,NA,0.764172662777084
"73","73","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,NA,NA,0.0841525737756886,0.563612638821618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06079673038067,0.565773648754007,NA,NA,-0.589282010652819,0.681851721672016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20150829119786,0.179773784622749,NA,NA,0.968694547865695,0.216678875810737,NA,NA,NA,NA,NA,NA,0.525315539607696,0.825620970718206,0.600563963369025,1.04146651090164,0,75.4681275439451,205.221539365461,7,61,424.443078730921,2.83559749012687,0.0378206447496632,NA,0.801993307526747
