"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"19","19","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-0.663258989153464,0.4051004333067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723122110662985,0.584653826078616,0.402141131394572,0.611895586133131,NA,NA,NA,NA,-0.501368595768383,0.861164269789031,NA,NA,NA,NA,NA,NA,-0.315757495515806,0.181962796367558,-0.391249432999603,0.20325106882644,NA,NA,NA,NA,-1.19349702065234,0.335537697245093,NA,NA,NA,NA,NA,NA,0.621197888557647,0.665843034420825,0,70.2742283534845,292.850437165419,8,60,601.700874330838,0,0.165328910702179,NA,0.165328910702179
"49","49","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-0.663258989153464,0.4051004333067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723122110662985,0.584653826078616,0.402141131394572,0.611895586133131,NA,NA,NA,NA,-0.501368595768383,0.861164269789031,NA,NA,NA,NA,NA,NA,-0.315757495515806,0.181962796367558,-0.391249432999603,0.20325106882644,NA,NA,NA,NA,-1.19349702065234,0.335537697245093,NA,NA,NA,NA,NA,NA,0.621197888557647,0.665843034420825,0,70.2742283534845,292.850437165419,8,60,601.700874330838,0,0.165328910702179,NA,0.330657821404358
"18","18","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-0.330788340291415,0.687571319363877,-1.13989855692297,0.617974051931521,NA,NA,NA,NA,0.366767328324265,0.786904224240802,NA,NA,NA,NA,NA,NA,NA,NA,-0.324402910371005,0.435429383397001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421641922428362,0.175221636850383,-0.483586961483363,0.214896443269006,NA,NA,NA,NA,-1.17688978327072,0.327829922260238,NA,NA,NA,NA,NA,NA,0.968129744098735,0.977104259107626,0,83.1354112014369,293.431523575971,8,60,602.863047151942,1.16217282110415,0.0924668754704253,NA,0.423124696874783
"48","48","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-0.330788340291415,0.687571319363877,-1.13989855692297,0.617974051931521,NA,NA,NA,NA,0.366767328324265,0.786904224240802,NA,NA,NA,NA,NA,NA,NA,NA,-0.324402910371005,0.435429383397001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421641922428362,0.175221636850383,-0.483586961483363,0.214896443269006,NA,NA,NA,NA,-1.17688978327072,0.327829922260238,NA,NA,NA,NA,NA,NA,0.968129744098735,0.977104259107626,0,83.1354112014369,293.431523575971,8,60,602.863047151942,1.16217282110415,0.0924668754704253,NA,0.515591572345208
"17","17","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.739054666582407,0.802799603938325,-0.430245214441189,0.740648958186237,NA,NA,NA,NA,-0.404410292230431,1.00528798375306,NA,NA,NA,NA,NA,NA,0.963937628644512,0.483571516996465,0.556841327376879,0.67496619276888,NA,NA,NA,NA,-0.737743633582547,1.08093267026507,NA,NA,NA,NA,NA,NA,-0.361898289253128,0.177619556831365,-0.418867254642285,0.203581903976276,NA,NA,NA,NA,-1.24845717789657,0.330540831045008,NA,NA,NA,NA,NA,NA,0.799082360159785,0.735846130170049,0,188.029548109681,292.287737790559,10,60,604.575475581119,2.87460125028065,0.0392768883336585,NA,0.554868460678867
"47","47","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,0.739054666582407,0.802799603938325,-0.430245214441189,0.740648958186237,NA,NA,NA,NA,-0.404410292230431,1.00528798375306,NA,NA,NA,NA,NA,NA,0.963937628644512,0.483571516996465,0.556841327376879,0.67496619276888,NA,NA,NA,NA,-0.737743633582547,1.08093267026507,NA,NA,NA,NA,NA,NA,-0.361898289253128,0.177619556831365,-0.418867254642285,0.203581903976276,NA,NA,NA,NA,-1.24845717789657,0.330540831045008,NA,NA,NA,NA,NA,NA,0.799082360159785,0.735846130170049,0,188.029548109681,292.287737790559,10,60,604.575475581119,2.87460125028065,0.0392768883336585,NA,0.594145349012525
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.975300162311774,0.349332949128738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180845794204018,0.508785736363488,NA,NA,NA,NA,-0.619492681905828,0.758609204346002,NA,NA,NA,NA,NA,NA,NA,NA,-0.353589625087526,0.198369937560973,NA,NA,NA,NA,-1.12370687464676,0.339080748051191,NA,NA,NA,NA,NA,NA,0.420511875710337,0.58842477128633,0,48.1211333466694,296.305546939159,6,60,604.611093878318,2.91021954748044,0.0385835922235601,NA,0.632728941236085
"37","37","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.975300162311774,0.349332949128738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180845794204018,0.508785736363488,NA,NA,NA,NA,-0.619492681905828,0.758609204346002,NA,NA,NA,NA,NA,NA,NA,NA,-0.353589625087526,0.198369937560973,NA,NA,NA,NA,-1.12370687464676,0.339080748051191,NA,NA,NA,NA,NA,NA,0.420511875710337,0.58842477128633,0,48.1211333466694,296.305546939159,6,60,604.611093878318,2.91021954748044,0.0385835922235601,NA,0.671312533459645
"22","22","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-0.709889228372679,0.389980173231468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.457377834203885,1.02078915088123,1.06153507001524,0.914247767058399,0.371943832441595,0.626220074958384,NA,NA,NA,NA,-0.415705395336148,0.843440700642512,NA,NA,NA,NA,0.389613944323265,0.435778879882784,-0.4412009109003,0.238123636609652,-0.38737956189883,0.203369783324593,NA,NA,NA,NA,-1.15053878800019,0.338928558932281,NA,NA,NA,NA,NA,NA,0.563431772284561,0.646261033406223,0,128.529090332183,292.366142379912,10,60,604.732284759824,3.03141042898631,0.0363150288472872,NA,0.707627562306933
"52","52","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-0.709889228372679,0.389980173231468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.457377834203885,1.02078915088123,1.06153507001524,0.914247767058399,0.371943832441595,0.626220074958384,NA,NA,NA,NA,-0.415705395336148,0.843440700642512,NA,NA,NA,NA,0.389613944323265,0.435778879882784,-0.4412009109003,0.238123636609652,-0.38737956189883,0.203369783324593,NA,NA,NA,NA,-1.15053878800019,0.338928558932281,NA,NA,NA,NA,NA,NA,0.563431772284561,0.646261033406223,0,128.529090332183,292.366142379912,10,60,604.732284759824,3.03141042898631,0.0363150288472872,NA,0.74394259115422
"21","21","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",1.74428140864154,1.45488637488208,-1.3627678225298,1.07997007550441,-1.45912394350626,0.701353377576582,NA,NA,NA,NA,0.582754929494001,0.815062492156506,NA,NA,NA,NA,NA,NA,NA,NA,-0.410586642062285,0.403806452014587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371194229541374,0.421939743047548,-0.550927199731965,0.234499846095879,-0.501018397594815,0.214844182608595,NA,NA,NA,NA,-1.16590454907695,0.327681239152087,NA,NA,NA,NA,NA,NA,1.08855472421057,0.997290830990752,0,239.919516353869,292.394633398389,10,60,604.789266796778,3.08839246593993,0.0352949768498909,NA,0.779237568004111
"51","51","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",1.74428140864154,1.45488637488208,-1.3627678225298,1.07997007550441,-1.45912394350626,0.701353377576582,NA,NA,NA,NA,0.582754929494001,0.815062492156506,NA,NA,NA,NA,NA,NA,NA,NA,-0.410586642062285,0.403806452014587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371194229541374,0.421939743047548,-0.550927199731965,0.234499846095879,-0.501018397594815,0.214844182608595,NA,NA,NA,NA,-1.16590454907695,0.327681239152087,NA,NA,NA,NA,NA,NA,1.08855472421057,0.997290830990752,0,239.919516353869,292.394633398389,10,60,604.789266796778,3.08839246593993,0.0352949768498909,NA,0.814532544854002
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.15129647523306,0.532804725644782,NA,NA,NA,NA,0.326387155238161,0.679429627834135,NA,NA,NA,NA,NA,NA,NA,NA,-0.105991260317666,0.370517100613139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352300203784704,0.199379048031633,NA,NA,NA,NA,-1.11473498696436,0.338714527032922,NA,NA,NA,NA,NA,NA,0.38301574488925,0.582771220198945,0,44.6501564563312,296.534801985217,6,60,605.069603970434,3.36872963959615,0.0306788063140225,NA,0.845211351168024
"36","36","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.15129647523306,0.532804725644782,NA,NA,NA,NA,0.326387155238161,0.679429627834135,NA,NA,NA,NA,NA,NA,NA,NA,-0.105991260317666,0.370517100613139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352300203784704,0.199379048031633,NA,NA,NA,NA,-1.11473498696436,0.338714527032922,NA,NA,NA,NA,NA,NA,0.38301574488925,0.582771220198945,0,44.6501564563312,296.534801985217,6,60,605.069603970434,3.36872963959615,0.0306788063140225,NA,0.875890157482047
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.944024731772222,0.363115500222031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225662930538405,0.524320861145906,NA,NA,NA,NA,-0.628380528470243,0.756698162495602,NA,NA,NA,NA,NA,NA,NA,NA,-0.369432365574895,0.208138879845808,NA,NA,NA,NA,-1.09206674367936,0.352631499924598,NA,NA,NA,NA,1.63256971839368,6.60530067279696,1.67471328634972,5.33424567135007,0,4823.78286556775,296.247536354866,7,60,606.495072709732,4.79419837889384,0.015041870790718,NA,0.890932028272765
"40","40","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.944024731772222,0.363115500222031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225662930538405,0.524320861145906,NA,NA,NA,NA,-0.628380528470243,0.756698162495602,NA,NA,NA,NA,NA,NA,NA,NA,-0.369432365574895,0.208138879845808,NA,NA,NA,NA,-1.09206674367936,0.352631499924598,NA,NA,NA,NA,1.63256971839368,6.60530067279696,1.67471328634972,5.33424567135007,0,4823.78286556775,296.247536354866,7,60,606.495072709732,4.79419837889384,0.015041870790718,NA,0.905973899063483
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.04295406064982,0.558090616332449,NA,NA,NA,NA,0.117140720212268,0.750679627151833,NA,NA,NA,NA,NA,NA,NA,NA,0.154714896204178,0.533656016303072,NA,NA,NA,NA,-0.568464903464309,0.827102371683845,NA,NA,NA,NA,NA,NA,NA,NA,-0.351789336380167,0.198858414635777,NA,NA,NA,NA,-1.1250073117671,0.339384198266102,NA,NA,NA,NA,NA,NA,0.412287165696433,0.589562393647594,0,77.0616127907437,296.293428586612,7,60,606.586857173224,4.88598284238628,0.0143671660359549,NA,0.920341065099438
"35","35","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.04295406064982,0.558090616332449,NA,NA,NA,NA,0.117140720212268,0.750679627151833,NA,NA,NA,NA,NA,NA,NA,NA,0.154714896204178,0.533656016303072,NA,NA,NA,NA,-0.568464903464309,0.827102371683845,NA,NA,NA,NA,NA,NA,NA,NA,-0.351789336380167,0.198858414635777,NA,NA,NA,NA,-1.1250073117671,0.339384198266102,NA,NA,NA,NA,NA,NA,0.412287165696433,0.589562393647594,0,77.0616127907437,296.293428586612,7,60,606.586857173224,4.88598284238628,0.0143671660359549,NA,0.934708231135393
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.11906111501026,0.548431489407641,NA,NA,NA,NA,0.303031741512426,0.682400151634041,NA,NA,NA,NA,NA,NA,NA,NA,-0.0792348604068767,0.381409661812415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36106579517108,0.203725847156437,NA,NA,NA,NA,-1.09522431537888,0.348494113296176,NA,NA,NA,NA,0.942185716088426,4.35588837723244,1.09146023831074,3.4270828940894,0,2059.11637265688,296.504594607836,7,60,607.009189215673,5.30831488483489,0.0116322271135883,NA,0.946340458248981
"39","39","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.11906111501026,0.548431489407641,NA,NA,NA,NA,0.303031741512426,0.682400151634041,NA,NA,NA,NA,NA,NA,NA,NA,-0.0792348604068767,0.381409661812415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36106579517108,0.203725847156437,NA,NA,NA,NA,-1.09522431537888,0.348494113296176,NA,NA,NA,NA,0.942185716088426,4.35588837723244,1.09146023831074,3.4270828940894,0,2059.11637265688,296.504594607836,7,60,607.009189215673,5.30831488483489,0.0116322271135883,NA,0.957972685362569
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.994326898896547,0.58671036099672,NA,NA,NA,NA,0.0819051170724782,0.755100865242122,NA,NA,NA,NA,NA,NA,NA,NA,0.204622227851097,0.556506157268376,NA,NA,NA,NA,-0.59248390757114,0.825844398661015,NA,NA,NA,NA,NA,NA,NA,NA,-0.366573622899296,0.208231897956887,NA,NA,NA,NA,-1.09505705604254,0.353048238264307,NA,NA,NA,NA,1.48491251413792,6.14857146054509,1.55030267803192,4.950300070515,0,4193.08523010754,296.241701204228,8,60,608.483402408456,6.7825280776176,0.00556597877132388,NA,0.963538664133893
"38","38","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.994326898896547,0.58671036099672,NA,NA,NA,NA,0.0819051170724782,0.755100865242122,NA,NA,NA,NA,NA,NA,NA,NA,0.204622227851097,0.556506157268376,NA,NA,NA,NA,-0.59248390757114,0.825844398661015,NA,NA,NA,NA,NA,NA,NA,NA,-0.366573622899296,0.208231897956887,NA,NA,NA,NA,-1.09505705604254,0.353048238264307,NA,NA,NA,NA,1.48491251413792,6.14857146054509,1.55030267803192,4.950300070515,0,4193.08523010754,296.241701204228,8,60,608.483402408456,6.7825280776176,0.00556597877132388,NA,0.969104642905217
