"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,0.0208820383431412,0.815286636671,NA,NA,NA,NA,-1.25441134118726,1.08809605163204,NA,NA,NA,NA,NA,NA,NA,NA,-0.307110815935457,0.302673059483095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136592885443375,0.153165076913959,NA,NA,NA,NA,-1.0811426089353,0.252330845179376,NA,NA,NA,NA,NA,NA,2.98050511286274,2.74847194450785,0,882.316439820159,405.001856467279,6,60,822.003712934559,0,0.186951723937911,NA,0.186951723937911
"44","44","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,0.0208820383431412,0.815286636671,NA,NA,NA,NA,-1.25441134118726,1.08809605163204,NA,NA,NA,NA,NA,NA,NA,NA,-0.307110815935457,0.302673059483095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136592885443375,0.153165076913959,NA,NA,NA,NA,-1.0811426089353,0.252330845179376,NA,NA,NA,NA,NA,NA,2.98050511286274,2.74847194450785,0,882.316439820159,405.001856467279,6,60,822.003712934559,0,0.186951723937911,NA,0.373903447875821
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,0.354981083875364,0.948514544182357,NA,NA,NA,NA,-1.78317515918639,1.33810511475406,NA,NA,NA,NA,NA,NA,NA,NA,-0.0382666586978973,0.455347742727692,NA,NA,NA,NA,-0.50487187166398,0.657790310686471,NA,NA,NA,NA,NA,NA,NA,NA,0.14046585289917,0.152928666970376,NA,NA,NA,NA,-1.09281286420072,0.24983677999968,NA,NA,NA,NA,NA,NA,2.73242759371761,2.11172297176363,0,529.643813780466,404.714276947344,7,60,823.428553894688,1.42484096012947,0.0916915239590526,NA,0.465594971834874
"43","43","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,0.354981083875364,0.948514544182357,NA,NA,NA,NA,-1.78317515918639,1.33810511475406,NA,NA,NA,NA,NA,NA,NA,NA,-0.0382666586978973,0.455347742727692,NA,NA,NA,NA,-0.50487187166398,0.657790310686471,NA,NA,NA,NA,NA,NA,NA,NA,0.14046585289917,0.152928666970376,NA,NA,NA,NA,-1.09281286420072,0.24983677999968,NA,NA,NA,NA,NA,NA,2.73242759371761,2.11172297176363,0,529.643813780466,404.714276947344,7,60,823.428553894688,1.42484096012947,0.0916915239590526,NA,0.557286495793927
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-0.810747594375847,0.343860306082969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.435240121497786,0.383263999998351,NA,NA,NA,NA,0.0377930118809284,0.590227538967489,NA,NA,NA,NA,NA,NA,NA,NA,0.146814135473377,0.154108150486786,NA,NA,NA,NA,-1.08306040677942,0.255869732729101,NA,NA,NA,NA,NA,NA,2.82354491359594,2.40004083795674,0,663.379433899744,405.862479561922,6,60,823.724959123843,1.72124618928456,0.0790616025825795,NA,0.636348098376506
"45","45","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-0.810747594375847,0.343860306082969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.435240121497786,0.383263999998351,NA,NA,NA,NA,0.0377930118809284,0.590227538967489,NA,NA,NA,NA,NA,NA,NA,NA,0.146814135473377,0.154108150486786,NA,NA,NA,NA,-1.08306040677942,0.255869732729101,NA,NA,NA,NA,NA,NA,2.82354491359594,2.40004083795674,0,663.379433899744,405.862479561922,6,60,823.724959123843,1.72124618928456,0.0790616025825795,NA,0.715409700959085
"21","21","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",0.449431758536044,0.639709492990754,0.0534148229464621,0.823462562744705,NA,NA,NA,NA,-1.33786657876684,1.1061779298349,NA,NA,NA,NA,NA,NA,NA,NA,-0.303304974926567,0.299176168884816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.184120608329889,0.14459159577889,0.122930681460023,0.1534444898464,NA,NA,NA,NA,-1.06900068880705,0.253844082873512,NA,NA,NA,NA,NA,NA,3.10586230988443,3.08035336735525,0,1113.12701803774,404.030831274557,8,60,824.061662549114,2.05794961455501,0.0668115263286726,NA,0.782221227287758
"59","59","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",0.449431758536044,0.639709492990754,0.0534148229464621,0.823462562744705,NA,NA,NA,NA,-1.33786657876684,1.1061779298349,NA,NA,NA,NA,NA,NA,NA,NA,-0.303304974926567,0.299176168884816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.184120608329889,0.14459159577889,0.122930681460023,0.1534444898464,NA,NA,NA,NA,-1.06900068880705,0.253844082873512,NA,NA,NA,NA,NA,NA,3.10586230988443,3.08035336735525,0,1113.12701803774,404.030831274557,8,60,824.061662549114,2.05794961455501,0.0668115263286726,NA,0.849032753616431
"22","22","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-0.821057124561962,0.359364240891866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0713763698514835,0.370639587291115,-0.447800860642373,0.382192762972301,NA,NA,NA,NA,-0.00277033372072622,0.601125701899772,NA,NA,NA,NA,NA,NA,-0.184019806378774,0.152993219728367,0.134739740656978,0.154579062300564,NA,NA,NA,NA,-1.05823055771488,0.261274806631007,NA,NA,NA,NA,NA,NA,2.58583066915283,1.95492091401699,0,435.933235919541,405.121093282449,8,60,826.242186564898,4.23847363033951,0.0224572523731698,NA,0.8714900059896
"60","60","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-0.821057124561962,0.359364240891866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0713763698514835,0.370639587291115,-0.447800860642373,0.382192762972301,NA,NA,NA,NA,-0.00277033372072622,0.601125701899772,NA,NA,NA,NA,NA,NA,-0.184019806378774,0.152993219728367,0.134739740656978,0.154579062300564,NA,NA,NA,NA,-1.05823055771488,0.261274806631007,NA,NA,NA,NA,NA,NA,2.58583066915283,1.95492091401699,0,435.933235919541,405.121093282449,8,60,826.242186564898,4.23847363033951,0.0224572523731698,NA,0.89394725836277
