"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"32","32","~1 ~ Tvar * Biotic ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-1.18892579227286,0.988442932630837,-1.29152172826703,0.556552376603661,NA,NA,NA,NA,-6.06988454419052,3.21796834098978,-0.165803610063225,0.808454345463971,NA,NA,0.150874080274976,0.406607862666644,-0.647879975118283,0.286330415856739,NA,NA,-1.31516308684694,0.578120856774945,-0.360279536241331,0.43309419676587,NA,NA,-0.275399071045626,0.161167084513441,-0.782832889815454,0.127604528411937,NA,NA,NA,NA,0.0508897195861553,0.151440657925509,0.0513789440711626,0.108420705144789,NA,NA,2.91864773649875,1.54460942785635,0,1343.81321783064,374.886423672926,13,60,775.772847345853,0,0.142854418819336,NA,0.142854418819336
"69","69","~1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-1.18892579227286,0.988442932630837,-1.29152172826703,0.556552376603661,NA,NA,NA,NA,-6.06988454419052,3.21796834098978,-0.165803610063225,0.808454345463971,NA,NA,0.150874080274976,0.406607862666644,-0.647879975118283,0.286330415856739,NA,NA,-1.31516308684694,0.578120856774945,-0.360279536241331,0.43309419676587,NA,NA,-0.275399071045626,0.161167084513441,-0.782832889815454,0.127604528411937,NA,NA,NA,NA,0.0508897195861553,0.151440657925509,0.0513789440711626,0.108420705144789,NA,NA,2.91864773649875,1.54460942785635,0,1343.81321783064,374.886423672926,13,60,775.772847345853,0,0.142854418819336,NA,0.285708837638672
"33","33","~1 ~ Tvar * Biotic ~ 1 ~ Tvar * Biotic",NA,NA,-1.28710341088157,0.860182067522074,-1.35792786120971,0.489948326499364,NA,NA,NA,NA,-5.11491274911292,2.92579208360342,-0.0673291865765793,0.712215740095577,NA,NA,NA,NA,-0.729421669122339,0.255932691552759,NA,NA,NA,NA,NA,NA,NA,NA,-0.273771087416353,0.160729465615736,-0.793656192753351,0.129194700496922,NA,NA,NA,NA,0.0348017424340454,0.151934533569037,0.0529093489840833,0.109677121796253,NA,NA,3.28915111991638,2.17133959194227,0,1126.08674978224,378.61661295323,10,60,777.23322590646,1.46037856060775,0.0688297993447518,NA,0.354538636983424
"70","70","~1 ~ Tvar^2 * Biotic ~ 1 ~ Tvar^2 * Biotic",NA,NA,-1.28710341088157,0.860182067522074,-1.35792786120971,0.489948326499364,NA,NA,NA,NA,-5.11491274911292,2.92579208360342,-0.0673291865765793,0.712215740095577,NA,NA,NA,NA,-0.729421669122339,0.255932691552759,NA,NA,NA,NA,NA,NA,NA,NA,-0.273771087416353,0.160729465615736,-0.793656192753351,0.129194700496922,NA,NA,NA,NA,0.0348017424340454,0.151934533569037,0.0529093489840833,0.109677121796253,NA,NA,3.28915111991638,2.17133959194227,0,1126.08674978224,378.61661295323,10,60,777.23322590646,1.46037856060775,0.0688297993447518,NA,0.423368436328176
"8","8","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-1.03353962319981,0.493786359092913,-0.228192394715117,0.608459097293636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644030394394199,0.268813235263893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13856513603039,0.231815830491915,0.559286943122872,0.242332861536956,NA,NA,NA,NA,NA,NA,NA,NA,3.64015151968025,4.81106404085297,0,3409.69678622743,382.88403705372,6,60,777.76807410744,1.99522676158711,0.052678778038975,NA,0.476047214367151
"48","48","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-1.03353962319981,0.493786359092913,-0.228192394715117,0.608459097293636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644030394394199,0.268813235263893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13856513603039,0.231815830491915,0.559286943122872,0.242332861536956,NA,NA,NA,NA,NA,NA,NA,NA,3.64015151968025,4.81106404085297,0,3409.69678622743,382.88403705372,6,60,777.76807410744,1.99522676158711,0.052678778038975,NA,0.528725992406126
"16","16","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,-0.356743275092844,0.49675198405625,-1.25446049153516,0.350914318489825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61743523315339,0.264684986921068,NA,NA,NA,NA,NA,NA,NA,NA,-0.282917936976231,0.155343953865772,-0.72996512034846,0.120319776939282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36037949681698,1.3167535132356,0,158.18544645595,383.453209744645,6,60,778.90641948929,3.13357214343716,0.0298158457796683,NA,0.558541838185794
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-1.20630595626653,0.327308802285628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.589138955412193,0.264646255820719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.678914697070848,0.117931630058197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15081031777369,1.2396825221208,0,133.078650801889,385.474351368631,4,60,778.948702737262,3.17585539140987,0.0291921070367889,NA,0.587733945222583
"28","28","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-1.24173203660049,0.354156698208643,NA,NA,NA,NA,NA,NA,NA,NA,1.49776452057094,1.07124856949631,-0.7653723385843,0.605500876488266,-0.452971212596117,0.430389202440008,-0.550386114109349,0.642334806648083,NA,NA,NA,NA,-0.598732508203893,0.334665988413421,-0.0455613243507297,0.215188783104659,-0.595241539786078,0.166516723444098,NA,NA,-0.392347383451283,0.25418871031265,NA,NA,NA,NA,NA,NA,2.09863533874876,1.0635282147411,0,172.112272254771,379.557873372622,10,60,779.115746745245,3.34289939939208,0.0268529681853208,NA,0.614586913407904
"65","65","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-1.24173203660049,0.354156698208643,NA,NA,NA,NA,NA,NA,NA,NA,1.49776452057094,1.07124856949631,-0.7653723385843,0.605500876488266,-0.452971212596117,0.430389202440008,-0.550386114109349,0.642334806648083,NA,NA,NA,NA,-0.598732508203893,0.334665988413421,-0.0455613243507297,0.215188783104659,-0.595241539786078,0.166516723444098,NA,NA,-0.392347383451283,0.25418871031265,NA,NA,NA,NA,NA,NA,2.09863533874876,1.0635282147411,0,172.112272254771,379.557873372622,10,60,779.115746745245,3.34289939939208,0.0268529681853208,NA,0.641439881593224
"17","17","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-1.17698281405164,0.327628784067912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0599157706726863,0.382258352802691,-0.616987663744737,0.274575783676222,NA,NA,NA,NA,NA,NA,NA,NA,-0.298113122777668,0.161983874883537,-0.73699513743766,0.122120703835578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33183744215494,1.31214386569448,0,157.748586574176,383.70460680473,6,60,779.40921360946,3.63636626360744,0.0231881861122532,NA,0.664628067705477
"31","31","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-1.2852429878947,0.351502312213452,NA,NA,NA,NA,NA,NA,NA,NA,1.57004064171775,1.08753645222517,-0.799643590172296,0.625572972626109,-0.493370351464753,0.448598376801591,-0.55570629102486,0.654779239194703,NA,NA,NA,NA,-0.596507085665038,0.335386838869522,-0.0315028094797246,0.216159864699609,-0.563426123632521,0.167745136112979,NA,NA,-0.42488969382229,0.257845098820596,NA,NA,NA,NA,-4.18952213406487,3.19117456466814,-1.06619099655807,1.97988021403114,0,1696.25585594958,378.962257592625,11,60,779.924515185251,4.15166783939821,0.0179213392875266,NA,0.682549406993004
"68","68","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-1.2852429878947,0.351502312213452,NA,NA,NA,NA,NA,NA,NA,NA,1.57004064171775,1.08753645222517,-0.799643590172296,0.625572972626109,-0.493370351464753,0.448598376801591,-0.55570629102486,0.654779239194703,NA,NA,NA,NA,-0.596507085665038,0.335386838869522,-0.0315028094797246,0.216159864699609,-0.563426123632521,0.167745136112979,NA,NA,-0.42488969382229,0.257845098820596,NA,NA,NA,NA,-4.18952213406487,3.19117456466814,-1.06619099655807,1.97988021403114,0,1696.25585594958,378.962257592625,11,60,779.924515185251,4.15166783939821,0.0179213392875266,NA,0.700470746280531
