"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"6","6","~1 ~ Biotic ~ 1 ~ Biotic",-3.13282789318093,2.90033029955384,-6.12031176442239,4.33403534298305,NA,NA,NA,NA,NA,NA,-2.19401457429722,0.99471276504819,NA,NA,NA,NA,NA,NA,NA,NA,-0.38556967009286,0.366411894466939,-3.28219654007364,0.444291489940939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177625820509093,0.944575011613458,0,510.706029300181,80.5638703252483,6,60,173.127740650497,0,0.214516081398621,NA,0.214516081398621
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-3.142836600427,1.83453152373599,NA,NA,NA,NA,NA,NA,-2.22153605985837,1.49440131124131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.13180915824751,0.492064056382588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117664490864393,1.06858470815401,0,64.1642252766393,82.6918939350472,4,60,173.383787870094,0.256047219597889,0.18873824297487,NA,0.403254324373491
"5","5","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,-3.42880217717722,1.10546197073947,NA,NA,NA,NA,NA,NA,-2.73875075177375,1.30214919225941,NA,NA,NA,NA,NA,NA,1.32717614994635,0.843806558283588,NA,NA,-2.99308897077827,0.404447683561785,NA,NA,NA,NA,NA,NA,0.113151488438506,0.271243625875753,-11.0470546267007,11.6461296368237,-8.93396884223236,9.17505615371391,0,4048.41620687784,80.3564541695982,7,60,174.712908339196,1.58516768869973,0.0971057764047631,NA,0.500360100778254
"15","15","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-3.42880217717722,1.10546197073947,NA,NA,NA,NA,NA,NA,-2.73875075177375,1.30214919225941,NA,NA,NA,NA,NA,NA,1.32717614994635,0.843806558283588,NA,NA,-2.99308897077827,0.404447683561785,NA,NA,NA,NA,NA,NA,0.113151488438506,0.271243625875753,-11.0470546267007,11.6461296368237,-8.93396884223236,9.17505615371391,0,4048.41620687784,80.3564541695982,7,60,174.712908339196,1.58516768869973,0.0971057764047631,NA,0.597465877183017
"4","4","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-3.08599943393581,1.0320639867191,NA,NA,NA,NA,NA,NA,-2.68245945452808,1.45554970830855,NA,NA,NA,NA,NA,NA,1.19809521093676,0.855705486671913,NA,NA,-3.03936349086027,0.417002244151041,NA,NA,NA,NA,NA,NA,0.164947924720495,0.261537535164516,NA,NA,-0.158287019246328,0.892679183570897,0,48.8787349346836,81.794066972665,6,60,175.58813394533,2.46039329483335,0.0626891295184462,NA,0.660155006701464
"14","14","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-3.08599943393581,1.0320639867191,NA,NA,NA,NA,NA,NA,-2.68245945452808,1.45554970830855,NA,NA,NA,NA,NA,NA,1.19809521093676,0.855705486671913,NA,NA,-3.03936349086027,0.417002244151041,NA,NA,NA,NA,NA,NA,0.164947924720495,0.261537535164516,NA,NA,-0.158287019246328,0.892679183570897,0,48.8787349346836,81.794066972665,6,60,175.58813394533,2.46039329483335,0.0626891295184462,NA,0.72284413621991
"7","7","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,-1.56137038830201,1.04363632953623,NA,NA,NA,NA,2.4636799519726,2.73617753614006,0.466287202746486,1.57506277864026,NA,NA,NA,NA,NA,NA,NA,NA,-0.0167005213780308,0.471797569506347,-3.01408977266439,0.621538705342346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482662653468111,1.97523829321699,0,219.778267037675,81.9970998997694,6,60,175.994199799539,2.86645914904219,0.0511700874892664,NA,0.774014223709176
"2","2","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-4.02424086381417,2.72233641400417,1.02016364432918,1.96288978281348,NA,NA,NA,NA,-2.33256766502841,1.40660447896716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88500022207795,0.601609080954849,NA,NA,-0.378305859848784,0.591445770754825,NA,NA,NA,NA,NA,NA,-0.0546579357264135,0.99134732095564,0,196.384752523476,82.3911303776057,6,60,176.782260755211,3.65452010471472,0.0345057043813304,NA,0.808519928090507
"12","12","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-4.02424086381417,2.72233641400417,1.02016364432918,1.96288978281348,NA,NA,NA,NA,-2.33256766502841,1.40660447896716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88500022207795,0.601609080954849,NA,NA,-0.378305859848784,0.591445770754825,NA,NA,NA,NA,NA,NA,-0.0546579357264135,0.99134732095564,0,196.384752523476,82.3911303776057,6,60,176.782260755211,3.65452010471472,0.0345057043813304,NA,0.843025632471837
"3","3","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-2.73870124064785,1.4406006103634,NA,NA,-0.679510443305079,1.9221064575718,NA,NA,-1.82850834164637,1.32920871811326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06847117795707,0.489472417674889,NA,NA,NA,NA,NA,NA,0.169025709662083,0.27436769117501,NA,NA,-0.131407162267236,1.03979604635167,0,68.7176535230206,82.5265702112453,6,60,177.053140422491,3.92539977199402,0.0301349256926411,NA,0.873160558164478
