"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"28","28","~1 ~ Tmax * Biotic ~ 1 ~ Tmax * Biotic",NA,NA,7.85647326005107,3.59653327883076,-3.66290967798202,1.10279031385559,-20.3268651101569,6.77942102908815,-2.20208235811935,2.66178590574509,NA,NA,NA,NA,NA,NA,NA,NA,-1.61828292361572,0.889581492346673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300103382740905,0.571171218959374,-2.39593638743421,0.430913847986484,-0.879463969891481,0.58975470037481,0.915850765023645,0.452214446052453,NA,NA,NA,NA,NA,NA,-2.96397633155272,1.03901778620698,0,2576.257301051,106.20512346162,10,60,232.410246923239,0,0.791847888185194,NA,0.791847888185194
"23","23","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",-13.4379854897735,4.11309001559859,3.55249205225414,1.5240847593821,-2.69748708468896,0.666297205697842,NA,NA,NA,NA,-3.23737061871776,1.9169743480109,NA,NA,NA,NA,NA,NA,-0.539624215808178,0.621221318535139,NA,NA,NA,NA,NA,NA,NA,NA,1.12112459703517,0.999835416266148,-1.66398916246518,0.759003884971822,-0.962421825646072,0.537431772695198,NA,NA,NA,NA,-0.59466588804735,0.680462749023024,NA,NA,NA,NA,-3.03384980054574,1.03746667416479,0,695.27208405899,108.409992579095,10,60,236.81998515819,4.40973823495077,0.0873130726412301,NA,0.879160960826424
"49","49","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",-13.4379854897735,4.11309001559859,3.55249205225414,1.5240847593821,-2.69748708468896,0.666297205697842,NA,NA,NA,NA,-3.23737061871776,1.9169743480109,NA,NA,NA,NA,NA,NA,-0.539624215808178,0.621221318535139,NA,NA,NA,NA,NA,NA,NA,NA,1.12112459703517,0.999835416266148,-1.66398916246518,0.759003884971822,-0.962421825646072,0.537431772695198,NA,NA,NA,NA,-0.59466588804735,0.680462749023024,NA,NA,NA,NA,-3.03384980054574,1.03746667416479,0,695.27208405899,108.409992579095,10,60,236.81998515819,4.40973823495077,0.0873130726412301,NA,0.966474033467654
"22","22","~1 ~ Biotic * Tmin ~ Biotic * Tmin ~ Biotic * Tmin",-12.7469876053095,3.88306066750023,2.91789125666605,1.43178525506807,-2.45957736905511,0.617435680401388,NA,NA,NA,NA,-3.39875925839183,1.83984005183308,NA,NA,2.36976055782428,2.39597031239233,-2.2195619708796,1.83698729498155,0.00316148823881662,1.23410601160717,NA,NA,NA,NA,-0.981594967533717,1.67229648365846,NA,NA,1.47868981381519,0.973314649898367,-1.98692476922198,0.746654145818367,-0.852001885369425,0.531548024056665,NA,NA,NA,NA,-0.714059760435039,0.682348191896729,NA,NA,NA,NA,-3.01634071680055,1.03832817386747,0,639.42675422703,107.143229785693,13,60,240.286459571386,7.87621264814646,0.0154292180667281,NA,0.981903251534382
"48","48","~1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",-12.7469876053095,3.88306066750023,2.91789125666605,1.43178525506807,-2.45957736905511,0.617435680401388,NA,NA,NA,NA,-3.39875925839183,1.83984005183308,NA,NA,2.36976055782428,2.39597031239233,-2.2195619708796,1.83698729498155,0.00316148823881662,1.23410601160717,NA,NA,NA,NA,-0.981594967533717,1.67229648365846,NA,NA,1.47868981381519,0.973314649898367,-1.98692476922198,0.746654145818367,-0.852001885369425,0.531548024056665,NA,NA,NA,NA,-0.714059760435039,0.682348191896729,NA,NA,NA,NA,-3.01634071680055,1.03832817386747,0,639.42675422703,107.143229785693,13,60,240.286459571386,7.87621264814646,0.0154292180667281,NA,0.99733246960111
"13","13","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-2.5325216546527,0.387860984864915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93750691585816,2.33284027681997,NA,NA,NA,NA,NA,NA,-2.85548537976724,2.69571863471896,NA,NA,NA,NA,-1.79748022440913,0.269818886301243,NA,NA,NA,NA,NA,NA,0.750788767688573,0.190468242878199,NA,NA,-2.87698882474132,1.03072845583047,0,573.195385441039,117.411353147894,6,60,246.822706295787,14.4124593725483,0.000587510962667742,NA,0.997919980563778
"42","42","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-2.5325216546527,0.387860984864915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93750691585816,2.33284027681997,NA,NA,NA,NA,NA,NA,-2.85548537976724,2.69571863471896,NA,NA,NA,NA,-1.79748022440913,0.269818886301243,NA,NA,NA,NA,NA,NA,0.750788767688573,0.190468242878199,NA,NA,-2.87698882474132,1.03072845583047,0,573.195385441039,117.411353147894,6,60,246.822706295787,14.4124593725483,0.000587510962667742,NA,0.998507491526446
"11","11","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,NA,NA,-2.51106275424847,0.398997527317912,NA,NA,NA,NA,NA,NA,-0.118114392768881,0.630411808110299,NA,NA,NA,NA,-2.8825896570781,2.31062736624422,NA,NA,NA,NA,NA,NA,-2.84431370331685,2.67675374445095,NA,NA,NA,NA,-1.79082625524424,0.271564694974742,NA,NA,NA,NA,NA,NA,0.74833114948484,0.19077747705602,NA,NA,-2.86672403010943,1.03177152005369,0,563.006213436347,117.393086415123,7,60,248.786172830245,16.3759259070063,0.000220117531650599,NA,0.998727609058096
"40","40","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-2.51106275424847,0.398997527317912,NA,NA,NA,NA,NA,NA,-0.118114392768881,0.630411808110299,NA,NA,NA,NA,-2.8825896570781,2.31062736624422,NA,NA,NA,NA,NA,NA,-2.84431370331685,2.67675374445095,NA,NA,NA,NA,-1.79082625524424,0.271564694974742,NA,NA,NA,NA,NA,NA,0.74833114948484,0.19077747705602,NA,NA,-2.86672403010943,1.03177152005369,0,563.006213436347,117.393086415123,7,60,248.786172830245,16.3759259070063,0.000220117531650599,NA,0.998947726589747
"12","12","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-2.5034290678023,0.420840632145761,NA,NA,NA,NA,NA,NA,-0.0357891008114593,0.623997320807794,NA,NA,NA,NA,-2.09966701252799,1.53265926998192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86398599759192,0.328085430389838,NA,NA,NA,NA,NA,NA,0.792241021883852,0.200206055583769,NA,NA,-2.914590442427,1.03297085520827,0,113.31008710456,118.60853000928,6,60,249.21706001856,16.8068130953208,0.000177455175444729,NA,0.999125181765191
