"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"5","5","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-4.43285474372961,2.59240413836026,NA,NA,-5.35026399459616,3.54231456585307,NA,NA,-4.929987879269,2.09389248143719,NA,NA,NA,NA,NA,NA,-0.111523830333842,0.0821435407759239,NA,NA,0.607314946979256,0.0872825370505575,NA,NA,0.700022606525732,0.423411083418251,0,4005.17469238519,585.608016656025,6,60,1183.21603331205,0,0.319309835204365,NA,0.319309835204365
"17","17","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-4.43285474372961,2.59240413836026,NA,NA,-5.35026399459616,3.54231456585307,NA,NA,-4.929987879269,2.09389248143719,NA,NA,NA,NA,NA,NA,-0.111523830333842,0.0821435407759239,NA,NA,0.607314946979256,0.0872825370505575,NA,NA,0.700022606525732,0.423411083418251,0,4005.17469238519,585.608016656025,6,60,1183.21603331205,0,0.319309835204365,NA,0.638619670408729
"4","4","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,-4.49600749763828,2.599285032259,NA,NA,-5.44034690747336,3.54109587976033,NA,NA,-5.06313969393722,2.17152346184997,NA,NA,-1.47182341023065,2.71223152104194,NA,NA,-0.107765739714318,0.0789526105221022,NA,NA,0.603610206479111,0.0842180165621866,NA,NA,0.701452245945674,0.423661925897313,0,4043.00610254009,585.381497616405,7,60,1184.76299523281,1.54696192076017,0.147330879937076,NA,0.785950550345805
"16","16","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,-4.49600749763828,2.599285032259,NA,NA,-5.44034690747336,3.54109587976033,NA,NA,-5.06313969393722,2.17152346184997,NA,NA,-1.47182341023065,2.71223152104194,NA,NA,-0.107765739714318,0.0789526105221022,NA,NA,0.603610206479111,0.0842180165621866,NA,NA,0.701452245945674,0.423661925897313,0,4043.00610254009,585.381497616405,7,60,1184.76299523281,1.54696192076017,0.147330879937076,NA,0.93328143028288
"6","6","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-1.97771245834157,0.789271786571885,NA,NA,NA,NA,NA,NA,-5.29879737961459,2.17134118479779,NA,NA,-1.2044792573015,2.50191573823965,NA,NA,-0.119287377291615,0.0792928027236524,NA,NA,0.621760983946225,0.0843656785981306,NA,NA,0.815267717407283,0.454560272024666,0,1861.68202603504,587.956588773778,6,60,1187.91317754756,4.69714423550749,0.0304958248441254,NA,0.963777255127006
"18","18","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-1.97771245834157,0.789271786571885,NA,NA,NA,NA,NA,NA,-5.29879737961459,2.17134118479779,NA,NA,-1.2044792573015,2.50191573823965,NA,NA,-0.119287377291615,0.0792928027236524,NA,NA,0.621760983946225,0.0843656785981306,NA,NA,0.815267717407283,0.454560272024666,0,1861.68202603504,587.956588773778,6,60,1187.91317754756,4.69714423550749,0.0304958248441254,NA,0.994273079971131
"2","2","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,-4.79304974333624,2.75903982227101,4.4707772631852,3.26496929590266,NA,NA,NA,NA,-3.81767484064231,1.34576292916459,NA,NA,NA,NA,NA,NA,0.77146437336597,0.132714261933615,-1.1598016588749,0.179473359822142,NA,NA,NA,NA,0.496885010260635,0.381679921000966,0,4450.09233440644,590.351330467686,6,60,1192.70266093537,9.48662762332265,0.00278110433041295,NA,0.997054184301544
"14","14","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,-4.79304974333624,2.75903982227101,4.4707772631852,3.26496929590266,NA,NA,NA,NA,-3.81767484064231,1.34576292916459,NA,NA,NA,NA,NA,NA,0.77146437336597,0.132714261933615,-1.1598016588749,0.179473359822142,NA,NA,NA,NA,0.496885010260635,0.381679921000966,0,4450.09233440644,590.351330467686,6,60,1192.70266093537,9.48662762332265,0.00278110433041295,NA,0.999835288631957
"3","3","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-2.04466808568388,0.694859803933167,NA,NA,NA,NA,NA,NA,-3.226792080433,1.10345615146205,-1.86117185470067,2.8881357537334,NA,NA,NA,NA,0.811134944952002,0.131287193567612,-1.23794904792655,0.183306512810039,NA,NA,NA,NA,0.640827574859831,0.424097948373054,0,2200.09171343861,594.154038817806,6,60,1200.30807763561,17.092044323563,6.20471772353644e-05,NA,0.999897335809192
"15","15","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-2.04466808568388,0.694859803933167,NA,NA,NA,NA,NA,NA,-3.226792080433,1.10345615146205,-1.86117185470067,2.8881357537334,NA,NA,NA,NA,0.811134944952002,0.131287193567612,-1.23794904792655,0.183306512810039,NA,NA,NA,NA,0.640827574859831,0.424097948373054,0,2200.09171343861,594.154038817806,6,60,1200.30807763561,17.092044323563,6.20471772353644e-05,NA,0.999959382986428
