"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"12","12","~Elevation ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",27.4157129835414,9.17125845242755,-5.83239230443818,2.82921439300609,-4.23684130611895,1.09112070370415,NA,NA,-1.15800055879993,2.25886471256816,NA,NA,NA,NA,-0.033231028472849,0.522585772064147,NA,NA,NA,NA,1.25732756629171,1.8884006670422,-0.857973020194157,1.36559366323696,1.0169220988145,1.37107880610391,NA,NA,-3.28554510795193,1.8076182387872,3.67394290227837,2.96678442241173,0.112391791601321,1.80267109101433,0,1444.54859003197,54.5664105735714,11,60,131.132821147143,0,0.204427629488508,NA,0.204427629488508
"24","24","~Elevation^2 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",27.4157129835414,9.17125845242755,-5.83239230443818,2.82921439300609,-4.23684130611895,1.09112070370415,NA,NA,-1.15800055879993,2.25886471256816,NA,NA,NA,NA,-0.033231028472849,0.522585772064147,NA,NA,NA,NA,1.25732756629171,1.8884006670422,-0.857973020194157,1.36559366323696,1.0169220988145,1.37107880610391,NA,NA,-3.28554510795193,1.8076182387872,3.67394290227837,2.96678442241173,0.112391791601321,1.80267109101433,0,1444.54859003197,54.5664105735714,11,60,131.132821147143,0,0.204427629488508,NA,0.408855258977015
"9","9","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",27.5723901406963,9.09787814867652,-5.86162724976972,2.80752575485514,-4.26125490249188,1.09496242759999,NA,NA,-1.1477208096223,2.25661774891089,NA,NA,NA,NA,-0.0909338923749465,0.522054263913935,NA,NA,NA,NA,1.23361588073375,1.92711022375488,-0.838738883490829,1.39686903616365,1.14902116548978,1.42250042799671,NA,NA,-3.47241140555895,1.8651191175303,NA,NA,-2.0760233214915,0.631790163046084,0,1393.1791590351,55.6252055340837,10,60,131.250411068167,0.11758992102466,0.192754828421277,NA,0.601610087398292
"21","21","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",27.5723901406963,9.09787814867652,-5.86162724976972,2.80752575485514,-4.26125490249188,1.09496242759999,NA,NA,-1.1477208096223,2.25661774891089,NA,NA,NA,NA,-0.0909338923749465,0.522054263913935,NA,NA,NA,NA,1.23361588073375,1.92711022375488,-0.838738883490829,1.39686903616365,1.14902116548978,1.42250042799671,NA,NA,-3.47241140555895,1.8651191175303,NA,NA,-2.0760233214915,0.631790163046084,0,1393.1791590351,55.6252055340837,10,60,131.250411068167,0.11758992102466,0.192754828421277,NA,0.794364915819569
"8","8","~1 ~ Biotic * Tmin ~ Biotic * Tmin ~ Biotic * Tmin",24.8703878392013,8.07315283205336,-5.38571654763967,2.584778494551,-4.13092655306522,1.00954515545848,NA,NA,-1.37460836026759,2.27292679269967,4.51925921393287,2.84302002170583,-1.33401590278565,1.22208171777994,0.10162241720869,0.831891895481582,NA,NA,0.472850725401125,1.56553871201486,1.44322879616669,2.06897622950699,-1.03716332929349,1.52534353533654,1.84513043832294,1.49373075957523,NA,NA,-4.2872560092231,1.97467441037909,NA,NA,-2.13204108368013,0.628834040950452,0,1096.03543405939,53.8585699520271,13,60,133.717139904054,2.5843187569113,0.0561515701543502,NA,0.850516485973919
"20","20","~1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",24.8703878392013,8.07315283205336,-5.38571654763967,2.584778494551,-4.13092655306522,1.00954515545848,NA,NA,-1.37460836026759,2.27292679269967,4.51925921393287,2.84302002170583,-1.33401590278565,1.22208171777994,0.10162241720869,0.831891895481582,NA,NA,0.472850725401125,1.56553871201486,1.44322879616669,2.06897622950699,-1.03716332929349,1.52534353533654,1.84513043832294,1.49373075957523,NA,NA,-4.2872560092231,1.97467441037909,NA,NA,-2.13204108368013,0.628834040950452,0,1096.03543405939,53.8585699520271,13,60,133.717139904054,2.5843187569113,0.0561515701543502,NA,0.90666805612827
"11","11","~Elevation ~ Biotic * Tmin ~ Biotic * Tmin ~ Biotic * Tmin",24.9621923588422,8.21176405917699,-5.4170700012366,2.61390233684815,-4.13046743458797,1.0170677120518,NA,NA,-1.34956939027339,2.28562978584388,4.02124798991241,2.68898461084563,-1.21052837007576,1.14825377592311,0.179561376449623,0.81119001612589,NA,NA,0.376435696946955,1.54543253543682,1.40429082573236,2.0272973197149,-1.01083746851171,1.48967926987996,1.71347717808824,1.46415140302928,NA,NA,-4.1012309548896,1.94325074338812,2.79110105221346,2.47805629164553,-0.52484119198523,1.48253490077845,0,1144.71112403786,53.1195987561827,14,60,134.239197512365,3.10637636522264,0.0432512372630099,NA,0.949919293391279
"23","23","~Elevation^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",24.9621923588422,8.21176405917699,-5.4170700012366,2.61390233684815,-4.13046743458797,1.0170677120518,NA,NA,-1.34956939027339,2.28562978584388,4.02124798991241,2.68898461084563,-1.21052837007576,1.14825377592311,0.179561376449623,0.81119001612589,NA,NA,0.376435696946955,1.54543253543682,1.40429082573236,2.0272973197149,-1.01083746851171,1.48967926987996,1.71347717808824,1.46415140302928,NA,NA,-4.1012309548896,1.94325074338812,2.79110105221346,2.47805629164553,-0.52484119198523,1.48253490077845,0,1144.71112403786,53.1195987561827,14,60,134.239197512365,3.10637636522264,0.0432512372630099,NA,0.993170530654289
"4","4","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-3.86940452659645,1.41848944142022,NA,NA,-2.27381954179386,4.17904871875826,NA,NA,NA,NA,-2.42291716980447,1.75975117605662,NA,NA,NA,NA,NA,NA,NA,NA,-1.95791939436664,0.552992404172436,NA,NA,-0.538318913756525,0.630526080778499,28.5608447326638,14.6584892953372,21.4110307625914,11.3121127339862,0,4967.99316608682,62.6677823569776,7,60,139.335564713955,8.20274356681242,0.00338326845038958,NA,0.996553799104679
"16","16","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-3.86940452659645,1.41848944142022,NA,NA,-2.27381954179386,4.17904871875826,NA,NA,NA,NA,-2.42291716980447,1.75975117605662,NA,NA,NA,NA,NA,NA,NA,NA,-1.95791939436664,0.552992404172436,NA,NA,-0.538318913756525,0.630526080778499,28.5608447326638,14.6584892953372,21.4110307625914,11.3121127339862,0,4967.99316608682,62.6677823569776,7,60,139.335564713955,8.20274356681242,0.00338326845038958,NA,0.999937067555069
"6","6","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,-5.32215802736199,5.19202824190654,NA,NA,NA,NA,NA,NA,NA,NA,-6.00241053998238,3.90942788892585,4.47370022456213,3.18894803541169,NA,NA,NA,NA,NA,NA,-2.49761977155791,0.545476735717966,0.69694356258443,0.55960155977626,NA,NA,NA,NA,-0.385102025216948,0.644398539550085,0,446.528129746824,69.6535702260825,6,60,151.307140452165,20.1743193050221,8.50632197909222e-06,NA,0.999945573877048
"18","18","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-5.32215802736199,5.19202824190654,NA,NA,NA,NA,NA,NA,NA,NA,-6.00241053998238,3.90942788892585,4.47370022456213,3.18894803541169,NA,NA,NA,NA,NA,NA,-2.49761977155791,0.545476735717966,0.69694356258443,0.55960155977626,NA,NA,NA,NA,-0.385102025216948,0.644398539550085,0,446.528129746824,69.6535702260825,6,60,151.307140452165,20.1743193050221,8.50632197909222e-06,NA,0.999954080199027
"2","2","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-2.80215847998262,0.592286149027887,NA,NA,-1.20650156044123,1.90912889343837,NA,NA,NA,NA,-0.342968939769566,0.528115974464703,NA,NA,NA,NA,NA,NA,NA,NA,1.0198911108799,1.13812127845648,NA,NA,-3.36902675407044,1.47545717638164,NA,NA,-1.11772810927123,0.569195689967252,0,45.6853605744825,69.6939914172767,6,60,151.387982834553,20.2551616874107,8.16934274358371e-06,NA,0.99996224954177
"14","14","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-2.80215847998262,0.592286149027887,NA,NA,-1.20650156044123,1.90912889343837,NA,NA,NA,NA,-0.342968939769566,0.528115974464703,NA,NA,NA,NA,NA,NA,NA,NA,1.0198911108799,1.13812127845648,NA,NA,-3.36902675407044,1.47545717638164,NA,NA,-1.11772810927123,0.569195689967252,0,45.6853605744825,69.6939914172767,6,60,151.387982834553,20.2551616874107,8.16934274358371e-06,NA,0.999970418884514
"3","3","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-3.0665185199545,0.53277145676316,NA,NA,NA,NA,NA,NA,NA,NA,-0.21916163731415,0.805768289160897,NA,NA,0.0247116135741854,1.31115497591428,NA,NA,NA,NA,1.23788623982497,1.11933170616299,NA,NA,-3.62788300393108,1.44579480498438,NA,NA,-1.2830008506477,0.618304221876403,0,33.4836608980285,69.9130818376078,6,60,151.826163675216,20.6933425280728,6.56201708237864e-06,NA,0.999976980901596
"15","15","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-3.0665185199545,0.53277145676316,NA,NA,NA,NA,NA,NA,NA,NA,-0.21916163731415,0.805768289160897,NA,NA,0.0247116135741854,1.31115497591428,NA,NA,NA,NA,1.23788623982497,1.11933170616299,NA,NA,-3.62788300393108,1.44579480498438,NA,NA,-1.2830008506477,0.618304221876403,0,33.4836608980285,69.9130818376078,6,60,151.826163675216,20.6933425280728,6.56201708237864e-06,NA,0.999983542918679
"1","1","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-2.73200014940484,0.600900595015204,NA,NA,-1.58149467388689,2.10593069329104,NA,NA,NA,NA,-0.0709444900279939,0.830008289764142,NA,NA,-0.571531462373336,1.40476754662153,NA,NA,NA,NA,1.05735775657893,1.11233004772662,NA,NA,-3.38426320021517,1.44778216220086,NA,NA,-1.12500619671249,0.540101736650821,0,53.2388668248369,69.6077077188902,7,60,153.21541543778,22.0825942906375,3.27616049677607e-06,NA,0.999986819079175
"13","13","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-2.73200014940484,0.600900595015204,NA,NA,-1.58149467388689,2.10593069329104,NA,NA,NA,NA,-0.0709444900279939,0.830008289764142,NA,NA,-0.571531462373336,1.40476754662153,NA,NA,NA,NA,1.05735775657893,1.11233004772662,NA,NA,-3.38426320021517,1.44778216220086,NA,NA,-1.12500619671249,0.540101736650821,0,53.2388668248369,69.6077077188902,7,60,153.21541543778,22.0825942906375,3.27616049677607e-06,NA,0.999990095239672
"5","5","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-3.9637995189073,4.93067880936231,-2.4530974755177,3.0643829138492,NA,NA,NA,NA,NA,NA,-2.88846780460209,3.87492060464938,NA,NA,NA,NA,NA,NA,NA,NA,-2.59699434162694,0.683925014893491,0.829034802448258,0.552347552231422,NA,NA,NA,NA,-0.484730668720618,0.596734077646204,0,540.262027175347,70.851770428865,6,60,153.70354085773,22.5707197105872,2.5666702762092e-06,NA,0.999992661909948
