"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"27","27","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-0.57212451282551,1.08413302759177,0.140402516815514,0.868774285118852,NA,NA,NA,NA,0.119352652172105,0.761691674933493,NA,NA,NA,NA,NA,NA,NA,NA,-1.94514836894566,0.445540874137134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270030914010023,0.129856003883424,-0.404129672097795,0.0977879024632743,NA,NA,NA,NA,-0.59151485972789,0.11335756041174,NA,NA,NA,NA,NA,NA,1.65907201978281,0.725982384477874,0,211.743875519443,475.300268209005,8,61,966.600536418011,0,0.0757995118694949,NA,0.0757995118694949
"82","82","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-0.57212451282551,1.08413302759177,0.140402516815514,0.868774285118852,NA,NA,NA,NA,0.119352652172105,0.761691674933493,NA,NA,NA,NA,NA,NA,NA,NA,-1.94514836894566,0.445540874137134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270030914010023,0.129856003883424,-0.404129672097795,0.0977879024632743,NA,NA,NA,NA,-0.59151485972789,0.11335756041174,NA,NA,NA,NA,NA,NA,1.65907201978281,0.725982384477874,0,211.743875519443,475.300268209005,8,61,966.600536418011,0,0.0757995118694949,NA,0.15159902373899
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,0.383578497068753,0.726634789510581,NA,NA,NA,NA,0.996161518517385,1.04865078661639,NA,NA,NA,NA,NA,NA,NA,NA,-1.80053990585731,0.379707660446585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.479041202028118,0.091014744449758,NA,NA,NA,NA,-0.631197796830789,0.110414436402306,NA,NA,NA,NA,NA,NA,1.49460235869957,0.652993569230504,0,174.351139578139,477.411184784644,6,61,966.822369569287,0.221833151276769,0.0678415797263272,NA,0.219440603465317
"61","61","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,0.383578497068753,0.726634789510581,NA,NA,NA,NA,0.996161518517385,1.04865078661639,NA,NA,NA,NA,NA,NA,NA,NA,-1.80053990585731,0.379707660446585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.479041202028118,0.091014744449758,NA,NA,NA,NA,-0.631197796830789,0.110414436402306,NA,NA,NA,NA,NA,NA,1.49460235869957,0.652993569230504,0,174.351139578139,477.411184784644,6,61,966.822369569287,0.221833151276769,0.0678415797263272,NA,0.287282183191644
"28","28","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-0.0861153460717833,0.6201661055241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.121089511210028,0.646293307867011,-1.94417561942301,0.432093339734509,NA,NA,NA,NA,0.206348567037686,0.550855367969,NA,NA,NA,NA,NA,NA,-0.268332132510679,0.133963492111692,-0.402280626777512,0.0986662955477204,NA,NA,NA,NA,-0.58881334974209,0.114990442095611,NA,NA,NA,NA,NA,NA,1.62307924118265,0.682218985803931,0,89.4110574751307,475.421422750255,8,61,966.842845500511,0.242309082500356,0.067150563303013,NA,0.354432746494657
"83","83","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-0.0861153460717833,0.6201661055241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.121089511210028,0.646293307867011,-1.94417561942301,0.432093339734509,NA,NA,NA,NA,0.206348567037686,0.550855367969,NA,NA,NA,NA,NA,NA,-0.268332132510679,0.133963492111692,-0.402280626777512,0.0986662955477204,NA,NA,NA,NA,-0.58881334974209,0.114990442095611,NA,NA,NA,NA,NA,NA,1.62307924118265,0.682218985803931,0,89.4110574751307,475.421422750255,8,61,966.842845500511,0.242309082500356,0.067150563303013,NA,0.42158330979767
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.106293201623892,0.614343088245457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95440453037979,0.408832787123472,NA,NA,NA,NA,0.129444787833711,0.508141467059794,NA,NA,NA,NA,NA,NA,NA,NA,-0.480395859626404,0.0915788575962343,NA,NA,NA,NA,-0.634662579981423,0.111704281518615,NA,NA,NA,NA,NA,NA,1.58507220197046,0.676453531095636,0,69.318553124826,477.501519310329,6,61,967.003038620659,0.402502202648179,0.0619817973981802,NA,0.48356510719585
"62","62","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.106293201623892,0.614343088245457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95440453037979,0.408832787123472,NA,NA,NA,NA,0.129444787833711,0.508141467059794,NA,NA,NA,NA,NA,NA,NA,NA,-0.480395859626404,0.0915788575962343,NA,NA,NA,NA,-0.634662579981423,0.111704281518615,NA,NA,NA,NA,NA,NA,1.58507220197046,0.676453531095636,0,69.318553124826,477.501519310329,6,61,967.003038620659,0.402502202648179,0.0619817973981802,NA,0.545546904594031
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,0.427984876903415,0.674160968501593,NA,NA,NA,NA,1.1176708659538,0.943432633932203,NA,NA,NA,NA,NA,NA,NA,NA,-1.86546817153043,0.403851445731882,NA,NA,NA,NA,0.409611671214433,0.364885032899454,NA,NA,NA,NA,NA,NA,NA,NA,-0.473004997443632,0.0911300958320133,NA,NA,NA,NA,-0.619068871876514,0.111442451510502,NA,NA,NA,NA,NA,NA,1.4875165148155,0.651629617748066,0,135.977265394917,476.856451820385,7,61,967.71290364077,1.11236722275942,0.0434629235092462,NA,0.589009828103277
"60","60","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.427984876903415,0.674160968501593,NA,NA,NA,NA,1.1176708659538,0.943432633932203,NA,NA,NA,NA,NA,NA,NA,NA,-1.86546817153043,0.403851445731882,NA,NA,NA,NA,0.409611671214433,0.364885032899454,NA,NA,NA,NA,NA,NA,NA,NA,-0.473004997443632,0.0911300958320133,NA,NA,NA,NA,-0.619068871876514,0.111442451510502,NA,NA,NA,NA,NA,NA,1.4875165148155,0.651629617748066,0,135.977265394917,476.856451820385,7,61,967.71290364077,1.11236722275942,0.0434629235092462,NA,0.632472751612523
"30","30","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-0.819091666266993,1.50418670074392,-0.040913654397217,0.806426224488497,NA,NA,NA,NA,-0.0515532920252674,0.593337232420416,NA,NA,NA,NA,NA,NA,NA,NA,-2.05504145450023,0.496607310103038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279752008367626,0.131651726415914,-0.415447823296681,0.102424512174554,NA,NA,NA,NA,-0.596745862749391,0.112822117313394,NA,NA,NA,NA,-0.591512006035993,1.32973423432965,1.6112623763059,0.75990891203673,0,485.24887133323,475.192058182094,9,61,968.384116364188,1.78357994617761,0.0310718380442542,NA,0.663544589656777
"85","85","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-0.819091666266993,1.50418670074392,-0.040913654397217,0.806426224488497,NA,NA,NA,NA,-0.0515532920252674,0.593337232420416,NA,NA,NA,NA,NA,NA,NA,NA,-2.05504145450023,0.496607310103038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279752008367626,0.131651726415914,-0.415447823296681,0.102424512174554,NA,NA,NA,NA,-0.596745862749391,0.112822117313394,NA,NA,NA,NA,-0.591512006035993,1.32973423432965,1.6112623763059,0.75990891203673,0,485.24887133323,475.192058182094,9,61,968.384116364188,1.78357994617761,0.0310718380442542,NA,0.694616427701031
"26","26","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-1.03159769558452,1.26655323924634,0.793811032819497,0.917782136876603,NA,NA,NA,NA,1.0448547526172,0.961962505795379,NA,NA,NA,NA,NA,NA,-0.401072477069798,0.600582658758607,-1.87799396824052,0.419628585120917,NA,NA,NA,NA,0.535855159502969,0.381680004522062,NA,NA,NA,NA,NA,NA,-0.294272477676687,0.130702728309849,-0.397920640406176,0.0966747571455187,NA,NA,NA,NA,-0.570909514394591,0.112292688445184,NA,NA,NA,NA,NA,NA,1.63260080430679,0.71296015437658,0,303.676241461471,474.244949250888,10,61,968.489898501777,1.88936208376606,0.0294711203020819,NA,0.724087548003113
"81","81","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-1.03159769558452,1.26655323924634,0.793811032819497,0.917782136876603,NA,NA,NA,NA,1.0448547526172,0.961962505795379,NA,NA,NA,NA,NA,NA,-0.401072477069798,0.600582658758607,-1.87799396824052,0.419628585120917,NA,NA,NA,NA,0.535855159502969,0.381680004522062,NA,NA,NA,NA,NA,NA,-0.294272477676687,0.130702728309849,-0.397920640406176,0.0966747571455187,NA,NA,NA,NA,-0.570909514394591,0.112292688445184,NA,NA,NA,NA,NA,NA,1.63260080430679,0.71296015437658,0,303.676241461471,474.244949250888,10,61,968.489898501777,1.88936208376606,0.0294711203020819,NA,0.753558668305195
"31","31","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-0.191227724831181,0.726753733638216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105674325490132,0.669856153399551,-1.98239422977074,0.460873153071583,NA,NA,NA,NA,0.166717332155648,0.596518874975737,NA,NA,NA,NA,NA,NA,-0.268594045881517,0.134597887624648,-0.408911025781119,0.102241444758672,NA,NA,NA,NA,-0.592899382667618,0.11578071817079,NA,NA,NA,NA,-0.349346520512476,1.09381384624782,1.54202838072793,0.716744863131475,0,217.482812756653,475.365802939631,9,61,968.731605879261,2.13106946125083,0.0261162342344453,NA,0.779674902539641
"86","86","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-0.191227724831181,0.726753733638216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105674325490132,0.669856153399551,-1.98239422977074,0.460873153071583,NA,NA,NA,NA,0.166717332155648,0.596518874975737,NA,NA,NA,NA,NA,NA,-0.268594045881517,0.134597887624648,-0.408911025781119,0.102241444758672,NA,NA,NA,NA,-0.592899382667618,0.11578071817079,NA,NA,NA,NA,-0.349346520512476,1.09381384624782,1.54202838072793,0.716744863131475,0,217.482812756653,475.365802939631,9,61,968.731605879261,2.13106946125083,0.0261162342344453,NA,0.805791136774086
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-0.179986339875653,0.781719942095088,NA,NA,NA,NA,0.0998009888142694,0.595122050530277,NA,NA,NA,NA,NA,NA,NA,NA,-1.96191983286275,0.463113369978847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.485825788143343,0.0953688535133025,NA,NA,NA,NA,-0.639057624891196,0.111986575677124,NA,NA,NA,NA,-0.2604027253313,1.15360076665225,1.50562769619895,0.711745383440444,0,232.622036725266,477.459911875008,7,61,968.919823750016,2.3192873320055,0.0237705682413901,NA,0.829561705015476
"64","64","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-0.179986339875653,0.781719942095088,NA,NA,NA,NA,0.0998009888142694,0.595122050530277,NA,NA,NA,NA,NA,NA,NA,NA,-1.96191983286275,0.463113369978847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.485825788143343,0.0953688535133025,NA,NA,NA,NA,-0.639057624891196,0.111986575677124,NA,NA,NA,NA,-0.2604027253313,1.15360076665225,1.50562769619895,0.711745383440444,0,232.622036725266,477.459911875008,7,61,968.919823750016,2.3192873320055,0.0237705682413901,NA,0.853332273256866
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-0.201089801410124,0.718303114468708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98768205335364,0.432674536907451,NA,NA,NA,NA,0.0957852490229526,0.531118427096359,NA,NA,NA,NA,NA,NA,NA,NA,-0.486619849610811,0.0950690176243446,NA,NA,NA,NA,-0.6387433664006,0.112197250118716,NA,NA,NA,NA,-0.304055737737945,1.08023030794138,1.51406009407163,0.71082553183007,0,185.791287234568,477.46043255957,7,61,968.920865119141,2.32032870113039,0.0237581944951552,NA,0.877090467752021
"65","65","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-0.201089801410124,0.718303114468708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98768205335364,0.432674536907451,NA,NA,NA,NA,0.0957852490229526,0.531118427096359,NA,NA,NA,NA,NA,NA,NA,NA,-0.486619849610811,0.0950690176243446,NA,NA,NA,NA,-0.6387433664006,0.112197250118716,NA,NA,NA,NA,-0.304055737737945,1.08023030794138,1.51406009407163,0.71082553183007,0,185.791287234568,477.46043255957,7,61,968.920865119141,2.32032870113039,0.0237581944951552,NA,0.900848662247177
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,0.551031556696138,0.741039783419851,NA,NA,NA,NA,1.2562181106214,1.01951940259435,NA,NA,NA,NA,NA,NA,NA,NA,-1.82929916508296,0.400244623216073,NA,NA,NA,NA,0.413776344890327,0.358369708751572,NA,NA,NA,NA,NA,NA,NA,NA,-0.469356137851509,0.0908639417276253,NA,NA,NA,NA,-0.617041783307101,0.111441422292968,NA,NA,NA,NA,0.470946861803829,1.05672871439141,1.73834366519144,0.935866810550006,0,271.752649112636,476.749051827806,8,61,969.498103655612,2.89756723760183,0.0178019541345147,NA,0.918650616381691
"63","63","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.551031556696138,0.741039783419851,NA,NA,NA,NA,1.2562181106214,1.01951940259435,NA,NA,NA,NA,NA,NA,NA,NA,-1.82929916508296,0.400244623216073,NA,NA,NA,NA,0.413776344890327,0.358369708751572,NA,NA,NA,NA,NA,NA,NA,NA,-0.469356137851509,0.0908639417276253,NA,NA,NA,NA,-0.617041783307101,0.111441422292968,NA,NA,NA,NA,0.470946861803829,1.05672871439141,1.73834366519144,0.935866810550006,0,271.752649112636,476.749051827806,8,61,969.498103655612,2.89756723760183,0.0178019541345147,NA,0.936452570516206
"33","33","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,0.0387696766503739,0.608062638903157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.386750544292943,0.659789880942297,-0.0601430237076755,0.585600556031076,-1.87018978488012,0.423196373254608,NA,NA,NA,NA,0.388502469716023,0.490358405694519,NA,NA,NA,NA,-0.110714681402741,0.178889618807248,-0.275082333447508,0.132279795064947,-0.382869494034845,0.100159397888378,NA,NA,NA,NA,-0.540739897319966,0.133989555534562,NA,NA,NA,NA,NA,NA,1.60434226758121,0.677165635513012,0,96.1938845004556,475.114379977077,10,61,970.228759954154,3.62822353614331,0.0123540023171881,NA,0.948806572833394
"88","88","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,0.0387696766503739,0.608062638903157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.386750544292943,0.659789880942297,-0.0601430237076755,0.585600556031076,-1.87018978488012,0.423196373254608,NA,NA,NA,NA,0.388502469716023,0.490358405694519,NA,NA,NA,NA,-0.110714681402741,0.178889618807248,-0.275082333447508,0.132279795064947,-0.382869494034845,0.100159397888378,NA,NA,NA,NA,-0.540739897319966,0.133989555534562,NA,NA,NA,NA,NA,NA,1.60434226758121,0.677165635513012,0,96.1938845004556,475.114379977077,10,61,970.228759954154,3.62822353614331,0.0123540023171881,NA,0.961160575150582
"29","29","~Elevation ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-0.980810291842002,1.2420611443284,0.907311243229063,1.0442442061821,NA,NA,NA,NA,1.17952018555271,1.0967761850152,NA,NA,NA,NA,NA,NA,-0.375480570657142,0.598833047289305,-1.84681793847166,0.423296702183056,NA,NA,NA,NA,0.529473526591404,0.38072231177377,NA,NA,NA,NA,NA,NA,-0.289132324224113,0.131680381227404,-0.395903409746241,0.0965647823413009,NA,NA,NA,NA,-0.570537399121048,0.112437102953055,NA,NA,NA,NA,0.339211051931698,1.17082880284069,1.78138301274733,0.93133318183927,0,398.931578551377,474.202833247605,11,61,970.40566649521,3.80513007719935,0.0113081851641375,NA,0.97246876031472
"84","84","~Elevation^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-0.980810291842002,1.2420611443284,0.907311243229063,1.0442442061821,NA,NA,NA,NA,1.17952018555271,1.0967761850152,NA,NA,NA,NA,NA,NA,-0.375480570657142,0.598833047289305,-1.84681793847166,0.423296702183056,NA,NA,NA,NA,0.529473526591404,0.38072231177377,NA,NA,NA,NA,NA,NA,-0.289132324224113,0.131680381227404,-0.395903409746241,0.0965647823413009,NA,NA,NA,NA,-0.570537399121048,0.112437102953055,NA,NA,NA,NA,0.339211051931698,1.17082880284069,1.78138301274733,0.93133318183927,0,398.931578551377,474.202833247605,11,61,970.40566649521,3.80513007719935,0.0113081851641375,NA,0.983776945478857
"35","35","~Elevation ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,NA,NA,-0.0230031067754303,0.685187652989858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.364572438034488,0.674574970403264,-0.0658039640422425,0.592749166872257,-1.89037367737052,0.438391939370711,NA,NA,NA,NA,0.366482348694306,0.517408248473533,NA,NA,NA,NA,-0.110439043485751,0.179005206729153,-0.276178226140438,0.132585508803629,-0.386236417731686,0.102115916263463,NA,NA,NA,NA,-0.542911546505574,0.134693568716258,NA,NA,NA,NA,-0.227809043874957,1.02522314150104,1.54037169397464,0.721443481194613,0,193.998953413933,475.089201721878,11,61,972.178403443756,5.57786702574515,0.00466066592383525,NA,0.988437611402692
"90","90","~Elevation^2 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,NA,NA,-0.0230031067754303,0.685187652989858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.364572438034488,0.674574970403264,-0.0658039640422425,0.592749166872257,-1.89037367737052,0.438391939370711,NA,NA,NA,NA,0.366482348694306,0.517408248473533,NA,NA,NA,NA,-0.110439043485751,0.179005206729153,-0.276178226140438,0.132585508803629,-0.386236417731686,0.102115916263463,NA,NA,NA,NA,-0.542911546505574,0.134693568716258,NA,NA,NA,NA,-0.227809043874957,1.02522314150104,1.54037169397464,0.721443481194613,0,193.998953413933,475.089201721878,11,61,972.178403443756,5.57786702574515,0.00466066592383525,NA,0.993098277326528
"32","32","~1 ~ Biotic * Tmin ~ Biotic * Tmin ~ Biotic * Tmin",0.94497149052424,1.72491361312694,-0.998945927493276,1.38387911630546,0.941802785722402,0.938582592133964,NA,NA,NA,NA,0.650445312496021,1.15070087048365,NA,NA,NA,NA,-0.386755681648435,0.72572915034849,-0.230491573391438,0.691961736962197,-1.82684700951082,0.429527122767092,NA,NA,NA,NA,0.588566430197041,0.398821656135534,NA,NA,NA,NA,-0.105365934173279,0.179142844039385,-0.292033118933704,0.134990517148404,-0.383846907200933,0.0989340897023932,NA,NA,NA,NA,-0.533318134915849,0.130150456744605,NA,NA,NA,NA,NA,NA,1.56318951989243,0.684486510241945,0,635.080610275996,473.732313137789,13,61,973.464626275577,6.86408985756668,0.00244989930601871,NA,0.995548176632546
