"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,0.352283273280315,0.711118487897874,NA,NA,NA,NA,-1.22761969999998,1.03482346120222,NA,NA,NA,NA,NA,NA,NA,NA,-1.89750584956364,0.45468337116722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.920432267997726,0.0988979066948724,NA,NA,NA,NA,-0.417829337786525,0.115175567236651,NA,NA,NA,NA,NA,NA,2.04031957995417,1.08119360991091,0,152.528851972515,442.648932246088,6,61,897.297864492176,0,0.153111874707207,NA,0.153111874707207
"59","59","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,0.352283273280315,0.711118487897874,NA,NA,NA,NA,-1.22761969999998,1.03482346120222,NA,NA,NA,NA,NA,NA,NA,NA,-1.89750584956364,0.45468337116722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.920432267997726,0.0988979066948724,NA,NA,NA,NA,-0.417829337786525,0.115175567236651,NA,NA,NA,NA,NA,NA,2.04031957995417,1.08119360991091,0,152.528851972515,442.648932246088,6,61,897.297864492176,0,0.153111874707207,NA,0.306223749414414
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,0.420352776580625,0.761783315293681,NA,NA,NA,NA,-1.484005110915,1.1798609160514,NA,NA,NA,NA,NA,NA,NA,NA,-1.99833775704484,0.54038049933656,NA,NA,NA,NA,-0.530657842228045,0.685754761159105,NA,NA,NA,NA,NA,NA,NA,NA,-0.919797120708056,0.0996940377906218,NA,NA,NA,NA,-0.4350831030657,0.116993635736425,NA,NA,NA,NA,NA,NA,1.71349015494223,0.82187128119837,0,201.040823623496,442.253718858011,7,61,898.507437716021,1.20957322384493,0.0836283225756007,NA,0.389852071990014
"58","58","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.420352776580625,0.761783315293681,NA,NA,NA,NA,-1.484005110915,1.1798609160514,NA,NA,NA,NA,NA,NA,NA,NA,-1.99833775704484,0.54038049933656,NA,NA,NA,NA,-0.530657842228045,0.685754761159105,NA,NA,NA,NA,NA,NA,NA,NA,-0.919797120708056,0.0996940377906218,NA,NA,NA,NA,-0.4350831030657,0.116993635736425,NA,NA,NA,NA,NA,NA,1.71349015494223,0.82187128119837,0,201.040823623496,442.253718858011,7,61,898.507437716021,1.20957322384493,0.0836283225756007,NA,0.473480394565615
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,0.2529518273134,0.783670020120026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74048721537476,0.473613873889377,NA,NA,NA,NA,-0.0844056483543946,0.494196578851145,NA,NA,NA,NA,NA,NA,NA,NA,-0.928627119752375,0.103132316762205,NA,NA,NA,NA,-0.423847913004832,0.123061613520799,NA,NA,NA,NA,NA,NA,2.55491817522208,2.40525340092075,0,722.019224337386,443.541391235363,6,61,899.082782470726,1.78491797854974,0.0627218500233216,NA,0.536202244588937
"60","60","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.2529518273134,0.783670020120026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74048721537476,0.473613873889377,NA,NA,NA,NA,-0.0844056483543946,0.494196578851145,NA,NA,NA,NA,NA,NA,NA,NA,-0.928627119752375,0.103132316762205,NA,NA,NA,NA,-0.423847913004832,0.123061613520799,NA,NA,NA,NA,NA,NA,2.55491817522208,2.40525340092075,0,722.019224337386,443.541391235363,6,61,899.082782470726,1.78491797854974,0.0627218500233216,NA,0.598924094612258
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,0.354553870182394,0.708707473966438,NA,NA,NA,NA,-1.22406425043566,1.03326967255571,NA,NA,NA,NA,NA,NA,NA,NA,-1.91126434484588,0.458186172946606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.919119633611841,0.0989029785988845,NA,NA,NA,NA,-0.414678595047285,0.115361170466943,NA,NA,NA,NA,0.533379721703501,1.32778042036829,2.30759204786021,1.43461889221512,0,391.673661438623,442.551822346326,7,61,899.103644692652,1.80578020047551,0.0620709919339473,NA,0.660995086546206
"62","62","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,0.354553870182394,0.708707473966438,NA,NA,NA,NA,-1.22406425043566,1.03326967255571,NA,NA,NA,NA,NA,NA,NA,NA,-1.91126434484588,0.458186172946606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.919119633611841,0.0989029785988845,NA,NA,NA,NA,-0.414678595047285,0.115361170466943,NA,NA,NA,NA,0.533379721703501,1.32778042036829,2.30759204786021,1.43461889221512,0,391.673661438623,442.551822346326,7,61,899.103644692652,1.80578020047551,0.0620709919339473,NA,0.723066078480153
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,0.435097814699292,0.766243681528185,NA,NA,NA,NA,-1.49282143380935,1.18064838071921,NA,NA,NA,NA,NA,NA,NA,NA,-2.02371051230942,0.546880493159997,NA,NA,NA,NA,-0.574861653595399,0.683781217206259,NA,NA,NA,NA,NA,NA,NA,NA,-0.919001059478174,0.0997309464263151,NA,NA,NA,NA,-0.432744194825796,0.116824498364328,NA,NA,NA,NA,0.562947431597663,1.08530924182446,2.02496019180015,1.13912557901905,0,262.009779591882,442.092124461548,8,61,900.184248923095,2.88638443091907,0.0361608356833045,NA,0.759226914163457
"61","61","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,0.435097814699292,0.766243681528185,NA,NA,NA,NA,-1.49282143380935,1.18064838071921,NA,NA,NA,NA,NA,NA,NA,NA,-2.02371051230942,0.546880493159997,NA,NA,NA,NA,-0.574861653595399,0.683781217206259,NA,NA,NA,NA,NA,NA,NA,NA,-0.919001059478174,0.0997309464263151,NA,NA,NA,NA,-0.432744194825796,0.116824498364328,NA,NA,NA,NA,0.562947431597663,1.08530924182446,2.02496019180015,1.13912557901905,0,262.009779591882,442.092124461548,8,61,900.184248923095,2.88638443091907,0.0361608356833045,NA,0.795387749846762
