"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-1.16595184476394,0.522812487816065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02563503019528,0.475800283893987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55436573083424,0.174509436094568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752328337512515,0.76363617518696,0,30.669474298394,260.053478213441,4,61,528.106956426881,0,0.102313467732127,NA,0.102313467732127
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,-1.10600069515851,0.531375869771406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.983264117513058,0.476010753700056,NA,NA,-0.189920527854949,0.625785794207825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60868272323677,0.175931005823757,NA,NA,0.221702464982535,0.154337309136968,NA,NA,NA,NA,NA,NA,NA,NA,0.751027070372336,0.740745922392754,0,36.6697424960026,258.975083970848,6,61,529.950167941695,1.8432115148139,0.040708444653524,NA,0.143021912385651
"57","57","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-1.10600069515851,0.531375869771406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.983264117513058,0.476010753700056,NA,NA,-0.189920527854949,0.625785794207825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60868272323677,0.175931005823757,NA,NA,0.221702464982535,0.154337309136968,NA,NA,NA,NA,NA,NA,NA,NA,0.751027070372336,0.740745922392754,0,36.6697424960026,258.975083970848,6,61,529.950167941695,1.8432115148139,0.040708444653524,NA,0.183730357039175
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-1.18594010866894,0.553763061863504,NA,NA,0.120775216207576,0.459832570953126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04211467529777,0.469149403511984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61306571042379,0.175707880415405,NA,NA,0.22339485963936,0.155388935801776,NA,NA,NA,NA,NA,NA,NA,NA,0.79336517286789,0.75065892135158,0,37.5769421789983,258.988722952972,6,61,529.977445905943,1.87048947906203,0.0401569920789911,NA,0.223887349118166
"56","56","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-1.18594010866894,0.553763061863504,NA,NA,0.120775216207576,0.459832570953126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04211467529777,0.469149403511984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61306571042379,0.175707880415405,NA,NA,0.22339485963936,0.155388935801776,NA,NA,NA,NA,NA,NA,NA,NA,0.79336517286789,0.75065892135158,0,37.5769421789983,258.988722952972,6,61,529.977445905943,1.87048947906203,0.0401569920789911,NA,0.264044341197157
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.26272059727817,0.581980650819434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23154072050817,0.710100563552554,NA,NA,NA,NA,0.717483486717228,0.690339369353399,NA,NA,NA,NA,NA,NA,NA,NA,-1.59733017763702,0.199715108895667,NA,NA,NA,NA,0.0971049340111171,0.182085841271875,NA,NA,NA,NA,NA,NA,1.01718456079727,0.963442031599767,0,65.4884474507286,259.18388579872,6,61,530.367771597441,2.26081517055945,0.0330371844427629,NA,0.29708152563992
"51","51","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.26272059727817,0.581980650819434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23154072050817,0.710100563552554,NA,NA,NA,NA,0.717483486717228,0.690339369353399,NA,NA,NA,NA,NA,NA,NA,NA,-1.59733017763702,0.199715108895667,NA,NA,NA,NA,0.0971049340111171,0.182085841271875,NA,NA,NA,NA,NA,NA,1.01718456079727,0.963442031599767,0,65.4884474507286,259.18388579872,6,61,530.367771597441,2.26081517055945,0.0330371844427629,NA,0.330118710082683
"38","38","~1 ~ 1 ~ Tmax * Biotic ~ Tmax * Biotic",NA,NA,NA,NA,-0.730825124005143,0.463244119358433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908975632327906,1.23268044264982,-1.2922912348059,0.647384567292189,3.5922399094139,2.43192587577946,-1.1620676272816,1.16296091058555,NA,NA,NA,NA,NA,NA,NA,NA,0.300185787405392,0.209869461438325,-1.52489590074667,0.178022739969767,-0.232971174317786,0.146754503441662,0.186099856030765,0.144548317377326,NA,NA,NA,NA,NA,NA,NA,NA,0.366036489366869,0.663952334579424,0,617.513413710796,255.270037209596,10,61,530.540074419191,2.43311799230992,0.0303101402281237,NA,0.360428850310806
"81","81","~1 ~ 1 ~ Tmax^2 * Biotic ~ Tmax^2 * Biotic",NA,NA,NA,NA,-0.730825124005143,0.463244119358433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908975632327906,1.23268044264982,-1.2922912348059,0.647384567292189,3.5922399094139,2.43192587577946,-1.1620676272816,1.16296091058555,NA,NA,NA,NA,NA,NA,NA,NA,0.300185787405392,0.209869461438325,-1.52489590074667,0.178022739969767,-0.232971174317786,0.146754503441662,0.186099856030765,0.144548317377326,NA,NA,NA,NA,NA,NA,NA,NA,0.366036489366869,0.663952334579424,0,617.513413710796,255.270037209596,10,61,530.540074419191,2.43311799230992,0.0303101402281237,NA,0.39073899053893
"15","15","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,-1.15922445043949,0.517231672928868,NA,NA,NA,NA,NA,NA,NA,NA,-0.316578013065037,0.601562430085206,NA,NA,NA,NA,-0.989973249925664,0.468512169023998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55620065172471,0.173145297513535,NA,NA,NA,NA,NA,NA,NA,NA,0.118738211397838,0.148208275789238,NA,NA,0.752377643972208,0.764143631675878,0,32.3718297840449,259.536827563051,6,61,531.073655126101,2.96669869921993,0.0232125240804087,NA,0.413951514619339
