"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"9","9","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-0.324874725913496,1.10470789446177,NA,NA,NA,NA,-0.978338365423816,1.07550820504079,NA,NA,NA,NA,-0.257946820608581,1.27236320929593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1661458968378,0.438143900000064,NA,NA,NA,NA,NA,NA,0.735052826377398,0.220054912870743,NA,NA,-1.52446321111155,1.29392135634791,0,83.5392910232603,81.9823903390419,6,61,175.964780678084,0,0.160009904453711,NA,0.160009904453711
"30","30","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-0.324874725913496,1.10470789446177,NA,NA,NA,NA,-0.978338365423816,1.07550820504079,NA,NA,NA,NA,-0.257946820608581,1.27236320929593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1661458968378,0.438143900000064,NA,NA,NA,NA,NA,NA,0.735052826377398,0.220054912870743,NA,NA,-1.52446321111155,1.29392135634791,0,83.5392910232603,81.9823903390419,6,61,175.964780678084,0,0.160009904453711,NA,0.320019808907423
"21","21","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",1.44943068599695,1.57562218588821,-0.107607581367219,1.09069603991357,NA,NA,NA,NA,-1.78722785913602,1.96223819446308,NA,NA,NA,NA,-0.436219998720143,1.1461068383405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606520905363071,0.485625883551091,-3.2695285642146,0.396690656723788,NA,NA,NA,NA,NA,NA,0.810711415470958,0.217792292981807,NA,NA,-1.78050797366594,1.16118037658978,0,185.371051566686,80.3865209260141,8,61,176.773041852028,0.808261173944373,0.106815722400751,NA,0.426835531308174
"39","39","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",1.44943068599695,1.57562218588821,-0.107607581367219,1.09069603991357,NA,NA,NA,NA,-1.78722785913602,1.96223819446308,NA,NA,NA,NA,-0.436219998720143,1.1461068383405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606520905363071,0.485625883551091,-3.2695285642146,0.396690656723788,NA,NA,NA,NA,NA,NA,0.810711415470958,0.217792292981807,NA,NA,-1.78050797366594,1.16118037658978,0,185.371051566686,80.3865209260141,8,61,176.773041852028,0.808261173944373,0.106815722400751,NA,0.533651253708926
"10","10","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-0.344826932602094,1.3114315611102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.382244003743904,1.43488223161045,NA,NA,NA,NA,NA,NA,0.380656874866093,0.972608937369962,NA,NA,NA,NA,-3.15509956721713,0.470126729229773,NA,NA,NA,NA,NA,NA,0.710418871732648,0.222639770983639,NA,NA,-1.5132071087573,1.29901069172708,0,105.967095150265,82.5944028361931,6,61,177.188805672386,1.22402499430251,0.0867667270276508,NA,0.620417980736576
"31","31","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-0.344826932602094,1.3114315611102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.382244003743904,1.43488223161045,NA,NA,NA,NA,NA,NA,0.380656874866093,0.972608937369962,NA,NA,NA,NA,-3.15509956721713,0.470126729229773,NA,NA,NA,NA,NA,NA,0.710418871732648,0.222639770983639,NA,NA,-1.5132071087573,1.29901069172708,0,105.967095150265,82.5944028361931,6,61,177.188805672386,1.22402499430251,0.0867667270276508,NA,0.707184707764227
"8","8","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,-0.280244977631897,1.09624376427858,NA,NA,NA,NA,-0.943720226391,1.0522664399733,NA,NA,NA,NA,-0.290231666354878,1.17169981415208,NA,NA,NA,NA,NA,NA,0.298153777123043,0.992854361198457,NA,NA,NA,NA,-3.17894275122548,0.443790053655503,NA,NA,NA,NA,NA,NA,0.737322005966008,0.220576831405552,NA,NA,-1.52529558527509,1.27862203271335,0,71.8691698076246,81.9407653010005,7,61,177.881530602001,1.91674992391725,0.0613662956832186,NA,0.768551003447446
"29","29","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,-0.280244977631897,1.09624376427858,NA,NA,NA,NA,-0.943720226391,1.0522664399733,NA,NA,NA,NA,-0.290231666354878,1.17169981415208,NA,NA,NA,NA,NA,NA,0.298153777123043,0.992854361198457,NA,NA,NA,NA,-3.17894275122548,0.443790053655503,NA,NA,NA,NA,NA,NA,0.737322005966008,0.220576831405552,NA,NA,-1.52529558527509,1.27862203271335,0,71.8691698076246,81.9407653010005,7,61,177.881530602001,1.91674992391725,0.0613662956832186,NA,0.829917299130664
"22","22","~1 ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,-0.651392241278386,0.929813982673662,NA,NA,NA,NA,NA,NA,NA,NA,1.56912251756105,1.66193437158393,-0.728797626154134,1.32926616857045,NA,NA,NA,NA,NA,NA,0.256749060620602,1.05157699950461,NA,NA,0.916679086978628,0.518354474598984,-3.1046908250748,0.431057389880153,NA,NA,NA,NA,NA,NA,0.753724497914999,0.219052929285137,NA,NA,-1.72904324007199,1.16611637664247,0,123.255439125816,81.1700296923429,8,61,178.340059384686,2.37527870660196,0.0487934636774647,NA,0.878710762808129
"40","40","~1 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,-0.651392241278386,0.929813982673662,NA,NA,NA,NA,NA,NA,NA,NA,1.56912251756105,1.66193437158393,-0.728797626154134,1.32926616857045,NA,NA,NA,NA,NA,NA,0.256749060620602,1.05157699950461,NA,NA,0.916679086978628,0.518354474598984,-3.1046908250748,0.431057389880153,NA,NA,NA,NA,NA,NA,0.753724497914999,0.219052929285137,NA,NA,-1.72904324007199,1.16611637664247,0,123.255439125816,81.1700296923429,8,61,178.340059384686,2.37527870660196,0.0487934636774647,NA,0.927504226485594
