"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"6","6","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,-2.86865755718915,0.762182058638517,0.866957827048257,0.529760856743902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07428401293766,1.40125147443103,NA,NA,NA,NA,NA,NA,NA,NA,-2.33640570312885,0.3522988385861,0.678173962922035,0.278020344578915,NA,NA,NA,NA,NA,NA,-11.1930985921893,7.73725125997607,-13.8708780560746,9.3864146230795,0,4926.01499433079,91.4504764286721,7,61,196.900952857344,0,0.189645854714962,NA,0.189645854714962
"26","26","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-2.86865755718915,0.762182058638517,0.866957827048257,0.529760856743902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07428401293766,1.40125147443103,NA,NA,NA,NA,NA,NA,NA,NA,-2.33640570312885,0.3522988385861,0.678173962922035,0.278020344578915,NA,NA,NA,NA,NA,NA,-11.1930985921893,7.73725125997607,-13.8708780560746,9.3864146230795,0,4926.01499433079,91.4504764286721,7,61,196.900952857344,0,0.189645854714962,NA,0.379291709429923
"13","13","~Elevation ~ Biotic ~ 1 ~ Biotic",4.8114140679728,2.81059829011749,-4.32979643516635,1.34572812272866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64745312636089,1.32545604968758,NA,NA,NA,NA,NA,NA,0.290661855031604,0.275289207272107,-2.14742533884953,0.326751886542465,NA,NA,NA,NA,NA,NA,NA,NA,-4.89948791557655,4.28897923836164,-6.15237425202734,4.83865871848213,0,1436.55389260048,92.1972354688676,7,61,198.394470937735,1.49351808039086,0.089873162444044,NA,0.469164871873967
"33","33","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",4.8114140679728,2.81059829011749,-4.32979643516635,1.34572812272866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64745312636089,1.32545604968758,NA,NA,NA,NA,NA,NA,0.290661855031604,0.275289207272107,-2.14742533884953,0.326751886542465,NA,NA,NA,NA,NA,NA,NA,NA,-4.89948791557655,4.28897923836164,-6.15237425202734,4.83865871848213,0,1436.55389260048,92.1972354688676,7,61,198.394470937735,1.49351808039086,0.089873162444044,NA,0.559038034318011
"18","18","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",1.77957471045082,1.08757341661235,-3.22059297745326,0.888659840311161,0.725664025941349,0.826556176981926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74439848340789,1.26451748746975,NA,NA,NA,NA,NA,NA,0.218839898327758,0.29501823541028,-2.43376082963588,0.428813118307627,0.647562249576099,0.279511902429119,NA,NA,NA,NA,NA,NA,-8.48302755322513,5.85879913600389,-10.4332932934965,6.8617679370508,0,3657.86176929762,90.3007952913063,9,61,198.601590582613,1.70063772526842,0.0810316280091744,NA,0.640069662327186
"38","38","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",1.77957471045082,1.08757341661235,-3.22059297745326,0.888659840311161,0.725664025941349,0.826556176981926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74439848340789,1.26451748746975,NA,NA,NA,NA,NA,NA,0.218839898327758,0.29501823541028,-2.43376082963588,0.428813118307627,0.647562249576099,0.279511902429119,NA,NA,NA,NA,NA,NA,-8.48302755322513,5.85879913600389,-10.4332932934965,6.8617679370508,0,3657.86176929762,90.3007952913063,9,61,198.601590582613,1.70063772526842,0.0810316280091744,NA,0.72110129033636
"15","15","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",7.66084235947005,5.62095001552498,-6.02658738480314,3.03421557840751,NA,NA,-2.11072300389431,1.92085546210899,NA,NA,NA,NA,NA,NA,NA,NA,-1.37666328967453,1.07696575416904,NA,NA,NA,NA,NA,NA,0.331090889985856,0.302188583404013,-1.96108053256912,0.344347397232895,NA,NA,-0.310610691515485,0.307136461662924,NA,NA,NA,NA,-4.40120803850833,3.42557577909003,-5.65628840585949,3.90018680589046,0,1558.01688023561,90.8407394919734,9,61,199.681478983947,2.78052612660261,0.0472236745853892,NA,0.76832496492175
"35","35","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",7.66084235947005,5.62095001552498,-6.02658738480314,3.03421557840751,NA,NA,-2.11072300389431,1.92085546210899,NA,NA,NA,NA,NA,NA,NA,NA,-1.37666328967453,1.07696575416904,NA,NA,NA,NA,NA,NA,0.331090889985856,0.302188583404013,-1.96108053256912,0.344347397232895,NA,NA,-0.310610691515485,0.307136461662924,NA,NA,NA,NA,-4.40120803850833,3.42557577909003,-5.65628840585949,3.90018680589046,0,1558.01688023561,90.8407394919734,9,61,199.681478983947,2.78052612660261,0.0472236745853892,NA,0.815548639507139
"12","12","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,-2.67747981338874,0.503321116321401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.07499341212322,3.7712862705591,NA,NA,2.96727020788142,2.4084964159855,NA,NA,NA,NA,-1.76444125783257,0.282876633375012,NA,NA,NA,NA,NA,NA,0.0325531652337959,0.202468410792299,-11.4049671526675,7.4802331163633,-14.5039990721767,9.34575205185263,0,4850.21461733863,93.1566650591846,7,61,200.313330118369,3.41237726102494,0.0344314289600229,NA,0.849980068467162
"32","32","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-2.67747981338874,0.503321116321401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.07499341212322,3.7712862705591,NA,NA,2.96727020788142,2.4084964159855,NA,NA,NA,NA,-1.76444125783257,0.282876633375012,NA,NA,NA,NA,NA,NA,0.0325531652337959,0.202468410792299,-11.4049671526675,7.4802331163633,-14.5039990721767,9.34575205185263,0,4850.21461733863,93.1566650591846,7,61,200.313330118369,3.41237726102494,0.0344314289600229,NA,0.884411497427184
