"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","11","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-2.28682132101016,0.646244912499711,NA,NA,NA,NA,NA,NA,-2.4706037853869,1.45905370136009,-2.81364680063619,1.54928999067097,NA,NA,1.31434584858378,0.930632849780495,NA,NA,-0.347029387107536,0.224683598238671,-2.13414819819236,0.224541611963007,NA,NA,-0.343405159253238,0.222757720130107,NA,NA,3.38070308155431,1.79114287311172,2.05565069960448,1.83337798687209,0,268.484628403237,146.126674613728,9,61,310.253349227456,0,0.284587620513203,NA,0.284587620513203
"23","23","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-2.28682132101016,0.646244912499711,NA,NA,NA,NA,NA,NA,-2.4706037853869,1.45905370136009,-2.81364680063619,1.54928999067097,NA,NA,1.31434584858378,0.930632849780495,NA,NA,-0.347029387107536,0.224683598238671,-2.13414819819236,0.224541611963007,NA,NA,-0.343405159253238,0.222757720130107,NA,NA,3.38070308155431,1.79114287311172,2.05565069960448,1.83337798687209,0,268.484628403237,146.126674613728,9,61,310.253349227456,0,0.284587620513203,NA,0.569175241026405
"2","2","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,-2.68524068618484,1.59347964244561,NA,NA,-0.894988471961126,1.43333189660646,NA,NA,NA,NA,-3.08263232282475,2.32678721102893,NA,NA,NA,NA,NA,NA,NA,NA,-2.4156148507848,0.253285664074008,NA,NA,-0.421233782687861,0.227996101042561,NA,NA,3.42182942937672,2.05273795413356,2.57120950859045,2.20091007636555,0,348.458798600093,149.110631557599,7,61,312.221263115197,1.9679138877417,0.106387090854715,NA,0.67556233188112
"14","14","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,-2.68524068618484,1.59347964244561,NA,NA,-0.894988471961126,1.43333189660646,NA,NA,NA,NA,-3.08263232282475,2.32678721102893,NA,NA,NA,NA,NA,NA,NA,NA,-2.4156148507848,0.253285664074008,NA,NA,-0.421233782687861,0.227996101042561,NA,NA,3.42182942937672,2.05273795413356,2.57120950859045,2.20091007636555,0,348.458798600093,149.110631557599,7,61,312.221263115197,1.9679138877417,0.106387090854715,NA,0.781949422735836
"8","8","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,-1.93104618782445,0.545764937816607,NA,NA,NA,NA,NA,NA,NA,NA,-3.13129390549359,4.03710585798498,NA,NA,NA,NA,-3.66641965878055,4.99471868023547,NA,NA,-2.07185956779075,0.246859993951156,NA,NA,NA,NA,-0.0379330731145973,0.224167394170363,3.04117182001815,1.6462103804187,1.63113773726393,1.64185681510363,0,1198.88901155452,150.213349759827,7,61,314.426699519654,4.17335029219856,0.0353170567314739,NA,0.81726647946731
"20","20","~Elevation^2 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-1.93104618782445,0.545764937816607,NA,NA,NA,NA,NA,NA,NA,NA,-3.13129390549359,4.03710585798498,NA,NA,NA,NA,-3.66641965878055,4.99471868023547,NA,NA,-2.07185956779075,0.246859993951156,NA,NA,NA,NA,-0.0379330731145973,0.224167394170363,3.04117182001815,1.6462103804187,1.63113773726393,1.64185681510363,0,1198.88901155452,150.213349759827,7,61,314.426699519654,4.17335029219856,0.0353170567314739,NA,0.852583536198784
"4","4","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,-2.46818551494771,1.08541335327736,-0.962568122539029,1.46466102647921,NA,NA,NA,NA,NA,NA,-2.35414914256458,1.41737460958977,NA,NA,NA,NA,NA,NA,NA,NA,-2.26642115983366,0.238948651650094,-0.120899954185518,0.230401408522121,NA,NA,NA,NA,3.62096878610037,1.98950967065218,2.53139634146651,2.03432075611881,0,240.249301098988,150.845012436212,7,61,315.690024872424,5.43667564496803,0.0187783266000302,NA,0.871361862798814
"16","16","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-2.46818551494771,1.08541335327736,-0.962568122539029,1.46466102647921,NA,NA,NA,NA,NA,NA,-2.35414914256458,1.41737460958977,NA,NA,NA,NA,NA,NA,NA,NA,-2.26642115983366,0.238948651650094,-0.120899954185518,0.230401408522121,NA,NA,NA,NA,3.62096878610037,1.98950967065218,2.53139634146651,2.03432075611881,0,240.249301098988,150.845012436212,7,61,315.690024872424,5.43667564496803,0.0187783266000302,NA,0.890140189398844
"5","5","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,-3.1930383672817,2.80296833272998,NA,NA,NA,NA,NA,NA,NA,NA,-3.66380871609562,3.30759995975593,1.22405219566057,1.62907708605218,NA,NA,NA,NA,NA,NA,-2.3541350992979,0.257212998321951,-0.0863045609328203,0.210513057615661,NA,NA,NA,NA,3.83991756293502,2.39885947330804,3.2566734938036,3.13432006268839,0,728.790412684252,150.946295645902,7,61,315.892591291804,5.63924206434808,0.0169695430964379,NA,0.907109732495282
"17","17","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-3.1930383672817,2.80296833272998,NA,NA,NA,NA,NA,NA,NA,NA,-3.66380871609562,3.30759995975593,1.22405219566057,1.62907708605218,NA,NA,NA,NA,NA,NA,-2.3541350992979,0.257212998321951,-0.0863045609328203,0.210513057615661,NA,NA,NA,NA,3.83991756293502,2.39885947330804,3.2566734938036,3.13432006268839,0,728.790412684252,150.946295645902,7,61,315.892591291804,5.63924206434808,0.0169695430964379,NA,0.92407927559172
