"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"21","21","~1 ~ Biotic ~ 1 ~ Biotic",NA,NA,4.17061614356295,3.89151583531514,-5.18460075880892,3.52022232959616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21395003054831,0.449139178452911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.135294636019825,0.155152294065764,-1.58380461792511,0.1582953278712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10356021833512,0.709396333320282,0,1432.88224970498,231.184581100482,6,61,474.369162200963,0,0.103860118241032,NA,0.103860118241032
"23","23","~Elevation ~ Biotic ~ 1 ~ Biotic",NA,NA,6.51664150868964,4.14195087917121,-4.94371570770969,2.60891002331053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8923367170051,0.422387967438721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.176376065518083,0.145175501733374,-1.62811582537636,0.16091801433432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.74574468309622,8.59712503063591,1.6320044375338,3.78834849455153,0,4969.90233623531,230.641201919251,7,61,475.282403838501,0.913241637537624,0.0657871255012726,NA,0.169647243742305
"59","59","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",NA,NA,6.51664150868964,4.14195087917121,-4.94371570770969,2.60891002331053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8923367170051,0.422387967438721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.176376065518083,0.145175501733374,-1.62811582537636,0.16091801433432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.74574468309622,8.59712503063591,1.6320044375338,3.78834849455153,0,4969.90233623531,230.641201919251,7,61,475.282403838501,0.913241637537624,0.0657871255012726,NA,0.235434369243577
"20","20","~1 ~ Biotic ~ Biotic ~ Biotic",NA,NA,6.46301577637249,5.32629509648967,-5.73321437211654,4.57176192388843,NA,NA,NA,NA,NA,NA,NA,NA,0.481476399412422,0.539558286565405,-0.801026285997005,0.511777348011492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.097418048933986,0.156499533351006,-1.55493753815207,0.158038129482019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38513149788643,0.891957028869163,0,2607.04100096153,230.948069696511,7,61,475.896139393022,1.52697719205895,0.0484027379264818,NA,0.283837107170059
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,NA,NA,-1.74531029642915,0.58321944678319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.851161645628993,0.48979519499795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43676630712687,0.180780959668991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721802294224549,0.634048621828923,0,20.1876045104733,233.970377498314,4,61,475.940754996627,1.571592795664,0.0473349337058745,NA,0.331172040875933
"5","5","~Elevation ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-2.21901178578326,0.70232739218126,NA,NA,-0.946919234093054,0.6626319226024,NA,NA,NA,NA,NA,NA,-0.932548372589297,0.460820998711164,NA,NA,NA,NA,-1.18860353954925,0.649856018590834,NA,NA,NA,NA,NA,NA,NA,NA,-1.41316119104471,0.165100767144956,NA,NA,NA,NA,-0.444037084241889,0.208208631591515,NA,NA,NA,NA,-1.09478647626733,0.788781731872962,0.244924312330873,0.59692259233597,0,37.242972091801,230.134716123425,8,61,476.26943224685,1.90027004588688,0.0401615453284658,NA,0.371333586204399
"44","44","~Elevation^2 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-2.21901178578326,0.70232739218126,NA,NA,-0.946919234093054,0.6626319226024,NA,NA,NA,NA,NA,NA,-0.932548372589297,0.460820998711164,NA,NA,NA,NA,-1.18860353954925,0.649856018590834,NA,NA,NA,NA,NA,NA,NA,NA,-1.41316119104471,0.165100767144956,NA,NA,NA,NA,-0.444037084241889,0.208208631591515,NA,NA,NA,NA,-1.09478647626733,0.788781731872962,0.244924312330873,0.59692259233597,0,37.242972091801,230.134716123425,8,61,476.26943224685,1.90027004588688,0.0401615453284658,NA,0.411495131532865
"4","4","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.79426698400757,0.545310969502629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.870266674722503,0.479956057487303,NA,NA,NA,NA,-0.885539429740549,0.778716061175973,NA,NA,NA,NA,NA,NA,NA,NA,-1.3975271576033,0.174127676576653,NA,NA,NA,NA,-0.374256850847669,0.233315474768846,NA,NA,NA,NA,NA,NA,0.602703082976082,0.591762302236041,0,29.4118723307036,232.234976761715,6,61,476.469953523429,2.10079132246562,0.0363301987043958,NA,0.447825330237261
"43","43","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.79426698400757,0.545310969502629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.870266674722503,0.479956057487303,NA,NA,NA,NA,-0.885539429740549,0.778716061175973,NA,NA,NA,NA,NA,NA,NA,NA,-1.3975271576033,0.174127676576653,NA,NA,NA,NA,-0.374256850847669,0.233315474768846,NA,NA,NA,NA,NA,NA,0.602703082976082,0.591762302236041,0,29.4118723307036,232.234976761715,6,61,476.469953523429,2.10079132246562,0.0363301987043958,NA,0.484155528941657
"2","2","~1 ~ Tmin ~ Tmin ~ Tmin",NA,NA,NA,NA,-2.0425120479149,0.661011435437989,NA,NA,-0.762515749740508,0.64881237368328,NA,NA,NA,NA,NA,NA,-0.929982618696862,0.462301826697726,NA,NA,NA,NA,-1.19586118157901,0.6767247089274,NA,NA,NA,NA,NA,NA,NA,NA,-1.39260010673754,0.164199549164703,NA,NA,NA,NA,-0.424343536156916,0.21568478742812,NA,NA,NA,NA,NA,NA,0.61753966132829,0.523856388582957,0,32.6218317400659,231.34153160892,7,61,476.68306321784,2.3139010168768,0.0326581508725541,NA,0.516813679814211
"41","41","~1 ~ Tmin^2 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-2.0425120479149,0.661011435437989,NA,NA,-0.762515749740508,0.64881237368328,NA,NA,NA,NA,NA,NA,-0.929982618696862,0.462301826697726,NA,NA,NA,NA,-1.19586118157901,0.6767247089274,NA,NA,NA,NA,NA,NA,NA,NA,-1.39260010673754,0.164199549164703,NA,NA,NA,NA,-0.424343536156916,0.21568478742812,NA,NA,NA,NA,NA,NA,0.61753966132829,0.523856388582957,0,32.6218317400659,231.34153160892,7,61,476.68306321784,2.3139010168768,0.0326581508725541,NA,0.549471830686765
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.82279089687156,0.522468076446847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.842562012491099,0.470014856075898,NA,NA,NA,NA,-1.02411789378265,0.711868161657808,NA,NA,NA,NA,NA,NA,NA,NA,-1.40193845340866,0.166770154714997,NA,NA,NA,NA,-0.439915304009985,0.212853543771179,NA,NA,NA,NA,-0.937671790135791,0.830191263818791,0.266638913777257,0.616038079731703,0,31.753293341496,231.507300901617,7,61,477.014601803235,2.64543960227115,0.0276693464961814,NA,0.577141177182946
"46","46","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.82279089687156,0.522468076446847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.842562012491099,0.470014856075898,NA,NA,NA,NA,-1.02411789378265,0.711868161657808,NA,NA,NA,NA,NA,NA,NA,NA,-1.40193845340866,0.166770154714997,NA,NA,NA,NA,-0.439915304009985,0.212853543771179,NA,NA,NA,NA,-0.937671790135791,0.830191263818791,0.266638913777257,0.616038079731703,0,31.753293341496,231.507300901617,7,61,477.014601803235,2.64543960227115,0.0276693464961814,NA,0.604810523679128
"25","25","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,1.96312178477694,3.11392319191194,-3.17853329671109,2.89586100136687,NA,NA,-1.43507735424344,1.24334017199378,NA,NA,NA,NA,0.127925464164687,0.511194653887479,-1.06585242703243,0.51116926216638,NA,NA,NA,NA,-0.967665685938095,0.763717518153212,NA,NA,NA,NA,NA,NA,-0.0481259372856246,0.166664355521931,-1.45447917703796,0.232823202221071,NA,NA,NA,NA,-0.347660339483357,0.268960792498997,NA,NA,NA,NA,NA,NA,0.721783164225495,0.729690584426768,0,923.985011839804,228.772884491773,10,61,477.545768983547,3.17660678258335,0.0212157023752551,NA,0.626026226054383
"61","61","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.96312178477694,3.11392319191194,-3.17853329671109,2.89586100136687,NA,NA,-1.43507735424344,1.24334017199378,NA,NA,NA,NA,0.127925464164687,0.511194653887479,-1.06585242703243,0.51116926216638,NA,NA,NA,NA,-0.967665685938095,0.763717518153212,NA,NA,NA,NA,NA,NA,-0.0481259372856246,0.166664355521931,-1.45447917703796,0.232823202221071,NA,NA,NA,NA,-0.347660339483357,0.268960792498997,NA,NA,NA,NA,NA,NA,0.721783164225495,0.729690584426768,0,923.985011839804,228.772884491773,10,61,477.545768983547,3.17660678258335,0.0212157023752551,NA,0.647241928429638
"32","32","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,4.13629346348162,3.3707863368836,-5.38884276523399,3.49744449257516,0.665911067230547,1.19378397829827,NA,NA,NA,NA,NA,NA,NA,NA,-1.20842522371925,0.44695027666898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12236197953434,0.151002412866919,-1.56256413537714,0.156725794487979,NA,NA,-0.0872830003022569,0.148349060734506,NA,NA,NA,NA,NA,NA,NA,NA,1.07612169105679,0.697625240464136,0,1270.95695037518,230.857813178495,8,61,477.71562635699,3.34646415602674,0.019488272976958,NA,0.666730201406596
"68","68","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,4.13629346348162,3.3707863368836,-5.38884276523399,3.49744449257516,0.665911067230547,1.19378397829827,NA,NA,NA,NA,NA,NA,NA,NA,-1.20842522371925,0.44695027666898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12236197953434,0.151002412866919,-1.56256413537714,0.156725794487979,NA,NA,-0.0872830003022569,0.148349060734506,NA,NA,NA,NA,NA,NA,NA,NA,1.07612169105679,0.697625240464136,0,1270.95695037518,230.857813178495,8,61,477.71562635699,3.34646415602674,0.019488272976958,NA,0.686218474383554
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.74147533334733,0.588430388958467,NA,NA,-0.230638038063139,0.560714606095303,NA,NA,NA,NA,NA,NA,-0.833628619133118,0.466934016623683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40959828008603,0.177741797638735,NA,NA,NA,NA,-0.316921924094022,0.2230556693227,NA,NA,NA,NA,NA,NA,0.770581012768868,0.640374490821658,0,22.3520529163417,232.879746327176,6,61,477.759492654352,3.39033045338829,0.0190654872480939,NA,0.705283961631648
